Horizon,MSE,MAPE (%)
24h,0.005370565506918088,54.6695896801639
48h,0.005450562412574827,55.068908077422684
72h,0.005560660353328024,55.406036457235885
1-Week,0.0061927701105374275,58.7725327335024
