Horizon,MSE,MAPE (%)
24h,0.0053705655069239645,54.669589680190676
48h,0.0054505624125905485,55.068908077491244
72h,0.0055606603533286695,55.406036457233085
1-Week,0.006192770110537214,58.77253273350077
