Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
3,SWC_5,48,12,Baseline,1.071346402168274,1.8250788450241089,587.8153076171875
3,SWC_5,48,12,Multi-step Linear,0.10426073521375656,0.08773075044155121,40.66745376586914
3,SWC_5,48,12,Multi-step Dense,0.11245165765285492,0.08719254285097122,40.46429443359375
3,SWC_5,48,12,CNN,0.13046354055404663,0.09379614144563675,47.88856887817383
3,SWC_5,48,12,RNN,0.11773666739463806,0.08921215683221817,57.242164611816406
3,SWC_5,48,12,LSTM,0.13876117765903473,0.09456921368837357,60.79246139526367
3,SWC_5,48,12,Autoregressive,0.22074463963508606,0.16309434175491333,78.68016052246094
3,SWC_5,48,12,Bi-LSTM,0.23152868449687958,0.15358132123947144,123.9057388305664
3,SWC_5,48,12,LSTM_Attention,0.2186117321252823,0.1746811866760254,74.24274444580078
3,SWC_5,48,12,BiLSTM_Attention,0.17178435623645782,0.12367630749940872,52.94569778442383
