Model_Name,Label_Feature,Input_Length,Output_Length,Epoch,Train_Loss,Val_Loss
Baseline,SWC_5,24,6,1,2.0648624897003174,1.9802638292312622
Baseline,SWC_5,24,6,2,2.06486177444458,1.98026442527771
Baseline,SWC_5,24,6,3,2.06486177444458,1.980264663696289
Baseline,SWC_5,24,6,4,2.0648608207702637,1.9802643060684204
Baseline,SWC_5,24,6,5,2.064859390258789,1.9802641868591309
Baseline,SWC_5,24,6,6,2.064863681793213,1.980263590812683
Baseline,SWC_5,24,6,7,2.0648603439331055,1.9802629947662354
Baseline,SWC_5,24,6,8,2.0648605823516846,1.98026442527771
Baseline,SWC_5,24,6,9,2.0648622512817383,1.9802639484405518
Baseline,SWC_5,24,6,10,2.0648603439331055,1.9802638292312622
Multi-step Linear,SWC_5,24,6,1,0.23437021672725677,0.06497692316770554
Multi-step Linear,SWC_5,24,6,2,0.046209853142499924,0.031279198825359344
Multi-step Linear,SWC_5,24,6,3,0.04172588884830475,0.02965979464352131
Multi-step Linear,SWC_5,24,6,4,0.04161197319626808,0.029937872663140297
Multi-step Linear,SWC_5,24,6,5,0.0413714200258255,0.02967311255633831
Multi-step Linear,SWC_5,24,6,6,0.04153892397880554,0.029947742819786072
Multi-step Linear,SWC_5,24,6,7,0.04150417447090149,0.030430868268013
Multi-step Linear,SWC_5,24,6,8,0.04170193895697594,0.029757080599665642
Multi-step Linear,SWC_5,24,6,9,0.04149144887924194,0.029652735218405724
Multi-step Linear,SWC_5,24,6,10,0.041590239852666855,0.030017899349331856
Multi-step Dense,SWC_5,24,6,1,0.06258606165647507,0.03402050957083702
Multi-step Dense,SWC_5,24,6,2,0.03944327309727669,0.02923150174319744
Multi-step Dense,SWC_5,24,6,3,0.03787850961089134,0.028703924268484116
Multi-step Dense,SWC_5,24,6,4,0.03798865154385567,0.028908614069223404
Multi-step Dense,SWC_5,24,6,5,0.036899540573358536,0.031217344105243683
Multi-step Dense,SWC_5,24,6,6,0.03626826032996178,0.027546655386686325
Multi-step Dense,SWC_5,24,6,7,0.03582606092095375,0.02973026968538761
Multi-step Dense,SWC_5,24,6,8,0.035813163965940475,0.027957718819379807
Multi-step Dense,SWC_5,24,6,9,0.03499920293688774,0.032592423260211945
Multi-step Dense,SWC_5,24,6,10,0.03488752245903015,0.02946174331009388
CNN,SWC_5,24,6,1,0.06294157356023788,0.03522900119423866
CNN,SWC_5,24,6,2,0.039667557924985886,0.03379892557859421
CNN,SWC_5,24,6,3,0.038779906928539276,0.03129870072007179
CNN,SWC_5,24,6,4,0.038217928260564804,0.03214534372091293
CNN,SWC_5,24,6,5,0.037402864545583725,0.03459751233458519
CNN,SWC_5,24,6,6,0.036636076867580414,0.033145058900117874
CNN,SWC_5,24,6,7,0.03617119416594505,0.032999880611896515
