Station,Satellite,Max Distance,MSE,MAE,MAE Percentage,Count,Overall_MSE,Overall_MAE,Overall_MAE_Percentage,Min_MSE,Min_MSE_Distance,Min_MAE,Min_MAE_Distance,Min_MAE_Percentage,Min_MAE_Percentage_Distance
1,AMSR,15,0.002654559481928654,0.042514238729951574,37.14754020225455,1039,0.0030996031035837885,0.04576996583258265,37.11301533953542,0.0026464055820575217,25,0.042514238729951574,15,36.40974614143307,115
1,AMSR,20,0.0026587172431497526,0.042606227686825704,37.2082576943537,1046,0.0030996031035837885,0.04576996583258265,37.11301533953542,0.0026464055820575217,25,0.042514238729951574,15,36.40974614143307,115
1,AMSR,25,0.0026464055820575217,0.042524026099419444,37.06387676480362,1057,0.0030996031035837885,0.04576996583258265,37.11301533953542,0.0026464055820575217,25,0.042514238729951574,15,36.40974614143307,115
1,AMSR,30,0.002658305098261158,0.04261603240954231,37.22559484013283,1064,0.0030996031035837885,0.04576996583258265,37.11301533953542,0.0026464055820575217,25,0.042514238729951574,15,36.40974614143307,115
1,AMSR,35,0.002661211175448505,0.042650401410650116,37.20687631132768,1066,0.0030996031035837885,0.04576996583258265,37.11301533953542,0.0026464055820575217,25,0.042514238729951574,15,36.40974614143307,115
1,AMSR,40,0.002661489161650185,0.042718148776524925,37.16744376513497,1084,0.0030996031035837885,0.04576996583258265,37.11301533953542,0.0026464055820575217,25,0.042514238729951574,15,36.40974614143307,115
1,AMSR,45,0.0026617200490547947,0.04267764124132217,36.95876108517252,1104,0.0030996031035837885,0.04576996583258265,37.11301533953542,0.0026464055820575217,25,0.042514238729951574,15,36.40974614143307,115
1,AMSR,50,0.002669337942909089,0.04278309829647276,37.15729969691232,1119,0.0030996031035837885,0.04576996583258265,37.11301533953542,0.0026464055820575217,25,0.042514238729951574,15,36.40974614143307,115
1,AMSR,55,0.00267376261009485,0.04282286432180329,37.16044273844291,1120,0.0030996031035837885,0.04576996583258265,37.11301533953542,0.0026464055820575217,25,0.042514238729951574,15,36.40974614143307,115
1,AMSR,60,0.0026743542002117607,0.04283786896947684,37.13809579700684,1122,0.0030996031035837885,0.04576996583258265,37.11301533953542,0.0026464055820575217,25,0.042514238729951574,15,36.40974614143307,115
