Station,Distance,Sample_Count,MSE,MAE,MAE_Percentage,Correlation
1,10,124,0.003492754389396439,0.05016723152540586,45.20064041248025,0.00537187700114369
1,15,1039,0.002654559481928654,0.042514238729951574,37.14754020225455,0.2520913458390529
1,20,1046,0.0026587172431497526,0.042606227686825704,37.2082576943537,0.25256013676983774
1,25,1057,0.0026464055820575217,0.042524026099419444,37.06387676480362,0.25023167767682597
1,30,1064,0.002658305098261158,0.04261603240954231,37.22559484013283,0.24894023725908712
1,35,1066,0.002661211175448505,0.042650401410650116,37.20687631132768,0.24948185921613125
1,40,1084,0.002661489161650185,0.042718148776524925,37.16744376513497,0.24627618361714926
1,45,1104,0.0026617200490547947,0.04267764124132217,36.95876108517252,0.23823077477358418
1,50,1119,0.002669337942909089,0.04278309829647276,37.15729969691232,0.23840771245785009
1,55,1120,0.00267376261009485,0.04282286432180329,37.16044273844291,0.23567559105160904
1,60,1122,0.0026743542002117607,0.04283786896947684,37.13809579700684,0.23408389482963954
1,65,1123,0.002678721856093567,0.04287724645332711,37.135327672393906,0.23407495310267964
1,70,1123,0.002678721856093567,0.04287724645332711,37.135327672393906,0.23407495310267964
1,75,1125,0.002682258851816015,0.04290818028185453,37.12817936766613,0.2337389417549164
1,80,1137,0.0026930484747324027,0.0430174667667133,37.02336046028118,0.2270897184617729
1,85,1143,0.0026983950970892166,0.04307733678368593,37.0315185067281,0.23208647027115972
1,90,1158,0.0026971585742072437,0.043072402205313484,37.091417226684904,0.23551293835551876
1,95,1182,0.0026798512369128934,0.04289133460074988,36.829757119267356,0.23402008934523458
1,100,1207,0.0026805460702418594,0.042907946463755606,36.72866138300378,0.22484645480020385
1,105,1223,0.002680830593324326,0.04286633909844157,36.58244233340378,0.22657330470137366
1,110,1231,0.0026686396681141174,0.04274272563286816,36.439364618670915,0.22756894768499172
1,115,1235,0.0026699962884439337,0.042776602597080195,36.40974614143307,0.22905184918104707
1,120,1239,0.002671322412336463,0.04281740189727795,36.41711472410123,0.2313745060227736
1,125,1239,0.002671322412336463,0.04281740189727795,36.41711472410123,0.2313745060227736
1,130,1239,0.002671322412336463,0.04281740189727795,36.41711472410123,0.2313745060227736
1,135,1239,0.002671322412336463,0.04281740189727795,36.41711472410123,0.2313745060227736
1,140,1239,0.002671322412336463,0.04281740189727795,36.41711472410123,0.2313745060227736
1,145,1239,0.002671322412336463,0.04281740189727795,36.41711472410123,0.2313745060227736
1,150,1239,0.002671322412336463,0.04281740189727795,36.41711472410123,0.2313745060227736
1,155,1239,0.002671322412336463,0.04281740189727795,36.41711472410123,0.2313745060227736
1,160,1239,0.002671322412336463,0.04281740189727795,36.41711472410123,0.2313745060227736
2,10,666,0.003970304664024129,0.05385902073788073,30.421351980104678,0.1488568005253803
2,15,1003,0.004017350440233836,0.0541537908056782,30.67536463456697,0.1519295014504352
2,20,1016,0.004019539755062493,0.054095136960067486,30.58634849941346,0.15397215169382122
2,25,1025,0.004013753166309444,0.05404269349732868,30.55182296638254,0.15778622921329236
2,30,1027,0.00400700188435725,0.05398039464274123,30.515743866542376,0.1581856810041681
2,35,1058,0.004030924933841259,0.053994266463228004,30.41978918237297,0.15370295133462952
2,40,1064,0.004039421131758454,0.05399428705021482,30.39600917229601,0.15476717606130866
2,45,1066,0.00403950819902932,0.05401252296256588,30.39697314260337,0.15436667002605742
2,50,1072,0.004066685721061289,0.05417449342173063,30.429626964820027,0.15118916182862907
2,55,1078,0.004076259394661823,0.054256042787348704,30.464398742367464,0.1476467938934759
2,60,1081,0.004078687422344716,0.05425615647989075,30.44395848894524,0.1469792863535663
2,65,1082,0.004091650935442662,0.05433037038024822,30.460288330856955,0.14556973376961121
2,70,1086,0.004097821797148308,0.054358782423046564,30.44650733812851,0.14602711109650238
2,75,1091,0.004130685892560973,0.0545605122164026,30.49177048300485,0.14242002427226447
2,80,1097,0.004160560183910608,0.05474319450449277,30.516679437886445,0.139218050358458
2,85,1108,0.0042145454341446405,0.05507663334966477,30.615898681271325,0.13085266147577582
2,90,1120,0.004235040369812828,0.05515159422746598,30.589466274008924,0.13112077070137637
2,95,1130,0.004240858374630935,0.05515738020657395,30.564982488592012,0.1317669064257382
2,100,1133,0.004253668997424829,0.05519061959996638,30.549931133739094,0.1305495395752474
2,105,1158,0.004238570265747192,0.055005137567151904,30.469002357828373,0.1380961650048553
2,110,1167,0.004240214077747832,0.05503710844566858,30.490803390710507,0.13828559373491997
2,115,1177,0.004228985676348374,0.05498612193947486,30.532566210387447,0.13615718246031522
2,120,1182,0.004234657743200466,0.055017327196358067,30.533180493776086,0.13643348407191172
2,125,1187,0.004239849610657504,0.05508755297621053,30.53884266066503,0.13528343262069692
2,130,1193,0.004253082760891398,0.0552135411814154,30.558384638161982,0.13878109482851836
2,135,1195,0.004249472843155594,0.05519769962574217,30.56935475526191,0.13792225543697148
2,140,1195,0.004249472843155594,0.05519769962574217,30.56935475526191,0.13792225543697148
2,145,1195,0.004249472843155594,0.05519769962574217,30.56935475526191,0.13792225543697148
2,150,1195,0.004249472843155594,0.05519769962574217,30.56935475526191,0.13792225543697148
2,155,1196,0.004257393507900366,0.05524949373140628,30.581394337253876,0.13698744995831744
2,160,1200,0.004259223693094819,0.055243488596746035,30.5680539909953,0.137695993219313
3,15,1052,0.0021004821640065916,0.03775698487008872,24.927037351963392,0.15868381381728705
3,20,1070,0.002095154512172037,0.0376863780965732,24.82529834155584,0.15761896913274226
3,25,1080,0.0020906607684306063,0.03763160858641974,24.76667580229616,0.16023045124157664
3,30,1082,0.0020885879051928944,0.03761352139248305,24.762101301761145,0.16061029531774593
3,35,1102,0.0021200052605475153,0.03783810853599515,24.78918083902178,0.15379709942282915
3,40,1122,0.0021269608574845254,0.03785509319073083,24.735975554684707,0.15282164206505885
3,45,1129,0.0021373323074030943,0.037947594331266606,24.7352486422665,0.15038016533217816
3,50,1132,0.002134456726299513,0.03793142434923439,24.728044854184013,0.1501925920658649
3,55,1138,0.00213687366194533,0.03796587971001757,24.739193116482276,0.14791178553734055
3,60,1140,0.002136898039871128,0.03795766244736841,24.722987532793418,0.1473910783380982
3,65,1141,0.0021490253523923147,0.038035165749342674,24.742119088050423,0.14542122270246355
3,70,1145,0.002155445128234216,0.038080133170305674,24.73621908759599,0.14520192808423266
3,75,1149,0.0021668285540452866,0.03818470627502175,24.76407708613067,0.14341127423941225
3,80,1155,0.002179115988630236,0.038310820357864345,24.788420628929806,0.14130563056184003
3,85,1164,0.0021940332426703527,0.038489476941580746,24.864822737711137,0.13546299432557915
3,90,1176,0.0022036120886825957,0.03857476791383219,24.87414628971824,0.13301581587017483
3,95,1191,0.0022122840090001363,0.03865503031514133,24.86036935100558,0.13985062081655653
3,100,1197,0.0022192634362111917,0.038711610118629905,24.888294886419907,0.1396131411618319
3,105,1224,0.002214998580819999,0.03866743273039215,24.872262903849176,0.14537767068629728
3,110,1236,0.002219135299883113,0.03874533606418554,24.942499294481042,0.14293103871079338
3,115,1245,0.002214887457360645,0.03873519807925033,24.933865269435763,0.14296737465130507
3,120,1250,0.002213891771865084,0.03872535179626666,24.90679980032163,0.14236629098988507
3,125,1254,0.0022168913623955054,0.03877564107814992,24.9117560928479,0.14129040934640238
3,130,1258,0.0022191026248736005,0.03881915399205087,24.937435536153465,0.14190721809575332
3,135,1260,0.0022171516195258123,0.03880738559417989,24.926124610276375,0.14559603243043776
3,140,1260,0.0022171516195258123,0.03880738559417989,24.926124610276375,0.14559603243043776
3,145,1260,0.0022171516195258123,0.03880738559417989,24.926124610276375,0.14559603243043776
3,150,1260,0.0022171516195258123,0.03880738559417989,24.926124610276375,0.14559603243043776
3,155,1260,0.0022171516195258123,0.03880738559417989,24.926124610276375,0.14559603243043776
3,160,1264,0.002219071875635751,0.03883377847204641,24.934901926383084,0.14610795863102988
4,10,1053,0.006020701387361649,0.06702169143975366,33.53775830365251,-0.011963170901208712
4,15,1053,0.006020701387361649,0.06702169143975366,33.53775830365251,-0.011963170901208712
4,20,1057,0.0060269829436616655,0.06703691273988703,33.51641947488952,-0.012009947526965166
4,25,1068,0.006037121858481758,0.0671033520437521,33.47218427700053,-0.011917101435359886
4,30,1072,0.006025156949073449,0.06702211639868837,33.43958479409601,-0.010550698677763783
4,35,1085,0.006061339991706736,0.0671493310962156,33.43357052008485,-0.01273480899479384
4,40,1099,0.006053684142275428,0.06713152168279701,33.425263355245264,-0.016117844317672353
