Model,Metric,Feature,Importance
RNN,MSE,Ppt,-0.0274
RNN,MSE,T_10,0.0971
RNN,MSE,Tair,-0.0450
RNN,MSE,RH,-0.0463
RNN,MSE,Windspeed,-0.0388
RNN,MSE,Winddirection,-0.0181
RNN,MSE,Srad,0.0403
RNN,MAE,Ppt,-0.0183
RNN,MAE,T_10,0.0442
RNN,MAE,Tair,-0.0260
RNN,MAE,RH,-0.0285
RNN,MAE,Windspeed,-0.0231
RNN,MAE,Winddirection,-0.0132
RNN,MAE,Srad,0.0192
RNN,MAE Percentage,Ppt,-1.8319
RNN,MAE Percentage,T_10,4.4295
RNN,MAE Percentage,Tair,-2.6049
RNN,MAE Percentage,RH,-2.8599
RNN,MAE Percentage,Windspeed,-2.3126
RNN,MAE Percentage,Winddirection,-1.3232
RNN,MAE Percentage,Srad,1.9224
RNN,R²,Ppt,-0.0275
RNN,R²,T_10,0.0975
RNN,R²,Tair,-0.0452
RNN,R²,RH,-0.0464
RNN,R²,Windspeed,-0.0390
RNN,R²,Winddirection,-0.0182
RNN,R²,Srad,0.0405
CNN,MSE,Ppt,0.0377
CNN,MSE,T_10,0.0825
CNN,MSE,Tair,0.0317
CNN,MSE,RH,0.0074
CNN,MSE,Windspeed,-0.0080
CNN,MSE,Winddirection,0.0053
CNN,MSE,Srad,-0.0028
CNN,MAE,Ppt,0.0281
CNN,MAE,T_10,0.0583
CNN,MAE,Tair,0.0171
CNN,MAE,RH,0.0121
CNN,MAE,Windspeed,0.0012
CNN,MAE,Winddirection,0.0062
CNN,MAE,Srad,0.0082
CNN,MAE Percentage,Ppt,2.8116
CNN,MAE Percentage,T_10,5.8409
CNN,MAE Percentage,Tair,1.7107
CNN,MAE Percentage,RH,1.2130
CNN,MAE Percentage,Windspeed,0.1176
CNN,MAE Percentage,Winddirection,0.6227
CNN,MAE Percentage,Srad,0.8179
CNN,R²,Ppt,0.0379
CNN,R²,T_10,0.0829
CNN,R²,Tair,0.0318
CNN,R²,RH,0.0075
CNN,R²,Windspeed,-0.0080
CNN,R²,Winddirection,0.0053
CNN,R²,Srad,-0.0029
Custom AR,MSE,Ppt,0.9735
Custom AR,MSE,T_10,0.6761
Custom AR,MSE,Tair,0.8458
Custom AR,MSE,RH,0.9884
Custom AR,MSE,Windspeed,0.9963
Custom AR,MSE,Winddirection,0.9955
Custom AR,MSE,Srad,0.9881
Custom AR,MAE,Ppt,0.8730
Custom AR,MAE,T_10,0.6472
Custom AR,MAE,Tair,0.7686
Custom AR,MAE,RH,0.8737
Custom AR,MAE,Windspeed,0.8805
Custom AR,MAE,Winddirection,0.8800
Custom AR,MAE,Srad,0.8723
Custom AR,MAE Percentage,Ppt,87.2981
Custom AR,MAE Percentage,T_10,64.7200
Custom AR,MAE Percentage,Tair,76.8622
Custom AR,MAE Percentage,RH,87.3699
Custom AR,MAE Percentage,Windspeed,88.0496
Custom AR,MAE Percentage,Winddirection,87.9953
Custom AR,MAE Percentage,Srad,87.2320
Custom AR,R²,Ppt,0.0266
Custom AR,R²,T_10,0.3239
Custom AR,R²,Tair,0.1543
Custom AR,R²,RH,0.0117
Custom AR,R²,Windspeed,0.0038
Custom AR,R²,Winddirection,0.0045
Custom AR,R²,Srad,0.0120

Model Performance Summary
Model,MSE,MAE,MAE Percentage,R²
RNN,0.8972,0.8324,83.41%,0.0992
CNN,0.5213,0.5521,55.32%,0.4766
Custom AR,0.9234,0.8279,82.79%,0.0767
