Model,Metric,Feature,Importance
RNN,MSE,Ppt,-0.0994
RNN,MSE,T_50,-0.0063
RNN,MSE,Tair,-0.1036
RNN,MSE,RH,-0.0305
RNN,MSE,Windspeed,-0.1019
RNN,MSE,Winddirection,-0.1121
RNN,MSE,Srad,-0.0526
RNN,MAE,Ppt,-0.0626
RNN,MAE,T_50,-0.0041
RNN,MAE,Tair,-0.0704
RNN,MAE,RH,-0.0176
RNN,MAE,Windspeed,-0.0619
RNN,MAE,Winddirection,-0.0669
RNN,MAE,Srad,-0.0300
RNN,MAE Percentage,Ppt,-6.2502
RNN,MAE Percentage,T_50,-0.4115
RNN,MAE Percentage,Tair,-7.0263
RNN,MAE Percentage,RH,-1.7609
RNN,MAE Percentage,Windspeed,-6.1725
RNN,MAE Percentage,Winddirection,-6.6788
RNN,MAE Percentage,Srad,-2.9899
RNN,R²,Ppt,-0.0990
RNN,R²,T_50,-0.0062
RNN,R²,Tair,-0.1032
RNN,R²,RH,-0.0304
RNN,R²,Windspeed,-0.1014
RNN,R²,Winddirection,-0.1117
RNN,R²,Srad,-0.0524
CNN,MSE,Ppt,-0.0150
CNN,MSE,T_50,0.1428
CNN,MSE,Tair,-0.0053
CNN,MSE,RH,0.0141
CNN,MSE,Windspeed,-0.0127
CNN,MSE,Winddirection,-0.0125
CNN,MSE,Srad,-0.0022
CNN,MAE,Ppt,-0.0102
CNN,MAE,T_50,0.1114
CNN,MAE,Tair,-0.0088
CNN,MAE,RH,0.0191
CNN,MAE,Windspeed,-0.0240
CNN,MAE,Winddirection,-0.0122
CNN,MAE,Srad,-0.0068
CNN,MAE Percentage,Ppt,-1.0131
CNN,MAE Percentage,T_50,11.1163
CNN,MAE Percentage,Tair,-0.8798
CNN,MAE Percentage,RH,1.9075
CNN,MAE Percentage,Windspeed,-2.3987
CNN,MAE Percentage,Winddirection,-1.2150
CNN,MAE Percentage,Srad,-0.6747
CNN,R²,Ppt,-0.0149
CNN,R²,T_50,0.1422
CNN,R²,Tair,-0.0053
CNN,R²,RH,0.0140
CNN,R²,Windspeed,-0.0127
CNN,R²,Winddirection,-0.0124
CNN,R²,Srad,-0.0022
Custom AR,MSE,Ppt,0.9997
Custom AR,MSE,T_50,0.7210
Custom AR,MSE,Tair,0.9127
Custom AR,MSE,RH,0.9999
Custom AR,MSE,Windspeed,1.0000
Custom AR,MSE,Winddirection,0.9969
Custom AR,MSE,Srad,0.9956
Custom AR,MAE,Ppt,0.8637
Custom AR,MAE,T_50,0.6169
Custom AR,MAE,Tair,0.7891
Custom AR,MAE,RH,0.8631
Custom AR,MAE,Windspeed,0.8638
Custom AR,MAE,Winddirection,0.8618
Custom AR,MAE,Srad,0.8593
Custom AR,MAE Percentage,Ppt,86.3678
Custom AR,MAE Percentage,T_50,61.6901
Custom AR,MAE Percentage,Tair,78.9115
Custom AR,MAE Percentage,RH,86.3093
Custom AR,MAE Percentage,Windspeed,86.3729
Custom AR,MAE Percentage,Winddirection,86.1734
Custom AR,MAE Percentage,Srad,85.9241
Custom AR,R²,Ppt,0.0004
Custom AR,R²,T_50,0.2790
Custom AR,R²,Tair,0.0874
Custom AR,R²,RH,0.0001
Custom AR,R²,Windspeed,0.0001
Custom AR,R²,Winddirection,0.0031
Custom AR,R²,Srad,0.0045

Model Performance Summary
Model,MSE,MAE,MAE Percentage,R²
RNN,0.9983,0.8645,86.27%,0.0058
CNN,0.6712,0.5937,59.25%,0.3315
Custom AR,0.9465,0.8168,81.68%,0.0535
