Model,Metric,Feature,Importance
RNN,MSE,Ppt,0.0391
RNN,MSE,T_5,0.0630
RNN,MSE,Tair,0.0133
RNN,MSE,RH,0.0753
RNN,MSE,Windspeed,0.0394
RNN,MSE,Winddirection,-0.0102
RNN,MSE,Srad,0.0198
RNN,MAE,Ppt,0.0220
RNN,MAE,T_5,0.0360
RNN,MAE,Tair,0.0091
RNN,MAE,RH,0.0405
RNN,MAE,Windspeed,0.0217
RNN,MAE,Winddirection,-0.0047
RNN,MAE,Srad,0.0097
RNN,MAE Percentage,Ppt,2.2001
RNN,MAE Percentage,T_5,3.6037
RNN,MAE Percentage,Tair,0.9149
RNN,MAE Percentage,RH,4.0555
RNN,MAE Percentage,Windspeed,2.1730
RNN,MAE Percentage,Winddirection,-0.4685
RNN,MAE Percentage,Srad,0.9696
RNN,R²,Ppt,0.0393
RNN,R²,T_5,0.0632
RNN,R²,Tair,0.0133
RNN,R²,RH,0.0756
RNN,R²,Windspeed,0.0396
RNN,R²,Winddirection,-0.0102
RNN,R²,Srad,0.0199
CNN,MSE,Ppt,0.0884
CNN,MSE,T_5,0.0951
CNN,MSE,Tair,0.0450
CNN,MSE,RH,0.0331
CNN,MSE,Windspeed,0.0260
CNN,MSE,Winddirection,0.0145
CNN,MSE,Srad,0.0005
CNN,MAE,Ppt,0.0498
CNN,MAE,T_5,0.0393
CNN,MAE,Tair,0.0135
CNN,MAE,RH,0.0065
CNN,MAE,Windspeed,0.0055
CNN,MAE,Winddirection,-0.0028
CNN,MAE,Srad,-0.0079
CNN,MAE Percentage,Ppt,4.9850
CNN,MAE Percentage,T_5,3.9326
CNN,MAE Percentage,Tair,1.3510
CNN,MAE Percentage,RH,0.6506
CNN,MAE Percentage,Windspeed,0.5537
CNN,MAE Percentage,Winddirection,-0.2812
CNN,MAE Percentage,Srad,-0.7931
CNN,R²,Ppt,0.0888
CNN,R²,T_5,0.0955
CNN,R²,Tair,0.0451
CNN,R²,RH,0.0332
CNN,R²,Windspeed,0.0261
CNN,R²,Winddirection,0.0145
CNN,R²,Srad,0.0005
Custom AR,MSE,Ppt,0.9674
Custom AR,MSE,T_5,0.6983
Custom AR,MSE,Tair,0.8528
Custom AR,MSE,RH,0.9924
Custom AR,MSE,Windspeed,0.9940
Custom AR,MSE,Winddirection,0.9956
Custom AR,MSE,Srad,0.9895
Custom AR,MAE,Ppt,0.8655
Custom AR,MAE,T_5,0.6670
Custom AR,MAE,Tair,0.7729
Custom AR,MAE,RH,0.8721
Custom AR,MAE,Windspeed,0.8735
Custom AR,MAE,Winddirection,0.8749
Custom AR,MAE,Srad,0.8684
Custom AR,MAE Percentage,Ppt,86.5483
Custom AR,MAE Percentage,T_5,66.6963
Custom AR,MAE Percentage,Tair,77.2836
Custom AR,MAE Percentage,RH,87.2041
Custom AR,MAE Percentage,Windspeed,87.3446
Custom AR,MAE Percentage,Winddirection,87.4874
Custom AR,MAE Percentage,Srad,86.8421
Custom AR,R²,Ppt,0.0327
Custom AR,R²,T_5,0.3018
Custom AR,R²,Tair,0.1473
Custom AR,R²,RH,0.0077
Custom AR,R²,Windspeed,0.0060
Custom AR,R²,Winddirection,0.0044
Custom AR,R²,Srad,0.0105

Model Performance Summary
Model,MSE,MAE,MAE Percentage,R²
RNN,0.8517,0.8007,80.23%,0.1451
CNN,0.5138,0.5684,56.95%,0.4842
Custom AR,0.9271,0.8277,82.77%,0.0729
