Model,Metric,Feature,Importance
RNN,MSE,Ppt,0.1122
RNN,MSE,T_5,-0.0093
RNN,MSE,Tair,0.0366
RNN,MSE,RH,0.0910
RNN,MSE,Windspeed,0.0833
RNN,MSE,Winddirection,0.0349
RNN,MSE,Srad,-0.0016
RNN,MAE,Ppt,0.1500
RNN,MAE,T_5,-0.0157
RNN,MAE,Tair,0.0536
RNN,MAE,RH,0.1238
RNN,MAE,Windspeed,0.1135
RNN,MAE,Winddirection,0.0510
RNN,MAE,Srad,-0.0026
RNN,MAE Percentage,Ppt,39.2412
RNN,MAE Percentage,T_5,-4.1039
RNN,MAE Percentage,Tair,14.0168
RNN,MAE Percentage,RH,32.3711
RNN,MAE Percentage,Windspeed,29.6934
RNN,MAE Percentage,Winddirection,13.3260
RNN,MAE Percentage,Srad,-0.6712
CNN,MSE,Ppt,-0.0038
CNN,MSE,T_5,0.0083
CNN,MSE,Tair,0.0030
CNN,MSE,RH,0.0231
CNN,MSE,Windspeed,0.0046
CNN,MSE,Winddirection,0.0049
CNN,MSE,Srad,0.0080
CNN,MAE,Ppt,-0.0109
CNN,MAE,T_5,0.0220
CNN,MAE,Tair,0.0070
CNN,MAE,RH,0.0280
CNN,MAE,Windspeed,0.0138
CNN,MAE,Winddirection,0.0143
CNN,MAE,Srad,0.0159
CNN,MAE Percentage,Ppt,-2.8562
CNN,MAE Percentage,T_5,5.7566
CNN,MAE Percentage,Tair,1.8434
CNN,MAE Percentage,RH,7.3186
CNN,MAE Percentage,Windspeed,3.5995
CNN,MAE Percentage,Winddirection,3.7336
CNN,MAE Percentage,Srad,4.1549
Custom AR,MSE,Ppt,0.0368
Custom AR,MSE,T_5,0.0270
Custom AR,MSE,Tair,0.0300
Custom AR,MSE,RH,0.0352
Custom AR,MSE,Windspeed,0.0369
Custom AR,MSE,Winddirection,0.0373
Custom AR,MSE,Srad,0.0369

Model Performance Summary
Model,MSE,MAE,MAE Percentage
RNN,0.0586,0.2110,55.19%
CNN,0.0309,0.1537,40.18%
