Model,Metric,Feature,Importance
RNN,MSE,Ppt,-0.0710
RNN,MSE,T_20,-0.0112
RNN,MSE,Tair,-0.0097
RNN,MSE,RH,-0.0692
RNN,MSE,Windspeed,-0.0392
RNN,MSE,Winddirection,-0.0188
RNN,MSE,Srad,-0.0216
RNN,MAE,Ppt,-0.0393
RNN,MAE,T_20,0.0109
RNN,MAE,Tair,-0.0016
RNN,MAE,RH,-0.0337
RNN,MAE,Windspeed,-0.0122
RNN,MAE,Winddirection,0.0023
RNN,MAE,Srad,-0.0025
RNN,MAE Percentage,Ppt,-3.9334
RNN,MAE Percentage,T_20,1.0884
RNN,MAE Percentage,Tair,-0.1605
RNN,MAE Percentage,RH,-3.3771
RNN,MAE Percentage,Windspeed,-1.2239
RNN,MAE Percentage,Winddirection,0.2304
RNN,MAE Percentage,Srad,-0.2518
RNN,R²,Ppt,-0.0711
RNN,R²,T_20,-0.0112
RNN,R²,Tair,-0.0097
RNN,R²,RH,-0.0693
RNN,R²,Windspeed,-0.0393
RNN,R²,Winddirection,-0.0188
RNN,R²,Srad,-0.0216
CNN,MSE,Ppt,0.0218
CNN,MSE,T_20,0.0353
CNN,MSE,Tair,0.0831
CNN,MSE,RH,0.0308
CNN,MSE,Windspeed,0.0048
CNN,MSE,Winddirection,-0.0372
CNN,MSE,Srad,-0.0065
CNN,MAE,Ppt,0.0006
CNN,MAE,T_20,0.0031
CNN,MAE,Tair,0.0160
CNN,MAE,RH,0.0276
CNN,MAE,Windspeed,-0.0014
CNN,MAE,Winddirection,-0.0246
CNN,MAE,Srad,-0.0178
CNN,MAE Percentage,Ppt,0.0621
CNN,MAE Percentage,T_20,0.3100
CNN,MAE Percentage,Tair,1.6038
CNN,MAE Percentage,RH,2.7650
CNN,MAE Percentage,Windspeed,-0.1386
CNN,MAE Percentage,Winddirection,-2.4583
CNN,MAE Percentage,Srad,-1.7776
CNN,R²,Ppt,0.0218
CNN,R²,T_20,0.0353
CNN,R²,Tair,0.0832
CNN,R²,RH,0.0309
CNN,R²,Windspeed,0.0048
CNN,R²,Winddirection,-0.0373
CNN,R²,Srad,-0.0065
Custom AR,MSE,Ppt,0.9875
Custom AR,MSE,T_20,0.9116
Custom AR,MSE,Tair,0.8306
Custom AR,MSE,RH,0.9923
Custom AR,MSE,Windspeed,0.9955
Custom AR,MSE,Winddirection,0.9964
Custom AR,MSE,Srad,0.9833
Custom AR,MAE,Ppt,0.8652
Custom AR,MAE,T_20,0.7657
Custom AR,MAE,Tair,0.7477
Custom AR,MAE,RH,0.8593
Custom AR,MAE,Windspeed,0.8664
Custom AR,MAE,Winddirection,0.8676
Custom AR,MAE,Srad,0.8556
Custom AR,MAE Percentage,Ppt,86.5154
Custom AR,MAE Percentage,T_20,76.5638
Custom AR,MAE Percentage,Tair,74.7641
Custom AR,MAE Percentage,RH,85.9269
Custom AR,MAE Percentage,Windspeed,86.6351
Custom AR,MAE Percentage,Winddirection,86.7557
Custom AR,MAE Percentage,Srad,85.5569
Custom AR,R²,Ppt,0.0125
Custom AR,R²,T_20,0.0884
Custom AR,R²,Tair,0.1695
Custom AR,R²,RH,0.0078
Custom AR,R²,Windspeed,0.0046
Custom AR,R²,Winddirection,0.0037
Custom AR,R²,Srad,0.0168

Model Performance Summary
Model,MSE,MAE,MAE Percentage,R²
RNN,0.9442,0.8241,82.47%,0.0545
CNN,0.6307,0.6215,62.20%,0.3685
Custom AR,0.9567,0.8325,83.25%,0.0433
