Model,Metric,Feature,Importance
RNN,MSE,Ppt,-0.0452
RNN,MSE,T_5,0.0009
RNN,MSE,Tair,0.0099
RNN,MSE,RH,-0.0469
RNN,MSE,Windspeed,-0.0159
RNN,MSE,Winddirection,-0.0020
RNN,MSE,Srad,-0.0157
RNN,MAE,Ppt,-0.0024
RNN,MAE,T_5,0.0111
RNN,MAE,Tair,0.0185
RNN,MAE,RH,-0.0116
RNN,MAE,Windspeed,0.0090
RNN,MAE,Winddirection,0.0144
RNN,MAE,Srad,0.0068
RNN,MAE Percentage,Ppt,-0.2354
RNN,MAE Percentage,T_5,1.1044
RNN,MAE Percentage,Tair,1.8436
RNN,MAE Percentage,RH,-1.1578
RNN,MAE Percentage,Windspeed,0.8927
RNN,MAE Percentage,Winddirection,1.4320
RNN,MAE Percentage,Srad,0.6781
RNN,R²,Ppt,-0.0448
RNN,R²,T_5,0.0009
RNN,R²,Tair,0.0098
RNN,R²,RH,-0.0465
RNN,R²,Windspeed,-0.0158
RNN,R²,Winddirection,-0.0019
RNN,R²,Srad,-0.0156
CNN,MSE,Ppt,0.0021
CNN,MSE,T_5,0.0697
CNN,MSE,Tair,0.0152
CNN,MSE,RH,0.0494
CNN,MSE,Windspeed,0.0484
CNN,MSE,Winddirection,0.0093
CNN,MSE,Srad,0.0118
CNN,MAE,Ppt,0.0132
CNN,MAE,T_5,0.0483
CNN,MAE,Tair,0.0031
CNN,MAE,RH,0.0373
CNN,MAE,Windspeed,0.0406
CNN,MAE,Winddirection,0.0134
CNN,MAE,Srad,0.0113
CNN,MAE Percentage,Ppt,1.3164
CNN,MAE Percentage,T_5,4.8076
CNN,MAE Percentage,Tair,0.3078
CNN,MAE Percentage,RH,3.7199
CNN,MAE Percentage,Windspeed,4.0478
CNN,MAE Percentage,Winddirection,1.3317
CNN,MAE Percentage,Srad,1.1249
CNN,R²,Ppt,0.0021
CNN,R²,T_5,0.0692
CNN,R²,Tair,0.0151
CNN,R²,RH,0.0490
CNN,R²,Windspeed,0.0480
CNN,R²,Winddirection,0.0093
CNN,R²,Srad,0.0117
Custom AR,MSE,Ppt,0.9788
Custom AR,MAE,Ppt,0.8547
Custom AR,MAE Percentage,Ppt,85.47%
Custom AR,R²,Ppt,0.0212
Custom AR,MSE,T_5,0.6946
Custom AR,MAE,T_5,0.6756
Custom AR,MAE Percentage,T_5,67.56%
Custom AR,R²,T_5,0.3054
Custom AR,MSE,Tair,0.7830
Custom AR,MAE,Tair,0.7361
Custom AR,MAE Percentage,Tair,73.61%
Custom AR,R²,Tair,0.2170
Custom AR,MSE,RH,0.9332
Custom AR,MAE,RH,0.8251
Custom AR,MAE Percentage,RH,82.50%
Custom AR,R²,RH,0.0669
Custom AR,MSE,Windspeed,0.9775
Custom AR,MAE,Windspeed,0.8493
Custom AR,MAE Percentage,Windspeed,84.93%
Custom AR,R²,Windspeed,0.0225
Custom AR,MSE,Winddirection,0.9964
Custom AR,MAE,Winddirection,0.8591
Custom AR,MAE Percentage,Winddirection,85.90%
Custom AR,R²,Winddirection,0.0036
Custom AR,MSE,Srad,0.9870
Custom AR,MAE,Srad,0.8519
Custom AR,MAE Percentage,Srad,85.18%
Custom AR,R²,Srad,0.0130

Model Performance Summary
Model,MSE,MAE,MAE Percentage,R²
RNN,0.8947,0.7973,79.41%,0.1123
CNN,0.4975,0.5535,55.13%,0.5064
