ar_bi_lstm,y_true,shift_bl,ar_lstm,lstm,bi_lstm,cnn
0.38218367,0.5729141555143438,0.6583313244114749,0.37890676,0.37920287,0.3640131,0.4127767
0.38332075,0.5729141555143438,0.6583313244114749,0.38112754,0.3828092,0.36541045,0.41422552
0.38373625,0.5761994312411565,0.6550460486846622,0.38210702,0.38669723,0.36562604,0.41225782
0.38383466,0.5761994312411565,0.6550460486846622,0.38256925,0.39005086,0.36578453,0.4087314
0.38319242,0.5794847069679692,0.6550460486846622,0.38213503,0.39257082,0.36573574,0.40523338
0.38221747,0.5794847069679692,0.6517607729578495,0.38100234,0.39355588,0.36410478,0.39772946
0.38128996,0.582769982694782,0.6517607729578495,0.3795363,0.39372584,0.36272234,0.40275064
0.3805238,0.582769982694782,0.6517607729578495,0.37811586,0.39514178,0.3626483,0.40395987
0.38020658,0.5860552584215947,0.6550460486846622,0.37724447,0.3982952,0.36416686,0.40722364
0.38030493,0.5860552584215947,0.6550460486846622,0.3767931,0.4024384,0.36557588,0.4088604
0.3795219,0.5860552584215947,0.6583313244114749,0.37470663,0.4037248,0.36554477,0.4174736
0.38120407,0.5926258098752202,0.6616166001382877,0.37534195,0.4032135,0.3675189,0.42580456
0.38123602,0.5959110856020329,0.6649018758651004,0.3761205,0.40143767,0.36559182,0.4280155
0.38108963,0.5959110856020329,0.6649018758651004,0.37717822,0.39989224,0.3653676,0.42966342
0.37790823,0.5926258098752202,0.6649018758651004,0.37490058,0.39540273,0.35819188,0.4329805
0.3808068,0.5926258098752202,0.6616166001382877,0.37833565,0.39773875,0.36339903,0.43402576
0.380782,0.5893405341484075,0.6616166001382877,0.37815157,0.39986256,0.3654694,0.4329609
0.38516474,0.5860552584215947,0.6616166001382877,0.38314357,0.40648168,0.3771844,0.42712536
0.38339186,0.582769982694782,0.6583313244114749,0.38111705,0.40927178,0.38112304,0.423685
0.3820578,0.5794847069679692,0.6583313244114749,0.3800465,0.40808865,0.380917,0.41959232
0.38065708,0.5794847069679692,0.6616166001382877,0.37858954,0.40382254,0.378425,0.41249475
0.38122064,0.5794847069679692,0.6616166001382877,0.3791733,0.39995933,0.37785634,0.40757567
0.38201094,0.5794847069679692,0.6616166001382877,0.38004172,0.39858443,0.37874433,0.40859407
0.38247877,0.5761994312411565,0.6616166001382877,0.38050044,0.39970416,0.37840322,0.41055936
0.38281304,0.5761994312411565,0.6616166001382877,0.38176787,0.4018905,0.37805706,0.41152453
0.38299662,0.5761994312411565,0.6616166001382877,0.3829713,0.4048939,0.37783962,0.41411114
0.38278252,0.5761994312411565,0.6616166001382877,0.38387656,0.40777937,0.3782139,0.4111207
0.38263738,0.5761994312411565,0.6616166001382877,0.38457268,0.4101381,0.3788507,0.40735734
0.38222474,0.5761994312411565,0.6583313244114749,0.38454077,0.41148695,0.37832332,0.40324673
0.38124353,0.5761994312411565,0.6550460486846622,0.38357615,0.41106373,0.3764336,0.4013834
0.38052893,0.5761994312411565,0.6550460486846622,0.38239858,0.40957823,0.37400404,0.40276152
0.38045913,0.5794847069679692,0.6517607729578495,0.38160127,0.40881765,0.3725655,0.40992463
0.381087,0.5794847069679692,0.6517607729578495,0.38136992,0.41040286,0.37294668,0.40968856
0.3818398,0.5794847069679692,0.6517607729578495,0.38149822,0.41352412,0.37445387,0.412032
0.38246638,0.582769982694782,0.6583313244114749,0.38152993,0.4170559,0.37704715,0.4174415
0.38307703,0.5860552584215947,0.6649018758651004,0.38143027,0.41843575,0.37810037,0.4236943
0.38346708,0.5893405341484075,0.6649018758651004,0.3812859,0.41667715,0.3773659,0.4283132
0.3813789,0.5926258098752202,0.6681871515919132,0.37937307,0.4086603,0.37112302,0.42835778
0.38188875,0.5893405341484075,0.6649018758651004,0.37992927,0.4014747,0.36854157,0.43147367
0.38474357,0.5860552584215947,0.6616166001382877,0.3825587,0.40330842,0.37524772,0.4308659
0.38420105,0.582769982694782,0.6550460486846622,0.38139343,0.40512228,0.37635493,0.43061632
0.3848766,0.5729141555143438,0.6451902215042241,0.38189474,0.4068327,0.3789203,0.4280672
0.38473177,0.569628879787531,0.6386196700505986,0.3814167,0.40636313,0.3796361,0.42151055
0.3831457,0.5663436040607183,0.6353343943237858,0.38040823,0.40382254,0.3782748,0.418261
0.38185918,0.5630583283339055,0.6353343943237858,0.37940544,0.39953655,0.37596658,0.4093402
0.38129193,0.5597730526070928,0.6320491185969731,0.3792296,0.39553595,0.37438056,0.40876642
0.38230187,0.5597730526070928,0.6320491185969731,0.37968713,0.394039,0.37478495,0.40918896
0.3845725,0.55648777688028,0.6287638428701603,0.38143215,0.39606562,0.3771392,0.40979815
0.3852116,0.55648777688028,0.6287638428701603,0.3825837,0.4005236,0.37871575,0.4094133
0.38537705,0.55648777688028,0.6287638428701603,0.3838761,0.40469494,0.37863785,0.40466326
0.3859272,0.55648777688028,0.6287638428701603,0.3855505,0.40868324,0.37890866,0.40566272
0.38590324,0.5597730526070928,0.6287638428701603,0.38659033,0.4109639,0.37809432,0.40103567
0.38507366,0.5597730526070928,0.6287638428701603,0.3865457,0.4113605,0.37555405,0.40200078
0.38542366,0.5597730526070928,0.6287638428701603,0.38697112,0.41157392,0.37489006,0.39905283
0.38476324,0.5630583283339055,0.6287638428701603,0.38641828,0.41057977,0.3725265,0.39903152
0.38497472,0.5663436040607183,0.6287638428701603,0.38612485,0.41069633,0.37230375,0.39497697
0.38538754,0.5663436040607183,0.6287638428701603,0.38602674,0.41117263,0.3724069,0.39991432
0.38626742,0.569628879787531,0.6287638428701603,0.38641846,0.4123459,0.3746,0.40030664
0.3878169,0.569628879787531,0.6353343943237858,0.3871735,0.414284,0.3790586,0.41295314
