Type,Date,Count
Common in Multiple Stations,10-18-2018,2
Common in Multiple Stations,10-17-2018,3
Common in Multiple Stations,05-13-2019,2
Common in Multiple Stations,11-03-2015,3
Common in Multiple Stations,05-18-2019,2
Common in Multiple Stations,10-16-2018,2
Common in Multiple Stations,10-26-2018,2
