TIMESTAMP,Rain_mm_Tot,AirTC_Avg,RH,WS_ms_S_WVT,WindDir_D1_WVT,SlrW_Avg,ETos,Rso
2016-12-05 20:00:00,0.0,7.966,96.7,0.305,189.0,0.0,0.001,0.0
2016-12-05 20:00:00,0.0,8.51,96.3,0.137,202.1,0.0,0.001,0.0
