Parameter,Start Timestamp,End Timestamp,Number Missing
SWC_20,2015-01-01 00:00:00,2016-02-20 12:00:00,9973
SWC_20,2016-02-20 14:00:00,2016-02-20 14:00:00,1
SWC_20,2018-04-05 20:00:00,2018-04-06 14:00:00,19
SWC_20,2018-04-08 18:00:00,2018-04-08 18:00:00,1
SWC_20,2018-04-08 22:00:00,2018-04-10 01:00:00,28
SWC_20,2018-04-10 18:00:00,2018-04-10 18:00:00,1
SWC_20,2018-04-10 20:00:00,2018-04-11 14:00:00,19
SWC_20,2018-04-11 20:00:00,2018-04-11 22:00:00,3
SWC_20,2018-04-12 17:00:00,2018-04-12 17:00:00,1
SWC_20,2018-04-13 00:00:00,2018-04-13 00:00:00,1
SWC_20,2018-04-13 03:00:00,2018-04-13 03:00:00,1
SWC_20,2018-04-13 20:00:00,2018-04-14 00:00:00,5
SWC_20,2018-04-14 20:00:00,2018-04-15 02:00:00,7
SWC_20,2018-04-15 04:00:00,2018-04-15 06:00:00,3
SWC_20,2018-04-15 13:00:00,2018-04-15 13:00:00,1
SWC_20,2018-04-15 19:00:00,2018-04-16 08:00:00,14
SWC_20,2018-04-16 13:00:00,2018-04-16 14:00:00,2
SWC_20,2018-04-16 19:00:00,2018-04-17 08:00:00,14
SWC_20,2018-04-17 13:00:00,2018-04-17 14:00:00,2
SWC_20,2018-04-17 19:00:00,2018-04-18 09:00:00,15
SWC_20,2018-04-18 18:00:00,2018-04-19 08:00:00,15
SWC_20,2018-04-19 19:00:00,2018-04-20 08:00:00,14
SWC_20,2018-04-20 17:00:00,2018-04-21 12:00:00,20
SWC_20,2018-04-21 19:00:00,2018-04-22 09:00:00,15
SWC_20,2018-04-22 13:00:00,2018-04-22 14:00:00,2
SWC_20,2018-04-22 19:00:00,2018-04-23 08:00:00,14
SWC_20,2018-04-23 13:00:00,2018-04-23 14:00:00,2
SWC_20,2018-04-23 19:00:00,2018-04-24 08:00:00,14
SWC_20,2018-04-24 19:00:00,2018-04-25 08:00:00,14
SWC_20,2018-04-25 14:00:00,2018-04-26 08:00:00,19
SWC_20,2018-04-26 13:00:00,2018-04-26 14:00:00,2
SWC_20,2018-04-26 19:00:00,2018-04-27 08:00:00,14
SWC_20,2018-04-27 19:00:00,2018-04-28 08:00:00,14
SWC_20,2018-04-28 19:00:00,2018-04-29 08:00:00,14
SWC_20,2018-04-29 19:00:00,2018-04-30 09:00:00,15
SWC_20,2018-04-30 13:00:00,2018-04-30 13:00:00,1
SWC_20,2018-04-30 16:00:00,2018-05-01 09:00:00,18
SWC_20,2018-05-01 12:00:00,2018-05-01 12:00:00,1
SWC_20,2018-05-01 15:00:00,2018-05-01 15:00:00,1
SWC_20,2018-05-01 18:00:00,2018-05-02 09:00:00,16
SWC_20,2018-05-02 18:00:00,2018-05-03 09:00:00,16
SWC_20,2018-05-03 11:00:00,2018-05-03 11:00:00,1
SWC_20,2018-05-03 19:00:00,2018-05-05 07:00:00,37
SWC_20,2018-05-05 13:00:00,2018-05-05 13:00:00,1
SWC_20,2018-05-05 17:00:00,2018-05-06 08:00:00,16
SWC_20,2018-05-06 13:00:00,2018-05-06 13:00:00,1
SWC_20,2018-05-06 19:00:00,2018-05-07 08:00:00,14
SWC_20,2018-05-07 19:00:00,2018-05-08 08:00:00,14
SWC_20,2018-05-08 19:00:00,2018-05-09 07:00:00,13
SWC_20,2018-05-09 09:00:00,2018-05-09 09:00:00,1
SWC_20,2018-05-09 19:00:00,2018-05-10 10:00:00,16
SWC_20,2018-05-10 13:00:00,2018-05-10 13:00:00,1
SWC_20,2018-05-10 19:00:00,2018-05-11 08:00:00,14
SWC_20,2018-05-11 13:00:00,2018-05-11 13:00:00,1
SWC_20,2018-05-11 19:00:00,2018-05-12 08:00:00,14
SWC_20,2018-05-12 13:00:00,2018-05-12 13:00:00,1
SWC_20,2018-05-12 19:00:00,2018-05-13 08:00:00,14
SWC_20,2018-05-13 19:00:00,2018-05-14 07:00:00,13
SWC_20,2018-05-14 19:00:00,2018-05-15 08:00:00,14
SWC_20,2018-05-15 13:00:00,2018-05-15 13:00:00,1
SWC_20,2018-05-15 18:00:00,2018-05-16 08:00:00,15
T_5,2016-02-20 14:00:00,2016-02-20 14:00:00,1
T_5,2018-04-10 18:00:00,2018-04-10 18:00:00,1
T_5,2018-04-14 20:00:00,2018-04-15 02:00:00,7
T_5,2018-04-15 04:00:00,2018-04-15 06:00:00,3
T_5,2018-04-15 13:00:00,2018-04-15 13:00:00,1
T_5,2018-04-15 19:00:00,2018-04-16 07:00:00,13
T_5,2018-04-16 13:00:00,2018-04-16 13:00:00,1
T_5,2018-04-16 19:00:00,2018-04-17 07:00:00,13
T_5,2018-04-17 13:00:00,2018-04-17 13:00:00,1
T_5,2018-04-17 19:00:00,2018-04-18 09:00:00,15
T_5,2018-04-18 18:00:00,2018-04-19 07:00:00,14
T_5,2018-04-19 19:00:00,2018-04-20 08:00:00,14
T_5,2018-04-20 17:00:00,2018-04-21 12:00:00,20
T_5,2018-04-21 19:00:00,2018-04-22 08:00:00,14
T_5,2018-04-22 13:00:00,2018-04-22 13:00:00,1
T_5,2018-04-22 19:00:00,2018-04-23 07:00:00,13
T_5,2018-04-23 13:00:00,2018-04-23 13:00:00,1
T_5,2018-04-23 19:00:00,2018-04-24 07:00:00,13
T_5,2018-04-24 19:00:00,2018-04-25 07:00:00,13
T_5,2018-04-25 14:00:00,2018-04-26 07:00:00,18
T_5,2018-04-26 13:00:00,2018-04-26 13:00:00,1
T_5,2018-04-26 19:00:00,2018-04-27 08:00:00,14
T_5,2018-04-27 19:00:00,2018-04-28 07:00:00,13
T_5,2018-04-28 19:00:00,2018-04-29 07:00:00,13
T_5,2018-04-29 19:00:00,2018-04-30 09:00:00,15
T_5,2018-04-30 13:00:00,2018-04-30 13:00:00,1
