Parameter,Start Timestamp,End Timestamp,Number Missing
Ppt,2019-11-18 13:00:00,2019-11-18 14:00:00,2
T_20,2016-03-14 00:00:00,2016-03-14 00:00:00,1
T_20,2019-11-18 13:00:00,2019-11-18 14:00:00,2
SWC_10,2016-03-14 00:00:00,2016-03-14 00:00:00,1
SWC_10,2019-11-18 13:00:00,2019-11-18 15:00:00,3
Tair,2019-11-18 13:00:00,2019-11-18 14:00:00,2
T_50,2016-03-14 00:00:00,2016-03-14 00:00:00,1
T_50,2019-11-18 13:00:00,2019-11-18 14:00:00,2
SWC_50,2016-03-14 00:00:00,2016-03-14 00:00:00,1
SWC_50,2017-01-30 13:00:00,2017-01-30 13:00:00,1
SWC_50,2019-11-18 13:00:00,2019-11-18 15:00:00,3
RH,2019-11-18 13:00:00,2019-11-18 14:00:00,2
Srad,2015-03-19 12:00:00,2015-03-19 13:00:00,2
Srad,2015-03-22 13:00:00,2015-03-22 13:00:00,1
Srad,2015-04-07 13:00:00,2015-04-07 13:00:00,1
Srad,2015-04-12 12:00:00,2015-04-12 12:00:00,1
Srad,2015-04-14 12:00:00,2015-04-14 13:00:00,2
Srad,2015-04-18 11:00:00,2015-04-18 12:00:00,2
Srad,2015-04-18 14:00:00,2015-04-18 14:00:00,1
Srad,2015-04-21 11:00:00,2015-04-21 12:00:00,2
Srad,2015-04-21 14:00:00,2015-04-21 15:00:00,2
Srad,2015-05-04 11:00:00,2015-05-04 13:00:00,3
Srad,2015-05-05 12:00:00,2015-05-05 13:00:00,2
Srad,2015-05-14 12:00:00,2015-05-14 12:00:00,1
Srad,2015-05-16 12:00:00,2015-05-16 12:00:00,1
Srad,2015-05-17 11:00:00,2015-05-17 14:00:00,4
Srad,2015-05-20 13:00:00,2015-05-20 13:00:00,1
Srad,2015-05-24 13:00:00,2015-05-24 14:00:00,2
Srad,2015-05-31 12:00:00,2015-05-31 14:00:00,3
Srad,2015-06-14 12:00:00,2015-06-14 12:00:00,1
Srad,2015-06-16 12:00:00,2015-06-16 13:00:00,2
Srad,2015-06-17 12:00:00,2015-06-17 13:00:00,2
Srad,2015-06-21 13:00:00,2015-06-21 13:00:00,1
Srad,2015-06-21 15:00:00,2015-06-21 15:00:00,1
Srad,2015-06-23 12:00:00,2015-06-23 14:00:00,3
Srad,2015-06-27 12:00:00,2015-06-27 13:00:00,2
Srad,2015-07-04 13:00:00,2015-07-04 14:00:00,2
Srad,2016-03-12 12:00:00,2016-03-12 12:00:00,1
Srad,2016-04-09 13:00:00,2016-04-09 14:00:00,2
Srad,2016-04-10 12:00:00,2016-04-10 12:00:00,1
Srad,2016-04-13 14:00:00,2016-04-13 15:00:00,2
Srad,2016-04-14 11:00:00,2016-04-14 11:00:00,1
Srad,2016-04-19 12:00:00,2016-04-19 12:00:00,1
Srad,2016-04-21 13:00:00,2016-04-21 13:00:00,1
Srad,2016-04-24 11:00:00,2016-04-24 11:00:00,1
Srad,2016-04-24 13:00:00,2016-04-24 13:00:00,1
Srad,2016-05-07 13:00:00,2016-05-07 14:00:00,2
Srad,2016-05-17 12:00:00,2016-05-17 14:00:00,3
Srad,2016-05-19 12:00:00,2016-05-19 12:00:00,1
Srad,2016-05-19 14:00:00,2016-05-19 14:00:00,1
Srad,2016-05-20 12:00:00,2016-05-20 13:00:00,2
Srad,2016-05-23 13:00:00,2016-05-23 13:00:00,1
Srad,2016-06-02 11:00:00,2016-06-02 12:00:00,2
Srad,2016-06-02 14:00:00,2016-06-02 14:00:00,1
Srad,2016-06-03 11:00:00,2016-06-03 14:00:00,4
Srad,2016-06-04 11:00:00,2016-06-04 13:00:00,3
Srad,2016-06-13 13:00:00,2016-06-13 13:00:00,1
Srad,2016-06-14 13:00:00,2016-06-14 14:00:00,2
Srad,2016-06-19 12:00:00,2016-06-19 13:00:00,2
Srad,2016-06-25 11:00:00,2016-06-25 11:00:00,1
Srad,2016-06-26 14:00:00,2016-06-26 14:00:00,1
Srad,2016-06-27 13:00:00,2016-06-27 13:00:00,1
Srad,2016-06-28 12:00:00,2016-06-28 12:00:00,1
Srad,2016-07-09 13:00:00,2016-07-09 13:00:00,1
Srad,2016-07-29 13:00:00,2016-07-29 13:00:00,1
Srad,2016-08-13 14:00:00,2016-08-13 14:00:00,1
Srad,2016-08-14 13:00:00,2016-08-14 13:00:00,1
Srad,2016-08-19 13:00:00,2016-08-19 14:00:00,2
Srad,2016-08-22 12:00:00,2016-08-22 13:00:00,2
Srad,2016-08-30 14:00:00,2016-08-30 14:00:00,1
Srad,2016-08-31 12:00:00,2016-08-31 12:00:00,1
Srad,2016-09-05 11:00:00,2016-09-05 11:00:00,1
Srad,2019-11-18 13:00:00,2019-11-18 14:00:00,2
SWC_5,2016-03-14 00:00:00,2016-03-14 00:00:00,1
SWC_5,2019-11-18 13:00:00,2019-11-18 14:00:00,2
Wind speed,2019-11-18 13:00:00,2019-11-18 14:00:00,2
T_10,2016-03-14 00:00:00,2016-03-14 00:00:00,1
T_10,2019-11-18 13:00:00,2019-11-18 14:00:00,2
Wind direction,2019-11-18 13:00:00,2019-11-18 14:00:00,2
SWC_20,2016-03-14 00:00:00,2016-03-14 00:00:00,1
SWC_20,2019-11-18 13:00:00,2019-11-18 15:00:00,3
T_5,2016-03-14 00:00:00,2016-03-14 00:00:00,1
T_5,2019-11-18 13:00:00,2019-11-18 14:00:00,2
