Parameter,Start Timestamp,End Timestamp,Number Missing
Srad,2015-03-16 14:00:00,2015-03-16 14:00:00,1
Srad,2015-03-18 13:00:00,2015-03-18 13:00:00,1
Srad,2015-03-19 12:00:00,2015-03-19 14:00:00,3
Srad,2015-03-22 12:00:00,2015-03-22 12:00:00,1
Srad,2015-03-30 12:00:00,2015-03-30 13:00:00,2
Srad,2015-04-01 14:00:00,2015-04-01 14:00:00,1
Srad,2015-04-06 13:00:00,2015-04-06 13:00:00,1
Srad,2015-04-07 14:00:00,2015-04-07 14:00:00,1
Srad,2015-04-12 12:00:00,2015-04-12 12:00:00,1
Srad,2015-04-12 14:00:00,2015-04-12 14:00:00,1
Srad,2015-04-14 12:00:00,2015-04-14 14:00:00,3
Srad,2015-04-18 12:00:00,2015-04-18 14:00:00,3
Srad,2015-04-21 13:00:00,2015-04-21 13:00:00,1
Srad,2015-05-03 13:00:00,2015-05-03 14:00:00,2
Srad,2015-05-04 12:00:00,2015-05-04 14:00:00,3
Srad,2015-05-05 11:00:00,2015-05-05 13:00:00,3
Srad,2015-05-14 12:00:00,2015-05-14 12:00:00,1
Srad,2015-05-17 12:00:00,2015-05-17 15:00:00,4
Srad,2015-05-20 12:00:00,2015-05-20 12:00:00,1
Srad,2015-05-20 14:00:00,2015-05-20 14:00:00,1
Srad,2015-05-24 13:00:00,2015-05-24 14:00:00,2
Srad,2015-05-27 12:00:00,2015-05-27 12:00:00,1
Srad,2015-05-31 11:00:00,2015-05-31 14:00:00,4
Srad,2015-06-14 12:00:00,2015-06-14 12:00:00,1
Srad,2015-06-14 14:00:00,2015-06-14 14:00:00,1
Srad,2015-06-16 11:00:00,2015-06-16 13:00:00,3
Srad,2015-06-17 12:00:00,2015-06-17 13:00:00,2
Srad,2015-06-23 12:00:00,2015-06-23 14:00:00,3
Srad,2015-06-24 13:00:00,2015-06-24 13:00:00,1
Srad,2015-06-26 14:00:00,2015-06-26 14:00:00,1
Srad,2015-06-27 12:00:00,2015-06-27 13:00:00,2
Srad,2015-07-01 13:00:00,2015-07-01 13:00:00,1
Srad,2015-07-04 14:00:00,2015-07-04 14:00:00,1
Srad,2015-07-28 12:00:00,2015-07-28 13:00:00,2
Srad,2015-09-13 12:00:00,2015-09-13 13:00:00,2
Srad,2015-09-16 12:00:00,2015-09-16 13:00:00,2
Srad,2016-02-23 13:00:00,2016-02-23 13:00:00,1
Srad,2016-04-07 14:00:00,2016-04-07 14:00:00,1
Srad,2016-04-08 15:00:00,2016-04-08 15:00:00,1
Srad,2016-04-09 13:00:00,2016-04-09 14:00:00,2
Srad,2016-04-13 14:00:00,2016-04-13 15:00:00,2
Srad,2016-04-19 14:00:00,2016-04-19 15:00:00,2
Srad,2016-04-24 13:00:00,2016-04-24 15:00:00,3
