Parameter,Start Timestamp,End Timestamp,Number Missing
T_5,2018-04-12 09:00:00,2018-05-06 10:00:00,578
T_5,2018-05-07 03:00:00,2018-05-07 06:00:00,4
Srad,2016-04-19 14:00:00,2016-04-19 14:00:00,1
Srad,2018-04-12 09:00:00,2018-05-06 10:00:00,578
Srad,2018-05-07 03:00:00,2018-05-07 06:00:00,4
SWC_10,2017-06-12 16:00:00,2017-06-12 20:00:00,5
SWC_10,2018-04-12 09:00:00,2018-05-06 10:00:00,578
SWC_10,2018-05-07 03:00:00,2018-05-07 06:00:00,4
SWC_10,2018-08-02 11:00:00,2018-08-02 11:00:00,1
SWC_10,2019-09-02 13:00:00,2019-09-02 19:00:00,7
Wind direction,2016-04-19 14:00:00,2016-04-19 14:00:00,1
Wind direction,2018-04-12 09:00:00,2018-05-06 10:00:00,578
Wind direction,2018-05-07 03:00:00,2018-05-07 06:00:00,4
SWC_5,2017-05-27 16:00:00,2017-05-27 22:00:00,7
SWC_5,2017-05-28 11:00:00,2017-05-28 19:00:00,9
SWC_5,2017-06-08 16:00:00,2017-06-09 06:00:00,15
SWC_5,2017-06-09 08:00:00,2017-06-10 05:00:00,22
SWC_5,2017-06-10 09:00:00,2017-06-10 18:00:00,10
SWC_5,2018-04-12 09:00:00,2018-05-06 10:00:00,578
SWC_5,2018-05-07 03:00:00,2018-05-07 06:00:00,4
SWC_5,2018-08-02 11:00:00,2018-08-02 11:00:00,1
Tair,2016-04-19 14:00:00,2016-04-19 14:00:00,1
Tair,2018-04-12 09:00:00,2018-08-02 15:00:00,2695
Tair,2019-03-25 15:00:00,2019-03-26 08:00:00,18
RH,2016-04-19 14:00:00,2016-04-19 14:00:00,1
RH,2018-04-12 09:00:00,2018-05-06 10:00:00,578
RH,2018-05-07 03:00:00,2018-05-07 06:00:00,4
RH,2018-05-16 11:00:00,2018-08-02 10:00:00,1872
RH,2019-03-25 15:00:00,2019-03-26 08:00:00,18
SWC_50,2017-09-30 13:00:00,2017-10-01 13:00:00,25
SWC_50,2018-04-12 09:00:00,2018-05-06 10:00:00,578
SWC_50,2018-05-07 03:00:00,2018-05-07 06:00:00,4
Ppt,2016-04-19 14:00:00,2016-04-19 14:00:00,1
Ppt,2018-04-12 09:00:00,2018-05-06 10:00:00,578
Ppt,2018-05-07 03:00:00,2018-05-07 06:00:00,4
T_10,2018-04-12 09:00:00,2018-05-06 10:00:00,578
T_10,2018-05-07 03:00:00,2018-05-07 06:00:00,4
SWC_20,2017-06-08 18:00:00,2017-06-09 05:00:00,12
SWC_20,2017-06-09 09:00:00,2017-06-12 02:00:00,66
SWC_20,2017-06-26 18:00:00,2017-06-26 22:00:00,5
SWC_20,2017-06-30 19:00:00,2017-07-01 01:00:00,7
SWC_20,2017-07-01 03:00:00,2017-07-01 03:00:00,1
SWC_20,2017-07-01 12:00:00,2017-07-01 12:00:00,1
SWC_20,2017-07-01 14:00:00,2017-07-06 07:00:00,114
SWC_20,2018-04-12 09:00:00,2018-05-06 10:00:00,578
SWC_20,2018-05-07 03:00:00,2018-05-07 06:00:00,4
SWC_20,2018-09-08 01:00:00,2018-09-08 02:00:00,2
SWC_20,2020-09-06 00:00:00,2020-09-06 01:00:00,2
T_50,2018-04-12 09:00:00,2018-05-06 10:00:00,578
T_50,2018-05-07 03:00:00,2018-05-07 06:00:00,4
Wind speed,2016-04-19 14:00:00,2016-04-19 14:00:00,1
Wind speed,2018-04-12 09:00:00,2018-05-06 10:00:00,578
Wind speed,2018-05-07 03:00:00,2018-05-07 06:00:00,4
T_20,2018-04-12 09:00:00,2018-05-06 10:00:00,578
T_20,2018-05-07 03:00:00,2018-05-07 06:00:00,4
