Parameter,Start Timestamp,End Timestamp,Number Missing
T_20,2019-11-19 09:00:00,2019-11-19 09:00:00,1
T_50,2015-01-01 00:00:00,2021-09-01 00:00:00,58441
SWC_10,2019-11-19 09:00:00,2019-11-19 09:00:00,1
T_10,2019-11-19 09:00:00,2019-11-19 09:00:00,1
Ppt,2019-11-19 09:00:00,2019-11-19 09:00:00,1
SWC_20,2019-11-19 09:00:00,2019-11-19 10:00:00,2
SWC_5,2019-11-19 09:00:00,2019-11-19 09:00:00,1
Wind speed,2019-11-19 09:00:00,2019-11-19 09:00:00,1
SWC_50,2015-01-01 00:00:00,2021-09-01 00:00:00,58441
Srad,2015-03-18 14:00:00,2015-03-18 14:00:00,1
Srad,2015-03-19 12:00:00,2015-03-19 13:00:00,2
Srad,2015-03-22 12:00:00,2015-03-22 14:00:00,3
Srad,2015-04-01 13:00:00,2015-04-01 14:00:00,2
Srad,2015-04-03 12:00:00,2015-04-03 13:00:00,2
Srad,2015-04-12 12:00:00,2015-04-12 13:00:00,2
Srad,2015-04-14 12:00:00,2015-04-14 13:00:00,2
Srad,2015-04-18 11:00:00,2015-04-18 14:00:00,4
Srad,2015-04-21 12:00:00,2015-04-21 13:00:00,2
Srad,2015-04-21 15:00:00,2015-04-21 15:00:00,1
Srad,2015-05-03 12:00:00,2015-05-03 12:00:00,1
Srad,2015-05-04 14:00:00,2015-05-04 14:00:00,1
Srad,2015-05-05 12:00:00,2015-05-05 12:00:00,1
Srad,2015-05-06 12:00:00,2015-05-06 12:00:00,1
Srad,2015-05-14 12:00:00,2015-05-14 12:00:00,1
Srad,2015-05-16 11:00:00,2015-05-16 12:00:00,2
Srad,2015-05-17 11:00:00,2015-05-17 13:00:00,3
Srad,2015-05-20 12:00:00,2015-05-20 13:00:00,2
Srad,2015-05-24 13:00:00,2015-05-24 14:00:00,2
Srad,2015-05-31 11:00:00,2015-05-31 13:00:00,3
Srad,2015-06-12 14:00:00,2015-06-12 14:00:00,1
Srad,2015-06-13 12:00:00,2015-06-13 13:00:00,2
Srad,2015-06-16 12:00:00,2015-06-16 14:00:00,3
Srad,2015-06-17 12:00:00,2015-06-17 14:00:00,3
Srad,2015-06-18 12:00:00,2015-06-18 12:00:00,1
Srad,2015-06-21 13:00:00,2015-06-21 14:00:00,2
Srad,2015-06-22 12:00:00,2015-06-22 12:00:00,1
Srad,2015-06-23 12:00:00,2015-06-23 13:00:00,2
Srad,2015-06-24 12:00:00,2015-06-24 12:00:00,1
Srad,2015-06-27 14:00:00,2015-06-27 14:00:00,1
Srad,2015-07-04 13:00:00,2015-07-04 14:00:00,2
Srad,2015-09-09 14:00:00,2015-09-09 14:00:00,1
Srad,2015-09-13 13:00:00,2015-09-13 13:00:00,1
Srad,2015-09-16 12:00:00,2015-09-16 13:00:00,2
Srad,2015-09-17 13:00:00,2015-09-17 13:00:00,1
Srad,2016-04-01 15:00:00,2016-04-01 15:00:00,1
Srad,2016-04-09 14:00:00,2016-04-09 14:00:00,1
Srad,2016-04-10 11:00:00,2016-04-10 14:00:00,4
Srad,2016-04-13 14:00:00,2016-04-13 15:00:00,2
Srad,2016-04-14 11:00:00,2016-04-14 11:00:00,1
Srad,2016-04-16 15:00:00,2016-04-16 15:00:00,1
Srad,2016-04-19 15:00:00,2016-04-19 15:00:00,1
Srad,2016-04-20 13:00:00,2016-04-20 14:00:00,2
Srad,2016-04-21 13:00:00,2016-04-21 13:00:00,1
Srad,2016-04-24 12:00:00,2016-04-24 14:00:00,3
Srad,2016-05-07 12:00:00,2016-05-07 14:00:00,3
Srad,2016-05-16 11:00:00,2016-05-16 12:00:00,2
Srad,2016-05-17 11:00:00,2016-05-17 14:00:00,4
Srad,2016-05-19 12:00:00,2016-05-19 12:00:00,1
Srad,2016-05-19 14:00:00,2016-05-19 14:00:00,1
Srad,2016-05-20 12:00:00,2016-05-20 13:00:00,2
Srad,2016-05-21 14:00:00,2016-05-21 14:00:00,1
Srad,2016-05-27 12:00:00,2016-05-27 12:00:00,1
Srad,2016-06-01 12:00:00,2016-06-01 12:00:00,1
Srad,2016-06-02 12:00:00,2016-06-02 15:00:00,4
Srad,2016-06-03 11:00:00,2016-06-03 11:00:00,1
Srad,2016-06-03 13:00:00,2016-06-03 14:00:00,2
Srad,2016-06-04 11:00:00,2016-06-04 14:00:00,4
Srad,2016-06-13 12:00:00,2016-06-13 12:00:00,1
Srad,2016-06-14 13:00:00,2016-06-14 14:00:00,2
Srad,2016-06-19 12:00:00,2016-06-19 13:00:00,2
Srad,2016-06-22 13:00:00,2016-06-22 13:00:00,1
Srad,2016-06-26 14:00:00,2016-06-26 15:00:00,2
Srad,2016-06-27 12:00:00,2016-06-27 13:00:00,2
Srad,2016-06-28 14:00:00,2016-06-28 14:00:00,1
Srad,2016-07-09 11:00:00,2016-07-09 13:00:00,3
Srad,2016-07-18 13:00:00,2016-07-18 13:00:00,1
Srad,2016-07-29 11:00:00,2016-07-29 11:00:00,1
Srad,2016-07-29 14:00:00,2016-07-29 14:00:00,1
Srad,2016-08-13 12:00:00,2016-08-13 12:00:00,1
