Station1,CNN,Sat_SM_AMSR,mae,Tair,0.0051
Station1,CNN,Sat_SM_AMSR,mae,RH,0.0070
Station1,CNN,Sat_SM_AMSR,mae,Windspeed,0.0275
Station1,CNN,Sat_SM_AMSR,mae,Winddirection,0.0060
Station1,CNN,Sat_SM_AMSR,mae,Srad,0.0032
Station1,CNN,Sat_SM_AMSR,mae_percentage,Ppt,0.7572
Station1,CNN,Sat_SM_AMSR,mae_percentage,Tair,0.5355
Station1,CNN,Sat_SM_AMSR,mae_percentage,RH,0.7349
Station1,CNN,Sat_SM_AMSR,mae_percentage,Windspeed,2.8840
Station1,CNN,Sat_SM_AMSR,mae_percentage,Winddirection,0.6302
Station1,CNN,Sat_SM_AMSR,mae_percentage,Srad,0.3301
Station1,CNN,Sat_SM_AMSR,r2,Ppt,-0.0049
Station1,CNN,Sat_SM_AMSR,r2,Tair,-0.0157
Station1,CNN,Sat_SM_AMSR,r2,RH,0.0119
Station1,CNN,Sat_SM_AMSR,r2,Windspeed,-0.0066
Station1,CNN,Sat_SM_AMSR,r2,Winddirection,-0.0040
Station1,CNN,Sat_SM_AMSR,r2,Srad,0.0039
Station1,CNN,Sat_SM_SMAP,performance,0.5973,0.5603,56.7681,0.3868
Station1,CNN,Sat_SM_AMSR,performance,0.8967,0.6528,68.3915,0.0157
Station1,Custom AR,Sat_SM_SMAP,mse,Ppt,0.4151
Station1,Custom AR,Sat_SM_SMAP,mse,Tair,0.0516
Station1,Custom AR,Sat_SM_SMAP,mse,RH,0.0837
Station1,Custom AR,Sat_SM_SMAP,mse,Windspeed,0.0003
Station1,Custom AR,Sat_SM_SMAP,mse,Winddirection,0.0010
Station1,Custom AR,Sat_SM_SMAP,mse,Srad,0.0047
Station1,Custom AR,Sat_SM_SMAP,mae,Ppt,0.2469
Station1,Custom AR,Sat_SM_SMAP,mae,Tair,0.0393
Station1,Custom AR,Sat_SM_SMAP,mae,RH,0.0499
Station1,Custom AR,Sat_SM_SMAP,mae,Windspeed,0.0002
Station1,Custom AR,Sat_SM_SMAP,mae,Winddirection,-0.0003
Station1,Custom AR,Sat_SM_SMAP,mae,Srad,0.0051
Station1,Custom AR,Sat_SM_SMAP,mae_percentage,Ppt,24.6887
