Model,MAE,MAPE,MSE,R2
linear,0.11133205145597458,37.65711975097656,0.01964246667921543,-1.0
autoregressive,0.11284565925598145,41.55699157714844,0.019088139757514,-1.0
dense,0.16216066479682922,38.14766311645508,0.04574524238705635,-1.0
CNN,0.3125069737434387,104.47416687011719,0.15903444588184357,-0.8970794677734375
