loss,mean_absolute_error,mean_squared_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_squared_error,val_mean_absolute_percentage_error
0.053105223923921585,0.17508220672607422,0.0531051866710186,41417.80078125,0.0510798878967762,0.18502624332904816,0.051079876720905304,61.505191802978516
0.03460828214883804,0.14694125950336456,0.034608274698257446,67685.421875,0.06619759649038315,0.2112616002559662,0.06619758903980255,72.43238067626953
0.030787277966737747,0.137808158993721,0.03078729473054409,84249.296875,0.047777943313121796,0.1756092756986618,0.0477779284119606,64.49293518066406
0.02867852710187435,0.13276419043540955,0.0286785289645195,84165.046875,0.04115431010723114,0.1652030348777771,0.04115430638194084,57.5582389831543
0.0263886246830225,0.12562941014766693,0.026388632133603096,68855.546875,0.04054582118988037,0.15560275316238403,0.040545810014009476,44.94658660888672
0.02572978101670742,0.12404829263687134,0.02572977915406227,69016.2734375,0.048789795488119125,0.16139160096645355,0.04878980293869972,40.74598693847656
0.024478502571582794,0.12150432914495468,0.02447851188480854,56971.3984375,0.04603296518325806,0.16111429035663605,0.04603296518325806,40.35220718383789
0.023303156718611717,0.1166081503033638,0.023303158581256866,45034.99609375,0.034185316413640976,0.14063069224357605,0.03418530151247978,37.046878814697266
0.022287527099251747,0.11457119882106781,0.022287525236606598,43618.828125,0.028121937066316605,0.12783031165599823,0.028121942654252052,34.883480072021484
0.02151704579591751,0.11188626289367676,0.021517042070627213,39903.4453125,0.02611585333943367,0.12313152104616165,0.026115845888853073,33.985755920410156
0.021266808733344078,0.10999371111392975,0.021266797557473183,22430.712890625,0.024721041321754456,0.12173248082399368,0.02472103387117386,35.113651275634766
0.021251466125249863,0.11010880768299103,0.02125146985054016,36638.65625,0.02700125426054001,0.12503036856651306,0.027001257985830307,34.414161682128906
0.02127823233604431,0.11069129407405853,0.021278241649270058,35877.66796875,0.026209073141217232,0.12387612462043762,0.026209060102701187,34.675533294677734
0.021240636706352234,0.11039827764034271,0.021240631118416786,35903.3359375,0.02620159648358822,0.12366283684968948,0.026201600208878517,34.486061096191406
