loss,mean_absolute_error,mean_squared_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_squared_error,val_mean_absolute_percentage_error
0.21992848813533783,0.364890992641449,0.219928577542305,146737.765625,0.08110316842794418,0.2328612208366394,0.08110318332910538,90.29318237304688
0.045830752700567245,0.17092058062553406,0.04583073779940605,133464.859375,0.03298802301287651,0.15042844414710999,0.03298802301287651,60.21670913696289
0.025871749967336655,0.1260567009449005,0.025871755555272102,102275.3671875,0.024439256638288498,0.12938246130943298,0.0244392529129982,50.124305725097656
0.023109229281544685,0.11794501543045044,0.023109229281544685,82389.421875,0.021810559555888176,0.12155658006668091,0.021810559555888176,45.880550384521484
0.02201808989048004,0.11422792077064514,0.02201809547841549,68158.4765625,0.020719654858112335,0.11791722476482391,0.020719654858112335,43.994850158691406
0.02148996852338314,0.11198925226926804,0.02148996852338314,60691.02734375,0.020130710676312447,0.11572884023189545,0.020130708813667297,42.86853790283203
0.021184008568525314,0.11076145619153976,0.021184004843235016,61686.7890625,0.01972813345491886,0.11407111585140228,0.01972813718020916,41.95147705078125
0.02101951278746128,0.10961442440748215,0.021019520238041878,56333.44921875,0.019477099180221558,0.11293856799602509,0.019477104768157005,41.30233383178711
0.020827868953347206,0.10864231735467911,0.020827868953347206,52711.0,0.019317490980029106,0.11218010634183884,0.019317494705319405,40.867549896240234
0.02071082592010498,0.10824114829301834,0.020710814744234085,52594.90625,0.019180772826075554,0.1115049496293068,0.019180769100785255,40.45124816894531
0.020768191665410995,0.10789226740598679,0.020768199115991592,51446.95703125,0.019103121012449265,0.11108852177858353,0.019103117287158966,40.188236236572266
0.020616140216588974,0.10722515732049942,0.020616142079234123,48584.03125,0.019074518233537674,0.11098729819059372,0.019074518233537674,40.18083572387695
0.02056952193379402,0.10714946687221527,0.020569516345858574,49708.19140625,0.01903218775987625,0.11082088947296143,0.0190321933478117,40.1060676574707
0.020627783611416817,0.10718207061290741,0.020627779886126518,49130.77734375,0.018993763253092766,0.11064322292804718,0.018993763253092766,39.99388885498047
0.02047847770154476,0.10655887424945831,0.02047848142683506,46499.10546875,0.018997635692358017,0.11074011027812958,0.018997641280293465,40.11497116088867
0.020482627674937248,0.10653778165578842,0.020482636988162994,46021.01171875,0.018995657563209534,0.110818050801754,0.018995655700564384,40.2116813659668
0.020483093336224556,0.10669548809528351,0.020483097061514854,47930.25390625,0.018965937197208405,0.11072371900081635,0.018965944647789,40.15874099731445
0.020418988540768623,0.10625477135181427,0.020418990403413773,45471.24609375,0.01898086816072464,0.1108735203742981,0.01898087002336979,40.299415588378906
0.02040592022240162,0.10613472759723663,0.020405922085046768,44704.8046875,0.019002651795744896,0.11108226329088211,0.019002651795744896,40.487396240234375
0.020358117297291756,0.10626384615898132,0.020358117297291756,46837.53125,0.01897624135017395,0.1110263243317604,0.01897624135017395,40.46445846557617
