event_id,time_of_day,duration_hours,cooling_effect_C,recovery_time_hours
160,Night/Early Morning,1.0,0.0,
161,Night/Early Morning,2.0,1.8699999999999992,1.0
162,Morning,3.0,0.0,
163,Morning,2.0,0.0,5.0
164,Night/Early Morning,4.0,4.200000000000001,5.0
165,Afternoon,1.0,0.0,
166,Night/Early Morning,1.0,0.0,
167,Night/Early Morning,1.0,0.0,
168,Night/Early Morning,2.0,0.0,
169,Afternoon,1.0,0.0,1.0
170,Night/Early Morning,10.0,3.768,
171,Night/Early Morning,4.0,4.720000000000001,
172,Night/Early Morning,2.0,0.009999999999999787,4.0
173,Morning,7.0,0.0,5.0
174,Night/Early Morning,1.0,0.0,3.0
175,Night/Early Morning,2.0,0.0,1.0
176,Night/Early Morning,2.0,0.0,
177,Night/Early Morning,1.0,0.0,6.0
178,Morning,1.0,0.0,2.0
179,Morning,1.0,0.0,1.0
180,Night/Early Morning,3.0,3.880000000000001,
181,Morning,1.0,0.0,
182,Morning,1.0,0.0,
183,Morning,1.0,0.0,
184,Morning,2.0,4.179999999999998,1.0
185,Night/Early Morning,3.0,3.17,4.0
186,Night/Early Morning,4.0,5.85,1.0
187,Night/Early Morning,2.0,0.379999999999999,
188,Afternoon,1.0,0.0,2.0
189,Night/Early Morning,2.0,1.5100000000000016,
190,Night/Early Morning,1.0,0.0,
191,Night/Early Morning,2.0,4.289999999999999,3.0
192,Night/Early Morning,1.0,0.0,1.0
193,Night/Early Morning,1.0,0.0,
194,Morning,1.0,0.0,6.0
195,Afternoon,1.0,0.0,3.0
196,Night/Early Morning,3.0,2.0700000000000003,
197,Night/Early Morning,3.0,2.919999999999998,
198,Night/Early Morning,5.0,0.33999999999999986,4.0
199,Afternoon,5.0,3.759999999999998,1.0
200,Afternoon,2.0,2.360000000000003,2.0
201,Night/Early Morning,2.0,2.9200000000000017,
202,Night/Early Morning,1.0,0.0,
203,Morning,2.0,0.990000000000002,
204,Night/Early Morning,1.0,0.0,
205,Night/Early Morning,1.0,0.0,
206,Morning,2.0,0.0,
207,Night/Early Morning,2.0,0.8299999999999983,
208,Afternoon,1.0,0.0,
209,Night/Early Morning,1.0,0.0,
210,Afternoon,2.0,1.5700000000000003,
211,Morning,3.0,0.9199999999999982,
212,Afternoon,1.0,0.0,
213,Night/Early Morning,1.0,0.0,
214,Night/Early Morning,4.0,4.02,
215,Morning,1.0,0.0,
216,Afternoon,1.0,0.0,
217,Afternoon,1.0,0.0,
218,Night/Early Morning,1.0,0.0,
219,Morning,2.0,4.399999999999999,
220,Afternoon,2.0,5.980000000000004,
221,Night/Early Morning,2.0,6.66,
222,Afternoon,1.0,0.0,
223,Afternoon,5.0,10.440000000000001,
224,Morning,1.0,0.0,
225,Morning,4.0,0.0,
226,Night/Early Morning,1.0,0.0,
227,Morning,1.0,0.0,
228,Night/Early Morning,8.0,2.09,
229,Morning,4.0,0.21000000000000085,
230,Afternoon,1.0,0.0,
231,Afternoon,5.0,0.34999999999999787,
232,Night/Early Morning,1.0,0.0,
233,Night/Early Morning,6.0,0.17999999999999972,
234,Morning,5.0,0.629999999999999,
235,Afternoon,1.0,0.0,
236,Night/Early Morning,1.0,0.0,
237,Morning,1.0,0.0,
238,Afternoon,3.0,1.1799999999999997,
239,Night/Early Morning,2.0,0.259999999999998,
240,Morning,1.0,0.0,
241,Afternoon,1.0,0.0,
242,Afternoon,6.0,2.3299999999999983,
243,Morning,1.0,0.0,4.0
244,Afternoon,9.0,0.8299999999999983,
245,Night/Early Morning,11.0,0.3999999999999986,1.0
246,Afternoon,1.0,0.0,
247,Afternoon,1.0,0.0,
248,Night/Early Morning,1.0,0.0,
249,Night/Early Morning,2.0,0.03999999999999915,
250,Night/Early Morning,2.0,0.030000000000001137,
251,Morning,1.0,0.0,
252,Morning,1.0,0.0,5.0
253,Morning,1.0,0.0,
254,Night/Early Morning,2.0,5.670000000000002,
255,Morning,1.0,0.0,
256,Morning,1.0,0.0,
257,Afternoon,4.0,0.0,
258,Night/Early Morning,2.0,0.11699999999999999,
259,Morning,1.0,0.0,6.0
260,Night/Early Morning,3.0,0.5,
261,Morning,1.0,0.0,1.0
262,Night/Early Morning,1.0,0.0,3.0
263,Night/Early Morning,5.0,1.6660000000000004,
264,Night/Early Morning,13.0,1.5690000000000002,
265,Night/Early Morning,15.0,0.2599999999999998,
266,Night/Early Morning,1.0,0.0,
267,Night/Early Morning,1.0,0.0,1.0
268,Night/Early Morning,1.0,0.0,
269,Morning,2.0,0.46999999999999886,3.0
270,Morning,1.0,0.0,1.0
271,Morning,1.0,0.0,4.0
272,Morning,1.0,0.0,2.0
273,Morning,2.0,5.050000000000001,
274,Afternoon,1.0,0.0,
275,Night/Early Morning,1.0,0.0,
276,Night/Early Morning,1.0,0.0,
277,Morning,1.0,0.0,
278,Morning,1.0,0.0,
279,Morning,1.0,0.0,
280,Night/Early Morning,1.0,0.0,
281,Night/Early Morning,3.0,0.08000000000000007,
282,Morning,2.0,0.0,
283,Morning,1.0,0.0,
284,Night/Early Morning,1.0,0.0,1.0
285,Morning,1.0,0.0,
286,Morning,1.0,0.0,
287,Afternoon,3.0,1.8730000000000002,
288,Afternoon,1.0,0.0,
289,Night/Early Morning,2.0,0.1999999999999993,
290,Morning,2.0,0.4499999999999993,
291,Night/Early Morning,4.0,6.377,
292,Morning,1.0,0.0,
293,Morning,7.0,3.021,
294,Morning,3.0,0.0,
295,Night/Early Morning,1.0,0.0,
296,Morning,4.0,0.0,6.0
297,Morning,2.0,0.0,
298,Morning,1.0,0.0,
299,Morning,1.0,0.0,4.0
300,Night/Early Morning,1.0,0.0,
301,Night/Early Morning,1.0,0.0,
302,Night/Early Morning,2.0,0.0,
303,Morning,6.0,3.84,5.0
304,Night/Early Morning,5.0,0.25,6.0
305,Morning,47.0,9.576624980465567,
306,Morning,4.0,0.0,
307,Afternoon,17.0,9.276673936422753,
308,Morning,5.0,5.583206350865797,
309,Afternoon,20.0,9.111243324831662,
310,Afternoon,16.0,9.412913762853353,
311,Morning,26.0,16.197061533853002,
312,Afternoon,20.0,7.05180742512789,
313,Morning,1.0,0.0,
314,Afternoon,23.0,26.723121397834575,
315,Afternoon,17.0,9.57139232280656,
316,Morning,3.0,0.0,
317,Afternoon,17.0,11.498787907171048,
318,Morning,1.0,0.0,
319,Afternoon,16.0,9.50960511208757,
320,Morning,1.0,0.0,
321,Morning,69.0,28.059464097563705,
322,Morning,4.0,0.8383678508939738,
323,Afternoon,2.0,6.100742044854655,
324,Afternoon,64.0,41.445524467834055,
325,Morning,2.0,0.0,
326,Afternoon,1.0,0.0,
327,Afternoon,16.0,11.20094814310471,
328,Morning,25.0,20.070077525005217,
329,Afternoon,25.0,10.19229384471498,
330,Afternoon,1.0,0.0,
331,Morning,1.0,0.0,
332,Afternoon,3.0,4.011622442447562,
333,Morning,2.0,0.07662803066238766,
334,Night/Early Morning,5.0,0.0,
335,Morning,1.0,0.0,
336,Night/Early Morning,2.0,8.0,
