Label Feature,Dropped Feature,Model Name,Test MSE,Test MAE,Test MAPE
SWC_5,Baseline,Baseline,0.06868959218263626,0.10699513554573059,18.387845993041992
SWC_5,Baseline,Multi-step Linear,0.03732755780220032,0.06321677565574646,11.079182624816895
SWC_5,Baseline,Multi-step Dense,0.04017648845911026,0.09359897673130035,19.71636390686035
SWC_5,Baseline,CNN,0.03829251229763031,0.0883680209517479,16.133922576904297
SWC_5,Baseline,RNN,0.036157090216875076,0.08146793395280838,14.379875183105469
SWC_5,Baseline,LSTM,0.03977346792817116,0.10371598601341248,21.687654495239258
SWC_5,Baseline,Autoregressive,0.0783502534031868,0.16665782034397125,22.030115127563477
SWC_5,Baseline,Bi-LSTM,0.050509870052337646,0.130326047539711,30.40648078918457
SWC_5,Ppt,Baseline,3.225990056991577,1.4930171966552734,224.32814025878906
SWC_5,Ppt,Multi-step Linear,0.036849841475486755,0.05849490314722061,10.98842716217041
SWC_5,Ppt,Multi-step Dense,0.04376734420657158,0.10275428742170334,17.4696044921875
SWC_5,Ppt,CNN,0.04910645633935928,0.12064280360937119,21.865520477294922
SWC_5,Ppt,RNN,0.03896517679095268,0.08731426298618317,15.419015884399414
SWC_5,Ppt,LSTM,0.06501314789056778,0.162213996052742,27.984146118164062
SWC_5,Ppt,Autoregressive,0.10828415304422379,0.23509269952774048,30.49188232421875
SWC_5,Ppt,Bi-LSTM,0.050631746649742126,0.1250636875629425,34.34624099731445
SWC_5,T_5,Baseline,0.06868957728147507,0.1069951131939888,18.387845993041992
SWC_5,T_5,Multi-step Linear,0.03702934831380844,0.060559965670108795,10.149017333984375
SWC_5,T_5,Multi-step Dense,0.044183045625686646,0.11428023129701614,18.63242530822754
SWC_5,T_5,CNN,0.045469120144844055,0.11901849508285522,20.43284797668457
SWC_5,T_5,RNN,0.0399150587618351,0.10258625447750092,16.56241798400879
SWC_5,T_5,LSTM,0.04087699204683304,0.10880548506975174,17.69088363647461
SWC_5,T_5,Autoregressive,0.07501566410064697,0.1596379578113556,27.24344825744629
SWC_5,T_5,Bi-LSTM,0.06770936399698257,0.18205365538597107,29.342697143554688
SWC_5,T_10,Baseline,0.06868959963321686,0.1069951206445694,18.387853622436523
SWC_5,T_10,Multi-step Linear,0.06684578955173492,0.16514568030834198,30.68442726135254
SWC_5,T_10,Multi-step Dense,0.0384252555668354,0.09497260302305222,16.173603057861328
SWC_5,T_10,CNN,0.03852436691522598,0.09355348348617554,16.211448669433594
SWC_5,T_10,RNN,0.03402089327573776,0.07427367568016052,13.0569486618042
SWC_5,T_10,LSTM,0.03569848835468292,0.08287812769412994,14.321249008178711
SWC_5,T_10,Autoregressive,0.0815555527806282,0.18468084931373596,24.355731964111328
SWC_5,T_10,Bi-LSTM,0.03904442489147186,0.0966932401061058,18.21430206298828
SWC_5,T_20,Baseline,0.06868959218263626,0.1069951206445694,18.38785171508789
SWC_5,T_20,Multi-step Linear,0.06655170023441315,0.16387543082237244,30.83898162841797
SWC_5,T_20,Multi-step Dense,0.039723873138427734,0.09794510155916214,17.774831771850586
SWC_5,T_20,CNN,0.045753225684165955,0.12399007380008698,20.134140014648438
SWC_5,T_20,RNN,0.036050356924533844,0.07381030172109604,12.40713119506836
SWC_5,T_20,LSTM,0.038266416639089584,0.0923633873462677,16.41737174987793
SWC_5,T_20,Autoregressive,0.08437316119670868,0.17859865725040436,23.77904510498047
SWC_5,T_20,Bi-LSTM,0.050147656351327896,0.13101093471050262,20.138343811035156
SWC_5,T_50,Baseline,0.06868959963321686,0.10699515789747238,18.387847900390625
