features,mse,mae,mae_percentage
"('Tair', 'RH', 'Winddirection')",0.0007240019772504191,0.01871110035718349,12.63931327137302
"('Srad', 'RH', 'Windspeed', 'Sat_SM_AMSR')",0.0007240802962392335,0.018776475571658034,12.678959468371739
"('Ppt', 'Srad', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.000724105043856281,0.01877142989512869,12.661923188811244
"('Srad', 'RH', 'Sat_SM_AMSR')",0.0007246656028364614,0.018720794453804795,12.620579137951987
"('Ppt', 'Srad', 'Tair', 'Windspeed')",0.000725326762825025,0.01877514058030387,12.616967353152605
"('Ppt', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007255058352815115,0.018508793265022985,12.434476293249935
"('Tair', 'RH', 'Windspeed')",0.0007255675946810894,0.01867872396281705,12.66332654098051
"('Srad', 'Tair', 'RH', 'Winddirection')",0.0007260860482817382,0.01901781558909355,12.790579786270984
"('Ppt', 'Tair', 'Winddirection')",0.0007261091753441586,0.01844321749910761,12.245439990108846
"('RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007261131567497004,0.018564074426028986,12.562940764232042
"('Ppt', 'RH', 'Windspeed')",0.000726536346216443,0.01867548096256063,12.631267445419022
"('Ppt', 'Tair', 'Sat_SM_AMSR')",0.0007268922862763385,0.018516302075540895,12.243353180284863
"('Srad', 'RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007271512627349048,0.018710191072251664,12.579076434139413
"('Ppt', 'RH', 'Windspeed', 'Sat_SM_AMSR')",0.0007272804492211143,0.018720777586942145,12.649475900590298
"('Ppt',)",0.0007273463570478067,0.01837214210828449,12.233284436917177
"('Srad', 'Tair', 'RH', 'Windspeed')",0.0007273689726044784,0.01885630950351016,12.74513454002707
"('Srad', 'RH', 'Windspeed', 'Winddirection')",0.0007276279586895644,0.01887244904858133,12.697444249020462
"('Ppt', 'Srad', 'Winddirection', 'Sat_SM_AMSR')",0.000727716869514225,0.018811315657765847,12.587125668480256
"('Ppt', 'Tair')",0.000728425099543791,0.01852999999636083,12.355747272752733
"('Ppt', 'Tair', 'Windspeed')",0.0007288533280649601,0.018499289635256735,12.284326201412487
"('Ppt', 'Tair', 'Winddirection', 'Sat_SM_AMSR')",0.0007290148540337021,0.01872573138129534,12.489734423070011
"('Srad', 'RH', 'Winddirection')",0.0007290345671070896,0.018934353221060924,12.799991086700087
"('Srad', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007308298994671437,0.01889661455639301,12.675060170560377
"('Srad', 'Tair', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007308818270370119,0.01882861559358208,12.77842374639058
"('Ppt', 'Srad', 'Windspeed', 'Winddirection')",0.00073113731355432,0.018939657341996964,12.746139440439105
"('RH', 'Sat_SM_AMSR')",0.0007312363327973966,0.018764524487878777,12.649262024780986
"('Ppt', 'Tair', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007313382530115518,0.01849427089334086,12.143833908120968
"('Tair', 'RH')",0.0007316235180637854,0.018759144426533078,12.76731925293463
"('RH', 'Windspeed', 'Sat_SM_AMSR')",0.000732066780480758,0.01872155869893258,12.622605057103007
"('Srad', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007327589840198343,0.019039968590917188,12.907189080883938
"('Ppt', 'Windspeed', 'Sat_SM_AMSR')",0.0007329835058574459,0.01866820017544871,12.376080534774655
"('Srad', 'RH')",0.0007342624040904989,0.01909793189911675,12.924852439368214
"('RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007343418895952637,0.01887245557559165,12.780509817091696
"('Ppt', 'Tair', 'Windspeed', 'Sat_SM_AMSR')",0.0007345162437334546,0.01886807246820821,12.617563371265792
"('Srad', 'Tair', 'Windspeed')",0.0007354086869663073,0.019028869401133915,12.717329270599173
"('Ppt', 'Tair', 'Windspeed', 'Winddirection')",0.0007358474010595531,0.01859902492011191,12.360885882147905
"('Srad', 'Tair', 'Windspeed', 'Winddirection')",0.0007370292452034418,0.019076528019827278,12.757079343503596
"('Srad', 'Tair', 'Winddirection', 'Sat_SM_AMSR')",0.0007379323748477557,0.019028784757938694,12.757484513495251
"('RH',)",0.0007380925521199985,0.01908748151629855,12.936257687568606
"('Tair', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.000738147639584873,0.018998012732361833,12.946440491598437
"('Srad', 'Tair', 'Winddirection')",0.0007382385779102709,0.01915823248919168,12.801018831139842
"('Ppt', 'Winddirection')",0.0007385958722899296,0.018739142507812993,12.517875670267944
"('Ppt', 'Windspeed', 'Winddirection')",0.000738765682886376,0.01871054431165104,12.486367204468843
"('Ppt', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007388239435121161,0.018720988500590188,12.408786364688
"('Srad', 'Windspeed', 'Winddirection')",0.0007395633168340589,0.019003127132658417,12.681556858397776
"('Ppt', 'Sat_SM_AMSR')",0.000740070359736328,0.018768163353275722,12.474338031498485
"('Srad', 'Tair', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007408983803554782,0.019186242846143252,12.858668897512038
"('Srad', 'Tair')",0.0007422265991609377,0.019229610493707378,12.949959457077439
"('Srad', 'Winddirection')",0.0007465727861477005,0.019297590550202484,12.986153502148479
"('Srad', 'Tair', 'Sat_SM_AMSR')",0.0007472475991355382,0.01930119250189746,13.022845653560596
"('RH', 'Windspeed')",0.0007477216333430894,0.01916490975666805,12.957141786016013
"('Srad', 'Windspeed', 'Sat_SM_AMSR')",0.0007478371269963739,0.019299189412977962,12.97023973977537
"('RH', 'Windspeed', 'Winddirection')",0.0007484339618515014,0.019079948298444116,12.865548483354178
"('RH', 'Winddirection')",0.000748755289760698,0.01919419640914865,12.984410418538916
"('Srad', 'Tair', 'Windspeed', 'Sat_SM_AMSR')",0.0007493670968000973,0.019452320403608107,13.132604643707582
"('Tair', 'Winddirection', 'Sat_SM_AMSR')",0.0007500628772139931,0.01889325077028776,12.571301041991454
"('Tair', 'Sat_SM_AMSR')",0.0007503129117898945,0.018889346413904752,12.510225158162157
"('Srad',)",0.000750386492705519,0.019374051046848903,13.03400868616586
"('Srad', 'Windspeed')",0.0007511659409959337,0.019392542461397783,13.05157564867994
"('Tair', 'Windspeed', 'Sat_SM_AMSR')",0.0007516267182515292,0.01898463416826939,12.612683487214191
"('Tair', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007542119591841143,0.019011901600736042,12.660253322258342
"('Srad', 'Winddirection', 'Sat_SM_AMSR')",0.0007549669802319303,0.01942435285962651,13.053791337602515
"('Winddirection',)",0.0007573501592934222,0.018984324444560666,12.705773318647735
