rnn,y_true,shift_bl,ARIMA
0.43973088,0.5346534653465347,0.4504950495049504,0.27029820710549424
0.44062102,0.5346534653465347,0.4504950495049504,0.27028472800814485
0.43920264,0.5297029702970297,0.4455445544554455,0.27027124891079546
0.43621135,0.5297029702970297,0.4455445544554455,0.27025776981344607
0.43340924,0.5297029702970297,0.4455445544554455,0.2702442907160967
0.4315096,0.5247524752475248,0.4405940594059406,0.2702308116187473
0.42992634,0.5247524752475248,0.4405940594059406,0.2702173325213979
0.43056133,0.5247524752475248,0.4405940594059406,0.2702038534240485
0.43042403,0.5247524752475248,0.4405940594059406,0.2701903743266991
0.43009162,0.5198019801980198,0.4356435643564357,0.27017689522934973
0.42895478,0.5198019801980198,0.4356435643564357,0.27016341613200034
0.427593,0.5198019801980198,0.4356435643564357,0.27014993703465096
0.4267589,0.5198019801980198,0.4405940594059406,0.27013645793730157
0.42914093,0.5198019801980198,0.4405940594059406,0.2701229788399522
0.4300721,0.5247524752475248,0.4405940594059406,0.2701094997426028
0.43124586,0.5198019801980198,0.4455445544554455,0.2700960206452534
0.43523028,0.5198019801980198,0.4455445544554455,0.270082541547904
0.43737748,0.5198019801980198,0.4405940594059406,0.2700690624505546
0.44018072,0.5198019801980198,0.4405940594059406,0.27005558335320523
0.4435632,0.5148514851485149,0.4405940594059406,0.27004210425585584
0.4473447,0.5148514851485149,0.4356435643564357,0.27002862515850645
0.44896713,0.5148514851485149,0.4356435643564357,0.27001514606115706
0.4486313,0.5099009900990099,0.4306930693069307,0.2700016669638077
0.44628412,0.5099009900990099,0.4306930693069307,0.2699881878664583
0.4450105,0.5099009900990099,0.4257425742574258,0.2699747087691089
0.44229794,0.5099009900990099,0.4257425742574258,0.2699612296717595
0.43759793,0.504950495049505,0.4257425742574258,0.2699477505744101
0.4376235,0.504950495049505,0.4257425742574258,0.2699342714770607
0.43569356,0.504950495049505,0.4207920792079208,0.26992079237971134
0.43241447,0.504950495049505,0.4207920792079208,0.26990731328236195
0.42733473,0.504950495049505,0.4207920792079208,0.26989383418501256
0.4282251,0.504950495049505,0.4207920792079208,0.26988035508766317
0.42855713,0.504950495049505,0.4207920792079208,0.2698668759903138
0.42928416,0.5,0.4207920792079208,0.2698533968929644
0.430432,0.5,0.4207920792079208,0.269839917795615
0.4336167,0.5,0.4207920792079208,0.2698264386982656
0.4370234,0.5,0.4257425742574258,0.2698129596009162
0.4402678,0.5,0.4257425742574258,0.26979948050356684
0.44332796,0.5,0.4306930693069307,0.26978600140621745
0.4467664,0.5,0.4306930693069307,0.26977252230886806
0.44981095,0.504950495049505,0.4306930693069307,0.26975904321151867
0.4522128,0.5,0.4306930693069307,0.2697455641141693
0.45280555,0.5,0.4306930693069307,0.2697320850168199
0.44941443,0.5,0.4257425742574258,0.2697186059194705
0.44481158,0.5,0.4257425742574258,0.2697051268221211
0.4434745,0.5,0.4207920792079208,0.2696916477247717
0.44276845,0.5,0.4207920792079208,0.26967816862742233
0.44185266,0.5,0.4207920792079208,0.26966468953007294
0.44049376,0.495049504950495,0.4158415841584159,0.26965121043272355
0.43838614,0.495049504950495,0.4158415841584159,0.26963773133537416
0.43593097,0.495049504950495,0.4158415841584159,0.2696242522380248
0.43308878,0.495049504950495,0.4158415841584159,0.2696107731406754
0.43050766,0.495049504950495,0.4108910891089109,0.269597294043326
0.42845362,0.495049504950495,0.4108910891089109,0.2695838149459766
0.42673615,0.495049504950495,0.4108910891089109,0.2695703358486272
0.42533177,0.495049504950495,0.4108910891089109,0.26955685675127783
0.4240252,0.495049504950495,0.4108910891089109,0.26954337765392844
0.4224447,0.495049504950495,0.4108910891089109,0.26952989855657905
0.41994047,0.495049504950495,0.4108910891089109,0.26951641945922966
