Station,Model,Epoch,Loss,Validation Loss
Station1,LSTM,1,0.009518704377114773,0.006818088702857494
Station1,LSTM,2,0.0037277841474860907,0.006743950769305229
Station1,LSTM,3,0.003577606985345483,0.006815996952354908
Station1,LSTM,4,0.0034864237532019615,0.0067448546178638935
Station1,LSTM,5,0.003428830299526453,0.006793686654418707
Station2,LSTM,1,0.005386626347899437,0.006567284930497408
Station2,LSTM,2,0.005250888876616955,0.00660503376275301
Station2,LSTM,3,0.00515200849622488,0.006582957226783037
Station2,LSTM,4,0.005081931594759226,0.006534259300678968
Station2,LSTM,5,0.005033640656620264,0.006621456705033779
Station2,LSTM,6,0.004993921145796776,0.006581777241080999
Station2,LSTM,7,0.004957104567438364,0.0066759041510522366
Station3,LSTM,1,0.00410124659538269,0.006644782610237598
Station3,LSTM,2,0.004067910835146904,0.006472322624176741
Station3,LSTM,3,0.004041940439492464,0.006476901471614838
Station3,LSTM,4,0.0040151625871658325,0.006420648656785488
Station3,LSTM,5,0.003986317664384842,0.0065289749763906
Station3,LSTM,6,0.00396190257743001,0.006484594661742449
Station3,LSTM,7,0.003940711263567209,0.006465372629463673
Station4,LSTM,1,0.002089804271236062,0.00630762055516243
Station4,LSTM,2,0.00207718089222908,0.006285093724727631
Station4,LSTM,3,0.0020758197642862797,0.006334331352263689
Station4,LSTM,4,0.002068345434963703,0.006312706507742405
Station4,LSTM,5,0.00206688791513443,0.006280430126935244
Station4,LSTM,6,0.0020593127701431513,0.006296582520008087
Station4,LSTM,7,0.002051481045782566,0.006250318139791489
Station4,LSTM,8,0.0020430609583854675,0.0062761446461081505
Station4,LSTM,9,0.002037179423496127,0.006263115908950567
Station4,LSTM,10,0.002028102520853281,0.006288053933531046
Station5,LSTM,1,0.0024117124266922474,0.006400140933692455
Station5,LSTM,2,0.002396856900304556,0.0064625549130141735
Station5,LSTM,3,0.002387076849117875,0.0064492314122617245
Station5,LSTM,4,0.002376912161707878,0.006422471255064011
