ar_bi_lstm,y_true,shift_bl,ar_lstm,lstm,bi_lstm,cnn
0.16438045,0.0987654320987654,0.1111111111111111,0.1730633,0.05089346,0.07689368,0.22111574
0.16335921,0.0987654320987654,0.1111111111111111,0.17365399,0.051715024,0.07713316,0.20920761
0.16119832,0.0987654320987654,0.1111111111111111,0.17419976,0.05268441,0.076907285,0.19282635
0.16028608,0.0987654320987654,0.1111111111111111,0.17492634,0.053548787,0.07698296,0.16490881
0.15978408,0.0987654320987654,0.1111111111111111,0.17551681,0.054100636,0.07632537,0.14775313
0.15879138,0.0987654320987654,0.1111111111111111,0.17589407,0.054462824,0.0746671,0.14330737
0.15915988,0.0987654320987654,0.1111111111111111,0.17670451,0.054560587,0.0724036,0.13092126
0.1602918,0.0987654320987654,0.1049382716049383,0.17762814,0.054385927,0.07031945,0.15390529
0.16197124,0.0987654320987654,0.1049382716049383,0.17874049,0.05334289,0.0688377,0.17071538
0.16271882,0.0987654320987654,0.1049382716049383,0.17929791,0.053043656,0.067281455,0.18715344
0.16455097,0.0987654320987654,0.1049382716049383,0.18007545,0.053750955,0.06586873,0.18428479
0.16768365,0.0987654320987654,0.1049382716049383,0.18171285,0.055677053,0.065865315,0.2015336
0.16775666,0.0987654320987654,0.1049382716049383,0.18278451,0.05790275,0.06694519,0.19556864
0.16816212,0.0987654320987654,0.1049382716049383,0.18412042,0.058932398,0.06875164,0.20623754
0.16741307,0.0987654320987654,0.1049382716049383,0.1852998,0.05915545,0.07122091,0.22805573
0.16906638,0.0987654320987654,0.1049382716049383,0.18537802,0.058915332,0.07371314,0.22705312
0.17216766,0.0987654320987654,0.1049382716049383,0.1860892,0.058173515,0.07569215,0.23705833
0.1726431,0.0987654320987654,0.1049382716049383,0.18523306,0.057789948,0.07800174,0.23997022
0.17479391,0.0987654320987654,0.1049382716049383,0.18423249,0.05717568,0.07961973,0.23972426
0.17470306,0.0987654320987654,0.1049382716049383,0.18302362,0.056210253,0.07999522,0.23905505
0.17374973,0.0987654320987654,0.1049382716049383,0.1819453,0.055093665,0.08019694,0.23872711
0.17285015,0.0987654320987654,0.1049382716049383,0.18150625,0.05383899,0.08049338,0.23517756
0.17092136,0.0987654320987654,0.1049382716049383,0.18208723,0.052508082,0.0810386,0.23841451
0.16697232,0.0987654320987654,0.1049382716049383,0.18294258,0.051179692,0.08215524,0.23291163
0.16323872,0.0987654320987654,0.1049382716049383,0.18331562,0.050553724,0.08322492,0.22454461
0.15920682,0.0987654320987654,0.1049382716049383,0.18303384,0.050106075,0.08422989,0.2014377
0.15625964,0.0987654320987654,0.1049382716049383,0.18206167,0.050203584,0.08345389,0.17803146
0.15412752,0.0987654320987654,0.1049382716049383,0.18051161,0.05039598,0.08303287,0.15115081
0.15143757,0.1049382716049383,0.1049382716049383,0.17862807,0.050377253,0.08262931,0.1419607
0.14963154,0.1049382716049383,0.1049382716049383,0.17686848,0.05082379,0.0819347,0.14146115
0.14863427,0.1049382716049383,0.1049382716049383,0.17550924,0.05169322,0.08120085,0.14686884
0.14899209,0.1049382716049383,0.1049382716049383,0.17492227,0.053063825,0.081242315,0.17115112
0.15004303,0.1049382716049383,0.1049382716049383,0.17497967,0.054423958,0.08230224,0.19344284
0.15131931,0.1049382716049383,0.1049382716049383,0.1753032,0.05587889,0.08421132,0.20774855
0.15328641,0.1049382716049383,0.1049382716049383,0.17553662,0.05789979,0.08549448,0.21093623
0.15479149,0.1049382716049383,0.1049382716049383,0.17537221,0.06054674,0.08554345,0.20770733
0.15567832,0.1049382716049383,0.1049382716049383,0.17530954,0.06387253,0.085739344,0.20628403
0.15630968,0.1049382716049383,0.1049382716049383,0.17422466,0.066706344,0.0865226,0.20381407
0.15621334,0.1049382716049383,0.1049382716049383,0.17416452,0.06883799,0.08840108,0.20273383
0.15897237,0.1049382716049383,0.1049382716049383,0.17461252,0.07076751,0.090525255,0.21375765
0.16140328,0.1049382716049383,0.1049382716049383,0.17471837,0.072326526,0.09247174,0.23572181
0.16399719,0.1049382716049383,0.1049382716049383,0.17528597,0.073770784,0.0939205,0.24372663
0.16511749,0.1049382716049383,0.1049382716049383,0.17543565,0.074890405,0.09497206,0.2403533
0.16583155,0.1049382716049383,0.1049382716049383,0.17532472,0.07533652,0.094664596,0.24464728
0.16602373,0.1049382716049383,0.1049382716049383,0.1751947,0.075645976,0.094342,0.23732693
0.16615382,0.1049382716049383,0.1049382716049383,0.17505819,0.07587254,0.09405453,0.24192238
0.16507196,0.1049382716049383,0.1049382716049383,0.17587341,0.075691745,0.09415952,0.2431951
0.16347224,0.1049382716049383,0.1049382716049383,0.17728893,0.07522051,0.094427876,0.23979981
0.1601515,0.1049382716049383,0.1049382716049383,0.17815946,0.07445674,0.09486358,0.22294186
0.15652098,0.1049382716049383,0.1049382716049383,0.17808704,0.07389724,0.09456476,0.21599163
0.15407234,0.1049382716049383,0.1049382716049383,0.17751376,0.073247746,0.09267131,0.1902019
0.1515966,0.1049382716049383,0.1049382716049383,0.17635252,0.072498396,0.09118123,0.18124841
0.14897601,0.1049382716049383,0.1049382716049383,0.17460494,0.07142724,0.08991653,0.16391398
0.14951803,0.1049382716049383,0.1049382716049383,0.1738482,0.07014543,0.08916332,0.16367291
0.14883922,0.1049382716049383,0.1049382716049383,0.17306711,0.068767935,0.08844686,0.14828359
0.14978822,0.1049382716049383,0.1049382716049383,0.17310964,0.06748129,0.08885478,0.15385728
0.15121028,0.1049382716049383,0.1049382716049383,0.1738211,0.06663005,0.08964825,0.15740384
0.15298803,0.1049382716049383,0.1049382716049383,0.17477877,0.066422544,0.091758445,0.1725433
0.1555938,0.1049382716049383,0.1049382716049383,0.17587583,0.06761453,0.09418301,0.16770498
0.1573617,0.1049382716049383,0.1049382716049383,0.17681779,0.070126876,0.0968642,0.1841142
0.15901493,0.1049382716049383,0.1049382716049383,0.17768812,0.07235294,0.09876393,0.18935819
0.16102691,0.1049382716049383,0.0987654320987654,0.17807351,0.07394991,0.101151645,0.16951345
0.16286446,0.0987654320987654,0.0987654320987654,0.17760967,0.07618952,0.10182022,0.18905044
0.16335963,0.0987654320987654,0.0987654320987654,0.17670529,0.07867091,0.10322622,0.19172408
0.16290897,0.0987654320987654,0.0987654320987654,0.17537576,0.08067242,0.10471343,0.20294522
0.16473846,0.0987654320987654,0.0987654320987654,0.17433015,0.08196934,0.10625145,0.22556844
0.16630326,0.0987654320987654,0.0987654320987654,0.17712285,0.08369205,0.11047513,0.23184633
0.19551365,0.0987654320987654,0.0987654320987654,0.21633056,0.08771518,0.14186096,0.23440294
0.18605287,0.0987654320987654,0.0987654320987654,0.21925084,0.093243934,0.14581431,0.23629063
0.19074525,0.0987654320987654,0.0987654320987654,0.2246361,0.09852472,0.14909247,0.23747768
0.19570869,0.0987654320987654,0.0987654320987654,0.2287951,0.1043487,0.15056442,0.24454562
0.1900817,0.0987654320987654,0.0987654320987654,0.2305869,0.108375065,0.14983138,0.23906381
0.18476196,0.0987654320987654,0.0987654320987654,0.23279457,0.11092255,0.14632997,0.23508893
0.18845943,0.0987654320987654,0.0987654320987654,0.23553208,0.11182482,0.14270529,0.21611361
0.18766104,0.0987654320987654,0.0987654320987654,0.23586896,0.11156431,0.13803655,0.18854578
0.18450545,0.0987654320987654,0.0987654320987654,0.23495086,0.11011886,0.1328705,0.16300733
0.18042697,0.0987654320987654,0.0987654320987654,0.23373254,0.10743401,0.12693039,0.19489257
0.17493854,0.0987654320987654,0.0987654320987654,0.22905575,0.10463662,0.11848403,0.14626865
0.17371033,0.0987654320987654,0.0987654320987654,0.22450127,0.10155075,0.10999678,0.15493791
0.17229238,0.0987654320987654,0.0987654320987654,0.22098012,0.09887127,0.10108704,0.16288285
0.16984822,0.0987654320987654,0.0987654320987654,0.21762945,0.0956857,0.09286657,0.16848697
0.16979882,0.0987654320987654,0.0987654320987654,0.21565334,0.092353016,0.08562932,0.17928477
0.17000756,0.0987654320987654,0.0987654320987654,0.21323569,0.08946279,0.07862887,0.18279614
0.16993988,0.0987654320987654,0.0987654320987654,0.21128057,0.08649085,0.074072905,0.18711422
0.17173561,0.0987654320987654,0.0987654320987654,0.21092807,0.083991535,0.069751404,0.18715936
0.16991563,0.0987654320987654,0.0987654320987654,0.21013875,0.081841245,0.06732033,0.17054102
0.1696757,0.0987654320987654,0.0987654320987654,0.21005668,0.07879313,0.06636505,0.16943964
0.16849066,0.0987654320987654,0.0987654320987654,0.20879772,0.07545894,0.066422805,0.19540586
0.1694466,0.0987654320987654,0.0987654320987654,0.20754899,0.071160115,0.068037935,0.20707399
0.16886893,0.0987654320987654,0.0987654320987654,0.20426214,0.06620639,0.0708442,0.22642648
0.17055435,0.0987654320987654,0.0987654320987654,0.2015314,0.061155237,0.072119646,0.23665944
0.16999465,0.0987654320987654,0.0987654320987654,0.19868748,0.056474652,0.07236097,0.22962894
0.16796096,0.0987654320987654,0.0987654320987654,0.19563262,0.053018037,0.07181505,0.227311
0.16658434,0.0987654320987654,0.0987654320987654,0.1925941,0.04925416,0.07200853,0.22715923
0.1631666,0.0987654320987654,0.0987654320987654,0.18851566,0.045496974,0.07290078,0.23470111
0.15868257,0.0987654320987654,0.0987654320987654,0.18501388,0.04240804,0.07454558,0.23550652
0.15541957,0.0987654320987654,0.0987654320987654,0.1819832,0.04164902,0.07583414,0.2222376
0.15283392,0.0987654320987654,0.0987654320987654,0.17944126,0.04188694,0.075996675,0.20572014
0.14984371,0.0987654320987654,0.0987654320987654,0.17685936,0.042722534,0.07575657,0.18334721
0.14862148,0.0987654320987654,0.0987654320987654,0.17420284,0.04380171,0.07486222,0.16516365
0.14739433,0.0987654320987654,0.0987654320987654,0.17158712,0.044712894,0.07366511,0.14945687
0.14655997,0.0987654320987654,0.0987654320987654,0.16943805,0.045569994,0.071749724,0.13716353
0.14703755,0.0987654320987654,0.0987654320987654,0.16796048,0.046567775,0.06893769,0.1342773
0.14850657,0.0987654320987654,0.0987654320987654,0.16680725,0.04914028,0.06594305,0.15004875
0.15008785,0.0987654320987654,0.0987654320987654,0.166193,0.04972983,0.06349125,0.16354476
0.15248956,0.0987654320987654,0.0987654320987654,0.16644631,0.04926758,0.06294839,0.18064095
0.15469886,0.0987654320987654,0.0987654320987654,0.16705875,0.049161278,0.06355435,0.18649723
