Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
3,SWC_5,168,48,Baseline,1.0397813320159912,1.7308017015457153,579.5043334960938
3,SWC_5,168,48,Multi-step Linear,0.242126002907753,0.25335362553596497,87.95805358886719
3,SWC_5,168,48,Multi-step Dense,0.2544269263744354,0.2670837640762329,81.62126922607422
3,SWC_5,168,48,CNN,0.2559035122394562,0.25808054208755493,85.28181457519531
3,SWC_5,168,48,RNN,0.2631644606590271,0.26362597942352295,111.23892974853516
3,SWC_5,168,48,LSTM,0.28374454379081726,0.2834016978740692,113.17127227783203
3,SWC_5,168,48,Autoregressive,0.5113978981971741,0.5266233682632446,251.60592651367188
3,SWC_5,168,48,Bi-LSTM,0.5801054239273071,0.6436946392059326,259.8934631347656
3,SWC_5,168,48,LSTM_Attention,0.5415091514587402,0.5801986455917358,266.7371826171875
3,SWC_5,168,48,BiLSTM_Attention,0.3654181957244873,0.3640124201774597,144.48045349121094
