Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
3,SWC_5,168,24,Baseline,0.2675165832042694,0.28284767270088196,93.03750610351562
3,SWC_5,168,24,Multi-step Linear,0.1497991383075714,0.15681834518909454,46.898380279541016
3,SWC_5,168,24,Multi-step Dense,0.16645964980125427,0.156935453414917,60.37324905395508
3,SWC_5,168,24,CNN,0.17494860291481018,0.15368066728115082,63.026695251464844
3,SWC_5,168,24,RNN,0.1801297515630722,0.16426244378089905,58.78352737426758
3,SWC_5,168,24,LSTM,0.203853040933609,0.1796964854001999,96.22311401367188
3,SWC_5,168,24,Autoregressive,0.48961159586906433,0.48260071873664856,235.50177001953125
3,SWC_5,168,24,Bi-LSTM,0.6186863780021667,0.7171145081520081,142.45713806152344
3,SWC_5,168,24,LSTM_Attention,0.42693421244621277,0.45462003350257874,163.75518798828125
3,SWC_5,168,24,BiLSTM_Attention,0.32075512409210205,0.29190585017204285,102.79331970214844
