Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
3,SWC_5,24,6,Baseline,1.0848112106323242,1.8634345531463623,619.52587890625
3,SWC_5,24,6,Multi-step Linear,0.06979913264513016,0.05001813545823097,28.180191040039062
3,SWC_5,24,6,Multi-step Dense,0.07353447377681732,0.049194518476724625,26.55569839477539
3,SWC_5,24,6,CNN,0.09091764688491821,0.053947318345308304,41.643898010253906
3,SWC_5,24,6,RNN,0.09124766290187836,0.05234498530626297,49.67025375366211
3,SWC_5,24,6,LSTM,0.09212342649698257,0.054796166718006134,38.36643600463867
3,SWC_5,24,6,Autoregressive,0.13878491520881653,0.09199562668800354,52.67811584472656
3,SWC_5,24,6,Bi-LSTM,0.10675635188817978,0.05633195489645004,34.5225944519043
3,SWC_5,24,6,LSTM_Attention,0.16613852977752686,0.11224539577960968,62.510826110839844
3,SWC_5,24,6,BiLSTM_Attention,0.14337962865829468,0.07581166923046112,52.38590621948242
