Model,R2,MSE,MAE,MAPE
Simple LSTM,0.9123073926503624,0.0016956282726147795,0.015361729191355223,0.04143872711848005
Optimized LSTM,0.9048139090717965,0.0018405226143411067,0.021650684775918225,0.06483736185371783
CNN,0.8770483329866028,0.0023773990653716826,0.028478010491750267,0.08346902234084717
