Station,Configuration,Model,MAE,MSE,MAPE
1,SWC_5 - 24 input / 1 output,Baseline,0.02409590221941471,0.009275962598621845,17.501922607421875
1,SWC_5 - 24 input / 1 output,Multi-step Linear,0.02388545498251915,0.007568488363176584,15.584986686706543
1,SWC_5 - 24 input / 1 output,Multi-step Dense,0.024838007986545563,0.005846064537763596,22.621156692504883
1,SWC_5 - 24 input / 1 output,CNN,0.03670703247189522,0.008987197652459145,31.794851303100586
1,SWC_5 - 24 input / 1 output,RNN,0.03457016497850418,0.007332466542720795,30.9625244140625
1,SWC_5 - 24 input / 1 output,LSTM,0.04780453070998192,0.008850634098052979,38.252201080322266
1,SWC_5 - 24 input / 1 output,Autoregressive,0.12687815725803375,0.07275460660457611,79.44210815429688
1,SWC_5 - 24 input / 1 output,Bi-LSTM,0.029539912939071655,0.005202464293688536,28.859045028686523
1,SWC_5 - 24 input / 6 output,Baseline,0.11457701772451401,0.07881101965904236,81.67560577392578
1,SWC_5 - 24 input / 6 output,Multi-step Linear,0.06507289409637451,0.04054752737283707,45.07939910888672
1,SWC_5 - 24 input / 6 output,Multi-step Dense,0.06223661080002785,0.03735792264342308,48.04016876220703
1,SWC_5 - 24 input / 6 output,CNN,0.06431645154953003,0.039236363023519516,45.80921936035156
1,SWC_5 - 24 input / 6 output,RNN,0.06971743702888489,0.0361764058470726,52.73371124267578
1,SWC_5 - 24 input / 6 output,LSTM,0.07849292457103729,0.04391565918922424,49.094520568847656
1,SWC_5 - 24 input / 6 output,Autoregressive,0.1496448814868927,0.10065870732069016,92.78005981445312
1,SWC_5 - 24 input / 6 output,Bi-LSTM,0.11551269143819809,0.046406980603933334,96.60930633544922
1,SWC_5 - 48 input / 12 output,Baseline,0.186165452003479,0.15382300317287445,176.95172119140625
1,SWC_5 - 48 input / 12 output,Multi-step Linear,0.09797269850969315,0.07581903785467148,67.03932189941406
1,SWC_5 - 48 input / 12 output,Multi-step Dense,0.10083087533712387,0.07164376229047775,68.6086654663086
1,SWC_5 - 48 input / 12 output,CNN,0.11985962092876434,0.07454656809568405,98.55322265625
1,SWC_5 - 48 input / 12 output,RNN,0.1253156214952469,0.07536560297012329,102.16435241699219
1,SWC_5 - 48 input / 12 output,LSTM,0.11419781297445297,0.07532346993684769,68.36052703857422
1,SWC_5 - 48 input / 12 output,Autoregressive,0.25468629598617554,0.1769929975271225,235.6260528564453
1,SWC_5 - 48 input / 12 output,Bi-LSTM,0.1326320469379425,0.08072558045387268,99.60530853271484
1,SWC_5 - 168 input / 24 output,Baseline,0.29252421855926514,0.28811073303222656,335.0374755859375
1,SWC_5 - 168 input / 24 output,Multi-step Linear,0.15564566850662231,0.1391463279724121,132.67344665527344
1,SWC_5 - 168 input / 24 output,Multi-step Dense,0.16485314071178436,0.1353817582130432,114.8490219116211
1,SWC_5 - 168 input / 24 output,CNN,0.16800770163536072,0.13673259317874908,115.14930725097656
1,SWC_5 - 168 input / 24 output,RNN,0.15488891303539276,0.13741213083267212,101.5528793334961
1,SWC_5 - 168 input / 24 output,LSTM,0.18420018255710602,0.15885968506336212,134.7041015625
1,SWC_5 - 168 input / 24 output,Autoregressive,0.5049046277999878,0.46763908863067627,452.440673828125
1,SWC_5 - 168 input / 24 output,Bi-LSTM,nan,nan,nan
1,SWC_5 - 168 input / 48 output,Baseline,0.4904685318470001,0.545291543006897,694.3853149414062
1,SWC_5 - 168 input / 48 output,Multi-step Linear,0.248259499669075,0.24917829036712646,239.6597137451172
1,SWC_5 - 168 input / 48 output,Multi-step Dense,0.2592651844024658,0.2437986433506012,234.8183135986328
1,SWC_5 - 168 input / 48 output,CNN,0.25533175468444824,0.24968117475509644,225.47482299804688
1,SWC_5 - 168 input / 48 output,RNN,0.2662487328052521,0.2517193555831909,197.09716796875
1,SWC_5 - 168 input / 48 output,LSTM,0.30879414081573486,0.28975120186805725,303.0104675292969
1,SWC_5 - 168 input / 48 output,Autoregressive,0.5319307446479797,0.5478061437606812,454.4537353515625
1,SWC_5 - 168 input / 48 output,Bi-LSTM,0.30318281054496765,0.2789360582828522,303.4449768066406
1,SWC_10 - 24 input / 1 output,Baseline,0.014470713213086128,0.003394241677597165,5.377838134765625
1,SWC_10 - 24 input / 1 output,Multi-step Linear,0.015475342981517315,0.0023050259333103895,6.060703277587891
1,SWC_10 - 24 input / 1 output,Multi-step Dense,0.04274897277355194,0.004515659995377064,15.31771469116211
1,SWC_10 - 24 input / 1 output,CNN,0.031292568892240524,0.0076007419265806675,12.923147201538086
1,SWC_10 - 24 input / 1 output,RNN,0.03296750783920288,0.004363579675555229,14.313676834106445
1,SWC_10 - 24 input / 1 output,LSTM,0.03698842227458954,0.005038667935878038,13.13032341003418
1,SWC_10 - 24 input / 1 output,Autoregressive,0.09083543717861176,0.02973085828125477,29.344615936279297
1,SWC_10 - 24 input / 1 output,Bi-LSTM,0.05323690548539162,0.012582019902765751,21.83258056640625
1,SWC_10 - 24 input / 6 output,Baseline,0.07241281867027283,0.0366903617978096,26.92310905456543
1,SWC_10 - 24 input / 6 output,Multi-step Linear,0.05109846219420433,0.017847944051027298,18.148374557495117
1,SWC_10 - 24 input / 6 output,Multi-step Dense,0.05430609732866287,0.01674080640077591,18.03630828857422
1,SWC_10 - 24 input / 6 output,CNN,0.055793870240449905,0.01921343058347702,17.486574172973633
1,SWC_10 - 24 input / 6 output,RNN,0.04580210894346237,0.015613673254847527,17.625873565673828
1,SWC_10 - 24 input / 6 output,LSTM,0.059614889323711395,0.018832148984074593,21.11263084411621
