Horizon,MAE,RMSE
24h,0.0039467499828456975,0.010341263806717814
48h,0.006572006907404513,0.01393294480830391
72h,0.008621354670113823,0.016243343075811767
1-Week,0.014561906078425058,0.023623472681866615
