Horizon,MAE,RMSE
24h,0.002339412728824091,0.007464099147652734
48h,0.004379237922581699,0.011174993715908212
72h,0.006246310423658903,0.01388942665802047
1-Week,0.01241004701600403,0.02133592534734963
