# Configuration:
# Stations: Station1, Station2
# Target: Sat_SM_AMSR
# Model Type: lstm
# Steps: 7
#
stations,target,model_type,n_steps,features,mse,mae,mae_percentage
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'RH', 'Windspeed', 'distance_AMSR')",0.0009406429684532148,0.02170411458683523,17.430624898784565
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'RH')",0.0009666934301957763,0.021708552560495704,17.434624707738138
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'RH', 'Windspeed', 'distance_AMSR')",0.0009392207400638617,0.02185836494927545,17.438464959426287
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'Windspeed')",0.0009583898940692635,0.021590587174642167,17.44396686910798
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'RH', 'Windspeed')",0.0009882330035003266,0.02150245057249174,17.463404212087248
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'RH')",0.0009695044220864826,0.02141322973494889,17.464498176145256
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad')",0.0009645772137128681,0.021198442133996145,17.46776811999143
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Windspeed', 'distance_AMSR')",0.0009645592656174525,0.02144162271161017,17.473836959271242
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'RH')",0.0009660184264486171,0.02142811330911188,17.479460024602457
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair')",0.0009853754509150776,0.02147847235269188,17.48947849720807
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'RH')",0.0009648127759777878,0.021454528130637786,17.499836444455973
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Winddirection',)",0.000977785954533556,0.02181603081662242,17.504739094950732
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'RH', 'distance_AMSR')",0.001000190114426489,0.021766612028344307,17.506071013231498
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'distance_AMSR')",0.0009813840559376342,0.021503058459444203,17.509183260041123
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Windspeed')",0.0009577767741006467,0.0215778719508553,17.510838827327653
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'RH', 'Windspeed')",0.0009443552893036824,0.021854695746473893,17.58591011201026
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'Winddirection')",0.0010215863379635826,0.02224253866068911,17.606301661392774
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'distance_AMSR')",0.00101581578814506,0.021661266779635452,17.639399540628666
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed', 'distance_AMSR')",0.0009789408822912422,0.022292813423852864,17.652704920124517
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('RH', 'Winddirection', 'distance_AMSR')",0.0009618277201001188,0.02221550225308661,17.660850952221026
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'RH', 'distance_AMSR')",0.0009825464545580762,0.02192750982242538,17.66524272720292
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'Winddirection')",0.001041341296441448,0.021771783373797527,17.683181687719372
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'RH', 'distance_AMSR')",0.0009985603846833437,0.022001322737133275,17.71000992912185
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'Winddirection')",0.0010452276413818583,0.022328096227313646,17.711693625734355
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Windspeed')",0.000975161242724648,0.02182352062549552,17.723514315992496
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'Windspeed', 'Winddirection')",0.001043395145410866,0.022669955920685887,17.723774220049293
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'RH', 'Winddirection', 'distance_AMSR')",0.0009941530118460161,0.02256207818545047,17.75591516289578
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'RH', 'Windspeed')",0.0009920490327306303,0.022747250200092176,17.75827464926682
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.001019373786863016,0.0219350863300021,17.77191798025055
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'RH', 'Windspeed', 'distance_AMSR')",0.0009491438670614134,0.02271385149292378,17.7999446090677
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'RH', 'Winddirection', 'distance_AMSR')",0.000983155877233339,0.022767797535011593,17.81357646216584
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0009956110662849866,0.02270318542877154,17.815759478806044
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Windspeed', 'distance_AMSR')",0.0010655819356391975,0.022160226314725393,17.824393230677142
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'RH', 'Windspeed', 'distance_AMSR')",0.0010095732093865983,0.02262269296729116,17.825472910110342
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'RH', 'Winddirection')",0.000983534552861712,0.022191824726548796,17.827812914787856
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0009960636433495366,0.022631235874660004,17.831361240482696
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'RH', 'Winddirection')",0.0010181708103134553,0.022477134370525377,17.844028174738742
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'Winddirection', 'distance_AMSR')",0.0010516177370115,0.02254670441520179,17.87372724539571
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'RH', 'Winddirection')",0.0009978274475564656,0.022125379426898514,17.884778951845544
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Winddirection')",0.0010141659599605174,0.022067305228608877,17.885960947751244
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Winddirection', 'distance_AMSR')",0.0010048155678202956,0.022623890140764134,17.892126645330773
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'RH', 'Winddirection')",0.0010066566888755149,0.02282455109321775,17.897032000678497
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Windspeed', 'Winddirection', 'distance_AMSR')",0.0010259273266953646,0.023007823182095908,17.898666224454374
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'RH', 'Windspeed', 'distance_AMSR')",0.0010203563518616362,0.02241513786486685,17.905085659369906
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'RH', 'Winddirection')",0.0010304338759388406,0.02279228060300357,17.917101745173124
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'RH', 'Winddirection')",0.0009929179128249361,0.022559139018436945,17.918867612101945
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'RH', 'Windspeed', 'distance_AMSR')",0.0009930571630685139,0.022666641371420267,17.925698907672942
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'RH', 'Winddirection', 'distance_AMSR')",0.0010160618737226489,0.02259522083537015,17.930869481730166
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed')",0.0010160806251472033,0.02274810546292566,17.935098197829248
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'RH', 'Winddirection', 'distance_AMSR')",0.0010114243713550606,0.02266764970782051,17.959856049424303
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'Windspeed', 'Winddirection')",0.00103016145200752,0.023075990116401057,17.961104339628932
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'RH', 'Winddirection', 'distance_AMSR')",0.0011113167678436081,0.02293376751636313,17.97022240151332
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0011048342700432383,0.02324506328160052,17.971155321713788
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'RH', 'Windspeed', 'Winddirection')",0.0010651763708806326,0.02270354106285819,17.990212466691748
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Winddirection', 'distance_AMSR')",0.001087064122230568,0.022447814345925448,17.992069890707036
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('RH', 'Windspeed', 'Winddirection')",0.000991233934293348,0.023231682893822513,18.022212387159446
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'Winddirection', 'distance_AMSR')",0.0010220580637310905,0.0228068900457518,18.027452043736318
