Date,Ppt,Srad,Tair,RH,Windspeed,Winddirection,Sat_SM_AMSR,distance_AMSR,Sat_SM_SMAP,distance_SMAP
2017-01-01,0.0,3735.28,14.964875,76.04791666666667,0.7885833333333333,215.7933823561236,0.17092115,10.24744843003442,,
2017-01-02,2.792,4058.49,14.499666666666668,72.23333333333333,1.2235416666666667,279.9758925192537,0.19209906,10.26723335896393,,
2017-01-03,0.0,3887.83,10.918958333333334,62.944583333333334,0.928875,335.9598253548017,0.13634436,9.821157349118664,,
2017-01-04,0.0,2261.68,4.594291666666667,68.77666666666666,1.0599166666666666,20.57460392967448,0.14114188,225.98512272736392,,
2017-01-05,0.0,2821.79,7.330958333333334,75.00500000000001,1.8060416666666663,329.6318472204612,0.14437358,10.774508749085047,,
2017-01-06,0.0,1050.23,-3.2690416666666664,63.21875,2.43525,6.921997094981862,0.09861715,674.4062593192535,,
2017-01-07,0.0,4326.73,-3.4705,55.56125,0.997,355.22248858547147,0.1666835,10.631381776176536,,
2017-01-08,0.0,4239.29,-0.1461666666666667,56.309583333333336,1.6992083333333332,216.13593877322327,0.18169822,10.679432197005466,,
2017-01-09,0.0,3475.22,11.492625,72.40166666666666,2.64125,222.3444930068869,0.14892812,9.166677059689729,,
2017-01-10,0.0,3795.6,16.592499999999998,70.34083333333334,2.5576666666666665,208.9797949839891,0.14995521,110.42850983140298,,
2017-01-11,0.0,3836.22,18.015416666666667,76.09458333333333,2.376708333333333,185.1564523654191,0.14222564,9.367002847938725,,
2017-01-12,0.0,2070.85,20.11583333333333,75.15041666666666,3.17625,172.80097973652926,0.16433999,9.713912279471074,,
2017-01-13,0.0,2856.93,20.920833333333334,76.66166666666668,2.5432916666666667,153.9909530016388,0.093517184,337.51393051795026,,
2017-01-14,0.0,905.07,12.000416666666666,98.625,1.5008333333333337,63.29899913817377,0.14225268,9.08007468887767,,
2017-01-15,13.963,1200.68,15.249166666666667,95.05375,1.9712916666666669,104.53308634083658,0.13685927,167.53061779925054,,
2017-01-16,0.252,3083.6600000000003,14.993333333333334,75.05791666666666,0.4425416666666666,349.51948642848237,0.20580314,10.246576794770291,,
2017-01-17,6.859,703.85,11.049333333333337,83.75083333333333,2.028958333333333,42.14723299482131,0.03913555,463.6001317125033,,
2017-01-18,10.161,1309.15,9.427791666666666,92.97083333333336,0.5935,352.06229614307887,0.17387775,9.81255046741784,,
2017-01-19,0.0,4013.79,13.367083333333332,76.06333333333333,1.8897916666666668,253.5952184637257,0.22170626,10.825250041055805,,
2017-01-20,0.0,3904.39,13.249041666666663,66.27291666666666,0.7555833333333334,301.0082406361051,0.0931194,487.3423170352574,,
2017-01-21,0.509,3094.37,14.887375,64.30083333333333,1.979291666666667,278.7870318428415,0.14753851,9.05011864963681,,
2017-01-22,0.0,4462.17,13.772416666666668,40.28125,2.7664166666666667,295.6050056892786,0.20700222,21.15010754323528,,
2017-01-23,0.0,4540.78,10.967041666666669,56.76291666666666,1.260875,268.81592591115384,0.19363983,10.929534499090796,,
2017-01-24,0.0,4244.92,17.542708333333334,52.30833333333334,1.8732083333333336,230.79016472828383,0.19097772,10.229798394793386,,
2017-01-25,0.0,4017.26,14.220541666666668,36.2775,0.969,338.90664706125824,0.19687483,9.27516742333362,,
2017-01-26,0.0,4483.25,5.090875,62.94875,0.7388750000000001,23.619210543514384,0.18309063,8.414371025562673,,
2017-01-27,0.0,2292.15,4.401208333333334,61.805416666666666,1.233375,33.58529585616748,0.118295,85.62048098516243,,
2017-01-28,0.0,4655.11,6.864,60.02166666666667,0.8670416666666667,303.52022447256246,0.17395939,10.172327036986244,,
2017-01-29,0.0,4778.09,7.473708333333334,53.44,0.7740416666666666,311.8451981999676,0.1806612,367.5081655532312,,
2017-01-30,0.0,4865.62,10.355041666666668,47.17416666666667,1.1461666666666666,277.7537464588598,0.15188526,9.312862779785972,,
2017-01-31,0.0,4899.6,10.829666666666666,51.365,1.6755416666666667,274.91726265503183,0.090466894,538.4742953762511,,
2017-02-01,0.0,4854.42,15.147041666666668,58.41041666666666,1.36175,280.4380737546726,0.17824353,10.233529369522689,,
2017-02-02,0.0,4015.38,9.735916666666666,56.30041666666667,1.238875,16.46739560924857,0.01758852,460.39918770243406,,
