Station,Model,Features,Offset,MSE,MAE,MAPE,SMAPE,RSE,CORR
Station6,ar,SWC_20_T_20_Ppt_Tair,24,0.023343701451654743,0.12300025671720505,95.24042510986328,49.37815856933594,0.5938089489936829,0.6461877226829529
Station6,ar,SWC_20_T_20_Ppt_Tair,24,0.009911438901719754,0.06711804866790771,32.45531463623047,29.976957321166992,0.2522461414337158,0.8750560283660889
Station6,ar,SWC_20_T_20_Ppt_Tair,24,0.015461721199615653,0.08369334042072296,39.64149856567383,32.29819107055664,0.393386572599411,0.7841509580612183
Station6,lstm,SWC_20_T_20_Ppt_Tair,24,0.013565094528200828,0.07525064796209335,42.5848274230957,31.6855525970459,0.34513142704963684,0.8098136186599731
Station6,lstm,SWC_20_T_20_Ppt_Tair,24,0.021467625413607735,0.1125946044921875,80.83517456054688,45.672874450683594,0.5460859537124634,0.6780515313148499
Station6,lstm,SWC_20_T_20_Ppt_Tair,24,0.0069890056092946256,0.04218338429927826,15.894225120544434,14.689244270324707,0.17787019908428192,0.909842848777771
Station6,ar,SWC_20_T_20_Ppt_Tair,24,0.014882532959385233,0.0870426669716835,46.178672790527344,34.86944580078125,0.3786504864692688,0.7911091446876526
Station6,lstm,SWC_20_T_20_Ppt_Tair,24,0.013601346022976024,0.07206741720438004,37.809261322021484,29.498106002807617,0.3460537791252136,0.8126312494277954
Station6,bilstm,SWC_20_T_20_Ppt_Tair,24,0.014387670631439373,0.0748547688126564,36.474853515625,29.812808990478516,0.36605995893478394,0.8027896285057068
Station6,rnn,SWC_20_T_20_Ppt_Tair,24,0.013436705424773343,0.07561791688203812,36.24660873413086,29.84629249572754,0.3418648838996887,0.8165891766548157
Station6,cnn,SWC_20_T_20_Ppt_Tair,24,0.015072121803003083,0.08258401602506638,36.176300048828125,31.141122817993164,0.3834741711616516,0.7967327833175659
Station6,attentionlstm,SWC_20_T_20_Ppt_Tair,24,0.013781522614518258,0.0744890570640564,37.80885314941406,29.521427154541016,0.35063794255256653,0.8099934458732605
Station6,baseline,SWC_20_T_20_Ppt_Tair,24,0.016502449163751032,0.07832751423120499,25.505395889282227,26.180389404296875,0.4198654294013977,0.792544424533844
Station6,ar,SWC_20_T_20_Ppt_Tair,24,0.009585925832731157,0.06456105411052704,30.962196350097656,28.77170753479004,0.24396182596683502,0.8740269541740417
Station6,lstm,SWC_20_T_20_Ppt_Tair,24,0.0067120460516555585,0.04241852089762688,21.56234359741211,18.43140411376953,0.17082157731056213,0.9108092784881592
Station6,bilstm,SWC_20_T_20_Ppt_Tair,24,0.006678676044423977,0.03895997256040573,14.570793151855469,14.19658374786377,0.16997230052947998,0.913899838924408
Station6,rnn,SWC_20_T_20_Ppt_Tair,24,0.006950936973294477,0.041651651263237,16.657777786254883,15.606206893920898,0.17690137028694153,0.909434974193573
Station6,cnn,SWC_20_T_20_Ppt_Tair,24,0.009610565097085577,0.0640290230512619,31.568893432617188,26.10993003845215,0.24458886682987213,0.8738803267478943
Station6,attentionlstm,SWC_20_T_20_Ppt_Tair,24,0.006760160656184957,0.04535568132996559,23.229942321777344,18.933536529541016,0.17204608023166656,0.9101522564888
Station6,baseline,SWC_20_T_20_Ppt_Tair,24,0.007992949452051975,0.04446763917803764,13.326729774475098,14.424337387084961,0.20342057943344116,0.8997332453727722
Station6,ar,SWC_20_T_20_Ppt_Tair,24,0.02339529772883033,0.12020228058099747,78.91693878173828,47.96757507324219,0.5951213836669922,0.6430262327194214
Station6,lstm,SWC_20_T_20_Ppt_Tair,24,0.0224493709177501,0.12083246558904648,93.64291381835938,48.06926345825195,0.5710592269897461,0.6667278409004211
Station6,bilstm,SWC_20_T_20_Ppt_Tair,24,0.022808147510865184,0.12108524143695831,102.87986755371094,48.33809280395508,0.5801856517791748,0.6539871692657471
Station6,rnn,SWC_20_T_20_Ppt_Tair,24,0.021703207319935587,0.11002615839242935,71.18335723876953,45.190574645996094,0.5520786643028259,0.6710020303726196
Station6,cnn,SWC_20_T_20_Ppt_Tair,24,0.02331185762561787,0.12250305712223053,100.53099060058594,49.218597412109375,0.5929988622665405,0.6535108089447021
Station6,attentionlstm,SWC_20_T_20_Ppt_Tair,24,0.02423633110183076,0.12230990827083588,84.77433776855469,48.16450119018555,0.6165153980255127,0.6375823616981506
Station6,baseline,SWC_20_T_20_Ppt_Tair,24,0.02847249237129571,0.11822162568569183,47.394775390625,42.54201889038086,0.7242733240127563,0.6410444974899292
