Station,Model,Features,Offset,MSE,MAE,MAPE,SMAPE,RSE,CORR
Station6,lstm,SWC_10,24,0.008225654493768934,0.036649126559495926,118.0696792602539,15.420982360839844,0.23412959277629852,0.8779569864273071
Station6,baseline,SWC_10,24,0.009263616327475499,0.04299984872341156,23.994497299194336,14.922893524169922,0.26367345452308655,0.8675349950790405
Station6,ar,SWC_10,24,0.011871878903906787,0.06428539752960205,152.3499298095703,28.596187591552734,0.3379133343696594,0.8163684606552124
Station6,lstm,SWC_10,24,0.008427812349313654,0.04674047976732254,110.68028259277344,19.6246395111084,0.2398836761713028,0.8761453032493591
Station6,bilstm,SWC_10,24,0.008543699227903002,0.03839913010597229,124.01260375976562,17.00342559814453,0.2431822121143341,0.87298184633255
Station6,rnn,SWC_10,24,0.008693939517085993,0.045675378292798996,138.35833740234375,20.93238067626953,0.2474585622549057,0.8705780506134033
Station6,cnn,SWC_10,24,0.010666874566726298,0.06291268765926361,226.022216796875,29.450786590576172,0.30361488461494446,0.8466809391975403
Station6,ar,SWC_10,24,0.012181359686688082,0.07082852721214294,179.7188262939453,31.0891056060791,0.34672215580940247,0.8161520957946777
Station6,lstm,SWC_10,24,0.008761250887330338,0.04575571417808533,129.73570251464844,18.20201873779297,0.24937444925308228,0.8731256127357483
Station6,bilstm,SWC_10,24,0.00866785577533443,0.04042895510792732,45.19913864135742,14.794832229614258,0.24671614170074463,0.8741772174835205
Station6,rnn,SWC_10,24,0.008666910557097774,0.051506366580724716,181.89662170410156,24.76427459716797,0.24668921530246735,0.8713794946670532
Station6,cnn,SWC_10,24,0.01055878296198662,0.059631068259477615,168.26797485351562,26.037111282348633,0.30053821206092834,0.8514875173568726
Station6,attentionlstm,SWC_10,24,0.00851566712338774,0.054186221212148666,227.65077209472656,27.76348876953125,0.24238431453704834,0.874300479888916
Station6,attentiononly,SWC_10,24,0.053545379459648476,0.1921989768743515,1683.9635009765625,66.3671646118164,1.5240803956985474,-1.9913024118523026e-07
Station6,ar,SWC_10,24,0.012310265834417624,0.05400191619992256,34.78802490234375,20.24808120727539,0.3503912687301636,0.8163929581642151
Station6,lstm,SWC_10,24,0.008179519715770165,0.04373498260974884,203.170654296875,21.340993881225586,0.2328164428472519,0.8769970536231995
Station6,bilstm,SWC_10,24,0.008665027231827865,0.04611469805240631,137.24192810058594,20.35173797607422,0.24663560092449188,0.872991681098938
Station6,rnn,SWC_10,24,0.008634718156224169,0.049187835305929184,178.90023803710938,22.60271453857422,0.24577291309833527,0.872210681438446
Station6,cnn,SWC_10,24,0.010605914535800579,0.04822501540184021,22.7237606048584,19.944387435913086,0.30187973380088806,0.8525965809822083
Station6,attentionlstm,SWC_10,24,0.008567427354532467,0.0428360290825367,194.7189178466797,21.731700897216797,0.24385759234428406,0.8706690073013306
Station6,attentiononly,SWC_10,24,0.05042611860037315,0.18693044781684875,1636.1622314453125,65.61842346191406,1.4352957010269165,-1.991097207110215e-07
Station6,ar,SWC_10,24,0.012030539640522833,0.07380061596632004,222.31930541992188,33.85041427612305,0.34242933988571167,0.8165760040283203
Station6,lstm,SWC_10,24,0.008498468080227717,0.036436162889003754,119.42080688476562,15.1016263961792,0.24189481139183044,0.8746160268783569
Station6,bilstm,SWC_10,24,0.009213546296353512,0.06486564874649048,328.452880859375,33.44898223876953,0.26224827766418457,0.8703886866569519
Station6,rnn,SWC_10,24,0.008516271090204442,0.045806195586919785,155.701416015625,23.144990921020508,0.24240152537822723,0.8707850575447083
Station6,cnn,SWC_10,24,0.010972258823028515,0.0575493760406971,107.58985137939453,22.884151458740234,0.3123071491718292,0.8485519886016846
Station6,attentionlstm,SWC_10,24,0.00844063850937659,0.04139810428023338,85.41388702392578,16.250259399414062,0.24024873971939087,0.8756475448608398
Station6,attentiononly,SWC_10,24,0.05414227243596696,0.1931976079940796,1692.6357421875,66.50907135009766,1.5410698652267456,-2.0018092072859872e-07
