Date,Sat_SM,Ppt,SWC_5,SWC_10,SWC_20,T_5,T_10,T_20,Ppt.1,Tair,RH,Windspeed,Winddirection,Srad,Latitude,Longitude,SWC_50,T_50
2017-03-18,0.2148410257202141,0.02267857142857143,0.24089880952380952,0.2800416666666667,0.2557142857142857,17.48297619047619,17.446428571428573,17.45172619047619,0.022678571428571524,15.767226190476192,74.94089285714287,2.1638571428571427,149.6606547619048,167.4309523809524,30.459999999999997,-98.9407,0.28532059746901295,18.93709071952673
2017-03-19,0.1911042332649231,0.0045238095238095246,0.2401964285714286,0.2793988095238095,0.25463690476190476,18.360714285714288,18.106785714285714,17.666904761904764,0.004535714285714381,17.637148809523808,70.17720238095238,2.3488928571428573,165.21505952380951,198.58124999999998,30.459999999999997,-98.9407,0.2847464643718955,18.673064098389283
2017-03-20,0.2103097438812255,0.0,0.23825000000000002,0.27811904761904765,0.2535833333333333,19.19964285714286,18.909583333333334,18.19642857142857,0.0,18.837089285714285,68.45136904761905,2.611839285714286,179.65238095238098,209.22363095238097,30.459999999999997,-98.9407,0.2840986261739206,18.735242307891642
2017-03-21,0.1682003587484359,0.0,0.2355595238095238,0.276327380952381,0.2523690476190476,20.141130952380955,19.77636904761905,18.78142857142857,0.0,19.819404761904764,69.92892857142857,2.804892857142857,182.00595238095238,209.9426785714286,30.459999999999997,-98.9407,0.2831051454233498,18.85089808625014
2017-03-22,0.1639564871777614,0.0,0.23258333333333334,0.27412500000000006,0.2510178571428571,21.08380952380952,20.643214285714286,19.402738095238096,0.0,20.573869047619045,70.41244047619048,2.8320892857142854,181.56488095238095,220.4207738095238,30.459999999999997,-98.9407,0.28191879859349,19.08851338753717
2017-03-23,0.1831038892269134,0.0,0.22892261904761904,0.2712857142857143,0.24941666666666668,21.6875,21.256428571428568,19.961845238095236,0.0,20.907083333333333,67.5547619047619,3.1332619047619046,179.92440476190475,242.00500000000002,30.459999999999997,-98.9407,0.28170609618980497,19.47608852519255
2017-03-24,0.1755539178848266,0.012083333333333333,0.22478571428571428,0.2678690476190476,0.24764285714285714,21.965833333333336,21.603809523809527,20.4025,0.01209523809523819,20.83190476190476,64.68875,2.937964285714286,183.14166666666668,247.3239880952381,30.459999999999997,-98.9407,0.28000118153388703,19.960521505060406
2017-03-25,0.1877420395612716,0.012083333333333333,0.22020238095238095,0.2640059523809524,0.2455595238095238,21.865714285714287,21.575238095238095,20.58511904761905,0.01209523809523819,20.56642857142857,59.75041666666666,2.780434523809524,195.87523809523807,265.6039285714286,30.459999999999997,-98.9407,0.27797654523776893,20.404670729366448
2017-03-26,0.1683599352836609,0.012083333333333333,0.2155297619047619,0.2600178571428572,0.24338690476190475,21.874880952380952,21.61654761904762,20.721488095238097,0.01209523809523819,20.627976190476193,58.53744047619047,2.9225416666666666,193.97523809523813,265.30833333333334,30.459999999999997,-98.9407,0.2767334235777392,20.60597792429996
2017-03-27,0.1648155422232201,0.012083333333333333,0.2109404761904762,0.25607142857142856,0.24120238095238095,22.16232142857143,21.855059523809523,20.895892857142858,0.01209523809523819,20.815238095238097,59.015952380952385,2.734297619047619,194.64714285714285,263.4460119047619,30.459999999999997,-98.9407,0.2743242277544892,20.700895095038394
2017-03-28,0.1704682991812485,0.012083333333333333,0.20635714285714285,0.25210119047619045,0.23907738095238096,22.337916666666665,22.060654761904765,21.13101190476191,0.01209523809523819,20.930357142857144,60.26898809523809,2.765386904761905,190.8584523809524,245.24797619047618,30.459999999999997,-98.9407,0.2728634134716013,20.874366081648883
2017-03-29,0.2668389198118276,0.065,0.2035357142857143,0.24842261904761903,0.23689880952380954,21.985892857142858,21.81345238095238,21.152440476190474,0.06501190476190485,20.459285714285716,58.39095238095238,2.5369702380952384,205.36916666666667,246.20690476190475,30.459999999999997,-98.9407,0.2715241685981398,21.221899756113185
2017-03-30,0.1861388831372121,0.065,0.2020119047619048,0.24561904761904763,0.23470833333333332,21.5425,21.41488095238095,20.991488095238093,0.06501190476190485,19.965892857142858,56.88327380952381,1.9575238095238094,219.84714285714284,248.56779761904764,30.459999999999997,-98.9407,0.26894794579060466,21.465152791314015
2017-03-31,0.1841373741626739,0.05291666666666667,0.20101785714285716,0.2435654761904762,0.2326488095238095,21.325416666666666,21.196785714285713,20.84577380952381,0.052916666666666765,20.16089285714286,55.65571428571429,2.2499880952380953,214.92630952380952,257.9045238095238,30.459999999999997,-98.9407,0.2687464460665931,21.43927053072045
2017-04-01,0.1860294640064239,0.05291666666666667,0.2005714285714286,0.24216071428571428,0.23088690476190474,21.491607142857145,21.325833333333332,20.878869047619048,0.052916666666666765,20.436845238095238,61.009166666666665,2.6440416666666664,198.74511904761906,239.98577380952383,30.459999999999997,-98.9407,0.2686285222800658,21.28875041583724
2017-04-02,0.1941806499407846,0.1692857142857143,0.2089285714285714,0.24955357142857143,0.23686904761904762,21.180714285714284,21.09714285714286,20.840714285714284,0.16933333333333342,19.439285714285717,65.74357142857143,2.338857142857143,207.79654761904763,219.50738095238094,30.459999999999997,-98.9407,0.27398050617137576,21.469933214521923
2017-04-03,0.2078585317892425,0.1692857142857143,0.21926190476190474,0.2587916666666667,0.24432142857142855,20.493630952380954,20.482559523809527,20.52011904761905,0.1693333333333334,19.115535714285716,62.53755952380953,2.268559523809524,213.88476190476192,224.28,30.459999999999997,-98.9407,0.28257509167428296,21.60060594915739
2017-04-04,0.1680022925138473,0.1692857142857143,0.22791071428571433,0.26675595238095234,0.25029761904761905,20.128869047619048,20.08660714285714,20.19982142857143,0.1693333333333334,19.356666666666666,56.46226190476191,2.1475,222.71809523809523,243.30214285714285,30.459999999999997,-98.9407,0.2888017954478324,21.52838218527174
2017-04-05,0.18281040912936,0.11636904761904762,0.23387500000000003,0.27366666666666667,0.2554345238095238,19.93797619047619,19.883333333333333,20.020952380952384,0.11641666666666675,18.76060119047619,55.431488095238095,2.2773630952380954,225.4347619047619,247.51500000000001,30.459999999999997,-98.9407,0.29297979899354337,21.41348493256256
2017-04-06,0.2117814570665359,0.11636904761904761,0.2385,0.2795357142857143,0.2600654761904762,19.954464285714288,19.87297619047619,19.93565476190476,0.11641666666666674,18.673875000000002,53.871249999999996,2.2994583333333334,207.7502380952381,248.70047619047617,30.459999999999997,-98.9407,0.2964300714120091,21.268039080888578
2017-04-07,0.1812169849872589,0.11636904761904761,0.24248214285714287,0.2846011904761904,0.26425,20.004583333333333,19.906904761904762,19.923392857142858,0.11641666666666674,18.205839285714287,53.76559523809524,2.098809523809524,207.66333333333336,250.2105357142857,30.459999999999997,-98.9407,0.29880734075616483,21.226128267857906
2017-04-08,0.1788628101348877,0.11636904761904761,0.24598809523809526,0.2890595238095238,0.2680119047619048,20.15595238095238,20.011547619047615,19.938511904761903,0.11641666666666674,18.188041666666667,52.15065476190476,2.0937976190476193,211.39547619047622,268.7370833333333,30.459999999999997,-98.9407,0.30163135918431727,21.17133465416156
2017-04-09,0.1724700778722763,0.0,0.2407142857142857,0.28461309523809525,0.26392857142857146,20.710892857142856,20.457023809523808,20.12422619047619,0.0,18.98226785714286,50.18029761904762,2.3861964285714286,202.9517857142857,280.9579761904762,30.459999999999997,-98.9407,0.29787985007382095,21.02554796343205
2017-04-10,0.1869549304246902,0.0,0.23356547619047618,0.2782142857142857,0.25821428571428573,21.35011904761905,21.07089285714286,20.520833333333336,0.0,19.31839880952381,54.94273809523809,2.5404166666666663,192.46815476190477,258.0860714285714,30.459999999999997,-98.9407,0.29135971653531784,21.009238785311073
2017-04-11,0.1781947165727615,0.04684523809523809,0.2286547619047619,0.27333928571428573,0.25382738095238094,21.596309523809527,21.362916666666667,20.806964285714287,0.04686904761904771,18.681434523809525,63.163333333333334,2.3077857142857146,176.9114285714286,237.65196428571429,30.459999999999997,-98.9407,0.28528094554085304,21.199579755298608
2017-04-12,0.1704351752996444,0.04684523809523809,0.22519642857142858,0.26958333333333334,0.2503095238095238,21.80041666666667,21.578095238095237,20.989761904761906,0.04686904761904771,19.22482142857143,68.31089285714286,2.1577321428571428,154.1025,207.98738095238096,30.459999999999997,-98.9407,0.28133433984791995,21.284199591975863
2017-04-13,0.1909900969944854,0.05744047619047619,0.22266071428571427,0.2666428571428572,0.24733333333333332,22.075714285714287,21.83422619047619,21.162857142857142,0.057452380952381046,19.75232142857143,73.88839285714286,2.3403869047619046,155.59952380952382,191.3525,30.459999999999997,-98.9407,0.2785326553732267,21.27128909230616
