Date,Sat_SM,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Ppt.1,Tair,RH,Windspeed,Winddirection,Srad,Latitude,Longitude
2017-03-18,0.2408361404889035,0.0,0.12335714285714286,0.1240297619047619,0.13620238095238096,0.08702380952380952,18.22202380952381,18.358571428571427,18.33720238095238,18.381011904761902,0.0,15.347047619047618,77.01404761904762,2.201982142857143,167.6965476190476,170.39482142857145,30.2758,-98.7242
2017-03-19,0.1911042332649231,0.0,0.11788095238095239,0.1205952380952381,0.13552380952380955,0.08685119047619048,18.989583333333336,19.02857142857143,18.811428571428568,18.47958333333333,0.0,17.20289880952381,72.63505952380953,2.371184523809524,180.95101190476194,202.59785714285712,30.2758,-98.7242
2017-03-20,0.2103097438812255,0.0,0.11210119047619048,0.1161607142857143,0.13408928571428572,0.08664285714285715,19.895238095238092,19.885773809523812,19.599761904761902,18.9025,0.0,18.479482142857144,70.53619047619047,2.6237202380952382,194.0886904761905,213.36613095238096,30.2758,-98.7242
2017-03-21,0.1682003587484359,0.0,0.10684523809523809,0.1117202380952381,0.1322559523809524,0.0863154761904762,20.850059523809524,20.80041666666667,20.436249999999998,19.434464285714284,0.0,19.72529761904762,70.58166666666666,2.787601190476191,190.94583333333335,212.01101190476192,30.2758,-98.7242
2017-03-22,0.1796129759502598,0.0,0.10218452380952381,0.10741666666666667,0.13008333333333336,0.08588690476190476,21.858809523809523,21.76928571428572,21.320416666666663,20.03363095238095,0.0,20.579583333333336,70.62732142857143,2.909238095238095,187.9494047619048,222.01488095238096,30.2758,-98.7242
2017-03-23,0.1831038892269134,0.0,0.09772619047619048,0.1030892857142857,0.12751190476190477,0.08533928571428571,22.666666666666664,22.56511904761905,22.091785714285713,20.65160714285714,0.0,20.90380952380952,67.91845238095239,3.160767857142857,186.52857142857144,244.09172619047618,30.2758,-98.7242
2017-03-24,0.1755539178848266,0.0,0.09351785714285714,0.09890476190476191,0.12452976190476191,0.08467261904761904,23.186547619047616,23.10708333333334,22.67404761904762,21.220595238095235,0.0,20.68297619047619,65.74708333333334,3.0726666666666667,192.75059523809523,250.24196428571426,30.2758,-98.7242
2017-03-25,0.1877420395612716,0.0,0.08978571428571429,0.09492857142857143,0.12116071428571429,0.08388095238095239,23.433154761904763,23.36636904761905,22.957083333333337,21.61303571428572,0.0,20.413035714285716,61.0179761904762,3.115767857142857,204.81160714285716,273.5923214285714,30.2758,-98.7242
2017-03-26,0.1683599352836609,0.0,0.08656547619047619,0.09137499999999998,0.11747023809523809,0.08307142857142856,23.658273809523813,23.600178571428575,23.224047619047617,21.94333333333333,0.0,20.44345238095238,59.995892857142856,3.159988095238095,203.76279761904763,273.26440476190476,30.2758,-98.7242
2017-03-27,0.1793372698098807,0.0,0.08405952380952382,0.08858333333333333,0.11376785714285716,0.08219642857142857,24.017083333333336,23.94452380952381,23.536309523809525,22.227738095238095,0.0,20.647083333333335,60.566964285714285,2.9229761904761906,203.27255952380952,269.0452976190476,30.2758,-98.7242
2017-03-28,0.1694338560726579,0.0,0.08207738095238096,0.08647619047619047,0.11019047619047619,0.08136309523809525,24.27077380952381,24.212083333333332,23.839047619047616,22.53589285714286,0.0,20.810178571428573,61.464166666666664,2.964654761904762,196.33684523809524,250.0967857142857,30.2758,-98.7242
2017-03-29,0.2693754755993592,0.0,0.089,0.0928452380952381,0.11002380952380952,0.08050595238095237,24.01333333333334,23.997738095238095,23.74880952380952,22.69708333333333,0.0,20.290178571428573,60.065119047619056,2.9856190476190476,210.76125,252.76892857142857,30.2758,-98.7242
2017-03-30,0.2061560602601518,0.0,0.09373214285714285,0.09719047619047619,0.11027380952380952,0.07966666666666666,23.614583333333336,23.62482142857143,23.44684523809524,22.663273809523808,0.0,19.736964285714286,58.55726190476191,2.6456785714285718,227.00470238095235,256.16785714285714,30.2758,-98.7242
2017-03-31,0.1841373741626739,0.0,0.09736904761904763,0.10045833333333333,0.1102202380952381,0.07890476190476191,23.485357142857143,23.475833333333334,23.295238095238094,22.586488095238092,0.0,20.070833333333333,56.74892857142857,2.7076190476190476,220.90410714285716,266.0303571428571,30.2758,-98.7242
2017-04-01,0.1860294640064239,0.0,0.1001845238095238,0.10295238095238095,0.11019642857142857,0.07823214285714286,23.4775,23.476547619047615,23.321666666666662,22.611011904761902,0.0,20.418511904761907,61.69547619047619,2.89375,202.7067857142857,242.4970238095238,30.2758,-98.7242
2017-04-02,0.1983786082083315,0.09374999999999993,0.10883928571428572,0.11123809523809525,0.11714880952380953,0.079375,22.93345238095238,22.996488095238096,22.94946428571428,22.557083333333335,0.09375,19.522321428571427,65.70666666666666,2.836904761904762,205.6558333333333,221.77005952380955,30.2758,-98.7242
2017-04-03,0.2252397950817113,0.09374999999999993,0.11704166666666667,0.11924404761904761,0.12455357142857142,0.08163690476190476,22.142619047619046,22.236964285714286,22.295119047619046,22.26553571428571,0.09375,18.944083333333335,63.57827380952381,2.9029702380952385,216.23952380952383,229.65744047619046,30.2758,-98.7242
2017-04-04,0.1680022925138473,0.09374999999999993,0.1235357142857143,0.1255952380952381,0.1308392857142857,0.08342857142857142,21.65125,21.743988095238098,21.799940476190475,21.914166666666663,0.09375,18.94015476190476,58.98375,2.8910714285714287,229.61630952380952,251.0879761904762,30.2758,-98.7242
