Date,Sat_SM,Ppt,Tair,RH,Windspeed,Winddirection,Srad,Latitude,Longitude
2017-03-18,0.2277705458289357,0.001488095238095238,15.375226190476189,78.85416666666666,2.2315714285714283,138.4442857142857,170.0150595238095,30.4193,-98.8046
2017-03-19,0.1911042332649231,0.0,16.96617857142857,75.88107142857143,2.3538035714285717,161.50428571428571,199.64916666666664,30.4193,-98.8046
2017-03-20,0.2103097438812255,0.0,18.020125,74.96869047619047,2.477708333333333,183.68571428571428,207.61101190476188,30.4193,-98.8046
2017-03-21,0.1682003587484359,0.0,19.14639880952381,75.63107142857143,2.515422619047619,184.58571428571432,202.32738095238096,30.4193,-98.8046
2017-03-22,0.1669753086364775,0.0,20.19827380952381,75.2590476190476,2.673994047619048,185.0285714285714,209.31750000000002,30.4193,-98.8046
2017-03-23,0.1831038892269134,0.0,20.561904761904763,72.66309523809524,2.8185357142857144,182.77142857142857,234.5388095238095,30.4193,-98.8046
2017-03-24,0.1755539178848266,0.007559523809523809,20.364345238095236,70.63517857142857,2.671494047619048,192.34285714285716,237.33089285714286,30.4193,-98.8046
2017-03-25,0.1877420395612716,0.007559523809523809,19.98030357142857,66.64386904761905,2.5149940476190475,205.55714285714288,261.96422619047615,30.4193,-98.8046
2017-03-26,0.1683599352836609,0.007559523809523809,20.003279761904764,65.88684523809523,2.4750059523809527,205.8857142857143,261.6848214285714,30.4193,-98.8046
2017-03-27,0.1734064709683608,0.007559523809523809,20.46589880952381,65.87369047619048,2.330017857142857,213.38571428571427,260.2547619047619,30.4193,-98.8046
2017-03-28,0.1702340903014434,0.007559523809523809,20.823994047619045,65.93678571428572,2.4253988095238093,207.07142857142858,237.89119047619047,30.4193,-98.8046
2017-03-29,0.2677966053522614,0.06196428571428571,20.397148809523806,64.63571428571429,2.2754107142857145,221.5142857142857,241.66625,30.4193,-98.8046
2017-03-30,0.185568683473411,0.06196428571428571,19.81351785714286,63.593511904761904,1.8708809523809524,237.55714285714285,244.67785714285716,30.4193,-98.8046
2017-03-31,0.1841373741626739,0.0544047619047619,19.79810119047619,63.389940476190475,1.8011190476190475,227.6142857142857,256.4225,30.4193,-98.8046
2017-04-01,0.1860294640064239,0.0544047619047619,20.284107142857142,67.59202380952381,2.0152023809523807,211.98571428571427,230.40613095238092,30.4193,-98.8046
2017-04-02,0.1929001705061992,0.16470238095238093,19.734880952380955,70.16559523809524,1.8909404761904762,188.97285714285712,218.50785714285712,30.4193,-98.8046
2017-04-03,0.2131949008603682,0.16470238095238093,18.921148809523807,68.98779761904761,1.9020059523809523,190.5442857142857,225.84375,30.4193,-98.8046
2017-04-04,0.1680022925138473,0.16470238095238093,18.58067261904762,66.43053571428571,1.7840297619047618,198.78714285714287,252.7484523809524,30.4193,-98.8046
2017-04-05,0.1923907698300671,0.11029761904761905,18.023869047619048,65.09910714285715,1.752708333333333,163.64142857142855,254.35750000000002,30.4193,-98.8046
2017-04-06,0.2117814570665359,0.11029761904761906,17.46526785714286,66.23815476190477,1.6740119047619046,149.98428571428573,253.30023809523806,30.4193,-98.8046
2017-04-07,0.1812169849872589,0.11029761904761906,16.913392857142856,66.57583333333334,1.5749642857142858,148.39857142857142,254.3785119047619,30.4193,-98.8046
2017-04-08,0.1788628101348877,0.11029761904761906,16.88309523809524,64.84833333333333,1.6959821428571427,156.29857142857145,275.8407738095238,30.4193,-98.8046
2017-04-09,0.1724700778722763,0.0,17.429285714285715,63.84446428571429,2.0272619047619047,180.3542857142857,273.2107738095238,30.4193,-98.8046
2017-04-10,0.1869549304246902,0.0,18.157779761904763,66.36482142857143,2.0745,170.8685714285714,245.86452380952383,30.4193,-98.8046
2017-04-11,0.1781947165727615,0.006071428571428572,18.183375,70.8939880952381,2.039797619047619,144.71285714285716,226.49011904761906,30.4193,-98.8046
2017-04-12,0.1704351752996444,0.006071428571428572,18.75113095238095,75.05720238095238,2.057904761904762,152.3557142857143,198.4553571428571,30.4193,-98.8046
2017-04-13,0.1909004673665204,0.015119047619047619,19.85824404761905,76.92821428571428,2.1868928571428574,148.81285714285715,180.30178571428573,30.4193,-98.8046
2017-04-14,0.1955414116382599,0.01511904761904762,20.54565476190476,78.97458333333334,2.1760595238095237,146.69857142857146,161.42464285714283,30.4193,-98.8046
2017-04-15,0.1508929133415222,0.01511904761904762,20.85482142857143,79.59726190476191,2.056446428571429,143.62714285714284,150.57369047619048,30.4193,-98.8046
2017-04-16,0.1794080287218094,0.01511904761904762,20.938869047619047,79.82315476190476,1.8063749999999998,141.04142857142858,142.89529761904762,30.4193,-98.8046
2017-04-17,0.1663630008697509,0.01511904761904762,20.57672619047619,79.72595238095239,1.6764821428571428,126.99857142857142,146.29654761904763,30.4193,-98.8046
2017-04-18,0.1373719274997711,0.00904761904761905,20.30279761904762,78.1914880952381,1.5645952380952381,130.34571428571428,166.37815476190477,30.4193,-98.8046
2017-04-19,0.177390918135643,0.00904761904761905,20.815952380952382,77.1047619047619,1.5606666666666666,143.64857142857144,183.46291666666667,30.4193,-98.8046
2017-04-20,0.1617451390317095,0.0,21.13702380952381,76.27404761904761,1.6778095238095239,144.43428571428572,194.2099404761905,30.4193,-98.8046
2017-04-21,0.1711845397949218,0.0,21.663928571428574,75.27011904761905,1.925517857142857,150.4057142857143,207.14904761904762,30.4193,-98.8046
2017-04-22,0.1582444161176681,0.009047619047619049,20.822738095238098,75.26886904761906,1.7918333333333334,128.65142857142857,194.22357142857143,30.4193,-98.8046
