features,mse,mae,mae_percentage
"('Srad', 'Tair', 'Windspeed', 'Winddirection')",0.000751730821185695,0.019748428908029626,13.2954380774487
"('Ppt', 'RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007535405894378654,0.019359073692375595,13.144768850214197
"('Ppt', 'Srad', 'Tair', 'RH', 'Winddirection')",0.0007537722239575568,0.01994214033165962,13.605482617357023
"('Ppt', 'Srad', 'Tair', 'Windspeed')",0.0007540231752991367,0.019854866029230315,13.52367843915998
"('Sat_SM_AMSR',)",0.0007546010534917498,0.019203469067751968,12.833837035240478
"('Ppt', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007558721427672736,0.019431076160605607,13.259897335544935
"('Ppt', 'Tair', 'RH', 'Winddirection')",0.0007570308685612846,0.019775392227483576,13.537726938062223
"('Tair', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007583628917335359,0.019569953336245807,13.351466454817276
"('Ppt', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007591268070718155,0.0193138505707393,13.089061199186414
"('Ppt', 'Srad', 'Tair', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007598830936713398,0.020020823586881353,13.732594951034645
"('Srad', 'RH', 'Sat_SM_AMSR')",0.0007600132672775915,0.020033795335372893,13.693440134468931
"('Ppt', 'Tair', 'RH', 'Windspeed', 'Winddirection')",0.0007617313632023785,0.019634797885046077,13.449893907983993
"('Ppt', 'Tair', 'RH', 'Windspeed')",0.0007619506630625295,0.019587715868101287,13.331956225115144
"('Srad', 'RH')",0.0007626599958943534,0.020081614473050114,13.689354251063165
"('RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007657845043245929,0.019738222926690516,13.432508926315242
"('Tair', 'RH', 'Winddirection')",0.0007660754669302891,0.01979222950317873,13.467796648907585
"('Tair', 'Windspeed', 'Sat_SM_AMSR')",0.0007665267403652065,0.01972971424999584,13.362955590801743
"('Srad', 'RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007676161277223146,0.020332726382185536,13.825985302477767
"('Srad', 'Tair', 'Sat_SM_AMSR')",0.0007681261948532719,0.020156516595953373,13.755632773467427
"('Srad', 'RH', 'Winddirection')",0.0007685928230798026,0.020277427982414015,13.828030542403367
"('Tair', 'RH', 'Windspeed')",0.000768655319207993,0.019741370740963764,13.591100649101332
"('Srad', 'RH', 'Windspeed', 'Sat_SM_AMSR')",0.000769212592402647,0.02022593893435985,13.847227932587844
"('Windspeed',)",0.0007692450455684256,0.019518769682204708,13.070227755047148
"('Srad', 'Tair', 'RH', 'Windspeed')",0.0007700282388762281,0.020124104991863664,13.788283804293187
"('Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007706487107175737,0.019782272177651567,13.367376843912348
"('Srad', 'Winddirection')",0.0007709727855807162,0.02030497686302552,13.75674151549299
"('RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007717200420422535,0.01978799481513218,13.56377805092598
"('Tair', 'Sat_SM_AMSR')",0.0007728774180041422,0.0197641370168995,13.428401706032744
"('Srad', 'Tair', 'Winddirection')",0.0007736011176845862,0.0204601776486056,13.949000710704679
"('Srad', 'Tair', 'Windspeed', 'Sat_SM_AMSR')",0.0007736985639059168,0.02032729239128964,13.916083050772295
"('Ppt', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007739464349723792,0.019955530936134572,13.578408905838288
"('RH',)",0.000773976268403786,0.019919887736179764,13.570922135180833
"('Srad', 'Tair', 'RH', 'Sat_SM_AMSR')",0.0007744210370242729,0.02025920084102202,13.882543720249318
"('Tair', 'RH', 'Windspeed', 'Sat_SM_AMSR')",0.0007746875132677742,0.019960830515093682,13.729679778059737
"('Ppt', 'Tair', 'Winddirection', 'Sat_SM_AMSR')",0.0007747014885454357,0.019769828651710647,13.282198132810075
"('RH', 'Windspeed', 'Sat_SM_AMSR')",0.0007756273613958893,0.019763932202091564,13.53908096725624
"('Srad', 'Tair')",0.000775832055428439,0.02032603978484955,13.868506364059844
"('Srad', 'Windspeed')",0.0007759766910446882,0.020129364691708604,13.645661654558783
"('RH', 'Windspeed', 'Winddirection')",0.0007766125587446461,0.0200418288365114,13.656575403226965
"('Tair', 'Winddirection', 'Sat_SM_AMSR')",0.0007770765184250511,0.01969322800843817,13.350116948544551
"('Winddirection',)",0.0007773155291268076,0.019579966087048584,13.133785921830619
"('Ppt', 'Srad', 'Winddirection', 'Sat_SM_AMSR')",0.0007776941999007629,0.020318117521137134,13.670318804492496
"('Srad', 'RH', 'Windspeed')",0.0007778848895859484,0.02029843826513158,13.862532106234207
"('Tair',)",0.0007785359820231761,0.019767113400450072,13.38556887488812
"('Srad', 'Windspeed', 'Sat_SM_AMSR')",0.0007786308687477042,0.02037942792244772,13.865873763396378
"('Ppt', 'Srad', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007788618327886172,0.02055659964092255,13.880524622659518
"('Srad', 'Tair', 'RH', 'Windspeed', 'Sat_SM_AMSR')",0.0007805837267617075,0.020405100103553373,13.992816121520802
"('Srad', 'Winddirection', 'Sat_SM_AMSR')",0.0007806920521380768,0.020614966789321093,13.988641393522713
"('Ppt', 'Srad', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.0007811371765304725,0.020454242899224876,14.010616601957567
"('Tair', 'RH', 'Sat_SM_AMSR')",0.0007813723613585633,0.02004076114300871,13.807243482883925
"('RH', 'Winddirection')",0.0007822290489911895,0.02007531051286701,13.69832706104829
"('Srad', 'Tair', 'RH')",0.0007829382765689103,0.020538905092020943,14.092300721262646
"('Tair', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007834338307919764,0.019970843503070806,13.56177722951067
"('Srad', 'Tair', 'RH', 'Winddirection')",0.0007836510156529384,0.020563922985312205,14.03122936747111
"('RH', 'Windspeed')",0.0007843828455765862,0.02012779804551113,13.712846358664994
"('Srad', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007849987006656281,0.02057378157259454,13.994835131363411
"('RH', 'Sat_SM_AMSR')",0.0007854887734909657,0.02016163363852854,13.741953174739802
"('Winddirection', 'Sat_SM_AMSR')",0.0007859688441361572,0.019955221800242996,13.377968298547522
"('Ppt', 'Srad', 'Tair', 'Windspeed', 'Sat_SM_AMSR')",0.0007873783808407771,0.020433556589145037,14.037558446546877
"('Tair', 'Windspeed', 'Winddirection')",0.000788714227953617,0.020049536209063166,13.491579235884618
"('Windspeed', 'Winddirection')",0.0007888909330891215,0.019887539002784213,13.27514538236198
"('Srad', 'Tair', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007890606887570268,0.02054249594975909,14.08758022452901
"('Windspeed', 'Sat_SM_AMSR')",0.0007897445612555287,0.020181953337006044,13.589837913148504
"('Srad', 'RH', 'Windspeed', 'Winddirection')",0.0007900203346152896,0.020799604161134973,14.193587677683006
"('Tair', 'RH')",0.0007915461162449118,0.0202088271137306,13.875485957819345
"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.0007916795676498603,0.020565797690558215,14.149479395050557
"('Srad', 'Tair', 'Windspeed')",0.0007917385574788294,0.020600400253701776,14.060929093080842
"('Srad', 'RH', 'Winddirection', 'Sat_SM_AMSR')",0.00079182246981099,0.020620736521684262,14.156446872486086
"('Tair', 'Windspeed')",0.0007921858076099874,0.02012062327044782,13.648611117848604
"('Tair', 'Winddirection')",0.0007956837091361937,0.02007192268817854,13.599355432887036
"('Srad', 'Windspeed', 'Winddirection')",0.0007971906434343761,0.02078611643773001,14.123000670487334
