target,model_type,n_steps,offset,features,mse,mae,mae_percentage
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Tair', 'Windspeed', 'Winddirection')",0.0007917125527187709,0.021859374890324416,14.854875843707571
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'Tair', 'Winddirection', 'distance_SMAP')",0.0007917805777100921,0.02175351047161237,14.75491967675741
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair', 'RH', 'distance_SMAP')",0.0007918337764586811,0.02018493262792301,13.633554144522334
Sat_SM_SMAP,autoregressive,6,6,"('Ppt', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.000792872392253139,0.0214469990073514,14.35762960462513
Sat_SM_SMAP,autoregressive,6,6,"('Winddirection',)",0.0007930229878959197,0.021836870580684415,14.837349389133662
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection')",0.0007931340807899264,0.020063969172677897,13.46398045496689
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed', 'distance_SMAP')",0.0007933290747359383,0.020211096332061997,13.597872149541029
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Windspeed', 'Winddirection')",0.0007937456686825771,0.02178320272647561,14.738895026055912
Sat_SM_SMAP,autoregressive,7,7,"('Ppt', 'distance_SMAP')",0.0007948431582772101,0.02161999462612496,14.727048021138723
Sat_SM_SMAP,autoregressive,7,7,"('Winddirection',)",0.000794906728989328,0.021633268679766896,14.668325743719251
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'RH', 'distance_SMAP')",0.000795837659296005,0.02028851011389748,13.722675062565228
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'Tair', 'RH', 'Winddirection')",0.0007961838180540613,0.02028957978068619,13.680209394533618
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'Tair', 'RH', 'distance_SMAP')",0.0007962985866561746,0.020267887548249788,13.657333006655984
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Winddirection')",0.0007964062323078478,0.021643621942775568,14.51938157977497
Sat_SM_SMAP,autoregressive,2,2,"('Tair', 'RH', 'Winddirection', 'distance_SMAP')",0.000796866337931596,0.020323515164744784,13.751896334223252
