ar_bi_lstm,y_true,shift_bl,ar_lstm,lstm,bi_lstm,cnn
0.34631115,0.3428229546197449,0.6121578092837839,0.3368197,0.38505402,0.3686823,0.36489877
0.3468038,0.3374362575264641,0.6121578092837839,0.33768886,0.38359746,0.3696869,0.36566097
0.34676772,0.3374362575264641,0.6121578092837839,0.33794403,0.38263962,0.36966625,0.3652451
0.34641236,0.3374362575264641,0.6067711121905031,0.33821493,0.38203248,0.3701871,0.36659616
0.34503454,0.3320495604331833,0.6067711121905031,0.3380658,0.381233,0.3692056,0.3667884
0.34356186,0.3320495604331833,0.6067711121905031,0.33750474,0.37992373,0.36716193,0.36485982
0.34283248,0.3320495604331833,0.6013844150972223,0.33774626,0.37831157,0.36626774,0.36892587
0.34350637,0.3320495604331833,0.6013844150972223,0.33919144,0.37687913,0.36709562,0.37062708
0.3444474,0.3320495604331833,0.6013844150972223,0.34124428,0.37632665,0.36908814,0.37346244
0.344785,0.3320495604331833,0.6013844150972223,0.34255022,0.37687185,0.36939362,0.37725985
0.3455266,0.3266628633399024,0.5959977180039415,0.34257257,0.37794316,0.3689286,0.3733585
0.3493506,0.3266628633399024,0.5959977180039415,0.34426236,0.37944904,0.37238988,0.37564403
0.35049707,0.3266628633399024,0.5959977180039415,0.34496588,0.38060358,0.37176013,0.37384105
0.35107288,0.3266628633399024,0.6013844150972223,0.3460198,0.3818987,0.37414652,0.37048155
0.3488737,0.3320495604331833,0.6013844150972223,0.34406304,0.3818333,0.37082738,0.37426683
0.3502347,0.3320495604331833,0.6013844150972223,0.34649652,0.38325384,0.37880173,0.37318382
0.35107955,0.3320495604331833,0.6013844150972223,0.34611535,0.38537595,0.38171977,0.3744604
0.35439515,0.3320495604331833,0.6013844150972223,0.35117012,0.3910061,0.39391145,0.37430722
0.35531095,0.3320495604331833,0.6013844150972223,0.3506322,0.397452,0.3963083,0.37359118
0.35417894,0.3320495604331833,0.6013844150972223,0.34907317,0.40185398,0.3947016,0.37101793
0.35436508,0.3320495604331833,0.6013844150972223,0.34768152,0.40434784,0.39297304,0.3694932
0.35504866,0.3320495604331833,0.5959977180039415,0.34723324,0.40543026,0.39253116,0.3689139
0.3549547,0.3320495604331833,0.5959977180039415,0.34659582,0.40560362,0.39273503,0.367464
0.3546044,0.3266628633399024,0.5959977180039415,0.34527528,0.405364,0.3917852,0.36483338
0.35413662,0.3266628633399024,0.5959977180039415,0.34426737,0.4051089,0.39179918,0.36432606
0.35299924,0.3266628633399024,0.5906110209106608,0.3432114,0.40487033,0.39141065,0.3659556
0.35143474,0.3266628633399024,0.5906110209106608,0.3422979,0.40451822,0.3905598,0.36615843
