Model_Name,Label_Feature,Input_Length,Output_Length,Epoch,Train_Loss,Val_Loss
Baseline,SWC_5,168,24,1,0.1431964933872223,0.16802434623241425
Baseline,SWC_5,168,24,2,0.1431964784860611,0.16802439093589783
Baseline,SWC_5,168,24,3,0.14319652318954468,0.16802439093589783
Baseline,SWC_5,168,24,4,0.1431964933872223,0.16802434623241425
Baseline,SWC_5,168,24,5,0.14319653809070587,0.16802437603473663
Baseline,SWC_5,168,24,6,0.14319653809070587,0.16802434623241425
Baseline,SWC_5,168,24,7,0.1431964784860611,0.16802437603473663
Baseline,SWC_5,168,24,8,0.14319653809070587,0.16802437603473663
Baseline,SWC_5,168,24,9,0.1431964784860611,0.16802434623241425
Baseline,SWC_5,168,24,10,0.1431964635848999,0.16802434623241425
Multi-step Linear,SWC_5,168,24,1,0.5165108442306519,0.6587944626808167
Multi-step Linear,SWC_5,168,24,2,0.2849569320678711,0.44964295625686646
Multi-step Linear,SWC_5,168,24,3,0.2124345451593399,0.351912260055542
Multi-step Linear,SWC_5,168,24,4,0.16525748372077942,0.2819799482822418
Multi-step Linear,SWC_5,168,24,5,0.1318446695804596,0.2234017699956894
Multi-step Linear,SWC_5,168,24,6,0.10867281258106232,0.17704759538173676
Multi-step Linear,SWC_5,168,24,7,0.0933079794049263,0.14261463284492493
Multi-step Linear,SWC_5,168,24,8,0.08364016562700272,0.11828922480344772
Multi-step Linear,SWC_5,168,24,9,0.07791482657194138,0.10328605026006699
Multi-step Linear,SWC_5,168,24,10,0.07470791786909103,0.09413456916809082
Multi-step Dense,SWC_5,168,24,1,0.155039981007576,0.12295857071876526
Multi-step Dense,SWC_5,168,24,2,0.06545019149780273,0.12260346859693527
Multi-step Dense,SWC_5,168,24,3,0.06274715811014175,0.11958910524845123
Multi-step Dense,SWC_5,168,24,4,0.06129857897758484,0.12274095416069031
Multi-step Dense,SWC_5,168,24,5,0.060644134879112244,0.12242617458105087
Multi-step Dense,SWC_5,168,24,6,0.059580668807029724,0.12778080999851227
Multi-step Dense,SWC_5,168,24,7,0.06065518781542778,0.12255850434303284
Multi-step Dense,SWC_5,168,24,8,0.057283319532871246,0.13249444961547852
Multi-step Dense,SWC_5,168,24,9,0.057193342596292496,0.12908047437667847
Multi-step Dense,SWC_5,168,24,10,0.05751117318868637,0.1285104751586914
CNN,SWC_5,168,24,1,0.1488245576620102,0.13535471260547638
CNN,SWC_5,168,24,2,0.06627042591571808,0.13504838943481445
CNN,SWC_5,168,24,3,0.0630510151386261,0.13686710596084595
CNN,SWC_5,168,24,4,0.061341144144535065,0.1420040726661682
CNN,SWC_5,168,24,5,0.06056889146566391,0.13765862584114075
CNN,SWC_5,168,24,6,0.06023020297288895,0.15324701368808746
CNN,SWC_5,168,24,7,0.05911710113286972,0.14489994943141937
CNN,SWC_5,168,24,8,0.05847862362861633,0.15149028599262238
CNN,SWC_5,168,24,9,0.05731803551316261,0.1427018642425537
CNN,SWC_5,168,24,10,0.05690159276127815,0.1450245976448059
RNN,SWC_5,168,24,1,0.15405286848545074,0.1114693284034729
RNN,SWC_5,168,24,2,0.06784535944461823,0.10558819025754929
RNN,SWC_5,168,24,3,0.06280755996704102,0.10675942152738571
