Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
1,SWC_20,24,1,Baseline,0.010058791376650333,0.0010149891022592783,1.099485993385315
1,SWC_20,24,1,Multi-step Linear,0.15356305241584778,0.031109284609556198,17.445682525634766
1,SWC_20,24,1,Multi-step Dense,0.0674675703048706,0.007049267180263996,7.725535869598389
1,SWC_20,24,1,CNN,0.08870605379343033,0.012741677463054657,10.010235786437988
1,SWC_20,24,1,RNN,0.03625253215432167,0.0038466250989586115,4.1840691566467285
1,SWC_20,24,1,LSTM,0.05401036888360977,0.009061232209205627,6.363794326782227
1,SWC_20,24,1,Autoregressive,0.11672912538051605,0.04545190930366516,10.590128898620605
1,SWC_20,24,1,Bi-LSTM,0.05397859215736389,0.009275713935494423,5.785959243774414
1,SWC_20,24,1,LSTM_Attention,0.11390563100576401,0.047221411019563675,10.602993965148926
1,SWC_20,24,1,BiLSTM_Attention,0.10271423310041428,0.02101142890751362,13.728267669677734
