Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
1,SWC_20,168,48,Baseline,0.19127510488033295,0.07328339666128159,21.144412994384766
1,SWC_20,168,48,Multi-step Linear,0.1483599990606308,0.050168562680482864,17.065662384033203
1,SWC_20,168,48,Multi-step Dense,0.12582486867904663,0.04584396630525589,14.479949951171875
1,SWC_20,168,48,CNN,0.1315179318189621,0.047415293753147125,15.340749740600586
1,SWC_20,168,48,RNN,0.12142100930213928,0.033809494227170944,15.72782039642334
1,SWC_20,168,48,LSTM,0.14424264430999756,0.04636137932538986,17.57369613647461
1,SWC_20,168,48,Autoregressive,0.33307987451553345,0.20326893031597137,38.908843994140625
1,SWC_20,168,48,Bi-LSTM,nan,nan,nan
1,SWC_20,168,48,LSTM_Attention,0.411285936832428,0.22210730612277985,63.342708587646484
1,SWC_20,168,48,BiLSTM_Attention,0.24006886780261993,0.07879772782325745,32.76616287231445
