Model Name,Epoch,Train Loss,Val Loss
Bi-LSTMSWC_5 - 24 input / 1 output,5,0.004468365106731653,0.003837649477645755
Bi-LSTMSWC_5 - 24 input / 1 output,6,0.004321888089179993,0.004550405777990818
Bi-LSTMSWC_5 - 24 input / 1 output,7,0.004114347975701094,0.0054309796541929245
Bi-LSTMSWC_5 - 24 input / 1 output,8,0.003904104931280017,0.0043646590784192085
Bi-LSTMSWC_5 - 24 input / 1 output,9,0.0039040162228047848,0.004331022500991821
Bi-LSTMSWC_5 - 24 input / 1 output,10,0.0035342935007065535,0.00421665096655488
BaselineSWC_5 - 24 input / 1 output,1,0.006327602546662092,0.006751913111656904
BaselineSWC_5 - 24 input / 1 output,2,0.006327599287033081,0.006751911249011755
BaselineSWC_5 - 24 input / 1 output,3,0.006327600218355656,0.006751911249011755
BaselineSWC_5 - 24 input / 1 output,4,0.006327602546662092,0.006751913111656904
BaselineSWC_5 - 24 input / 1 output,5,0.006327597890049219,0.006751914042979479
BaselineSWC_5 - 24 input / 1 output,6,0.006327601615339518,0.006751912645995617
BaselineSWC_5 - 24 input / 1 output,7,0.006327598821371794,0.00675191730260849
BaselineSWC_5 - 24 input / 1 output,8,0.006327597424387932,0.006751912645995617
BaselineSWC_5 - 24 input / 1 output,9,0.006327596493065357,0.0067519149743020535
BaselineSWC_5 - 24 input / 1 output,10,0.006327599287033081,0.006751914508640766
Multi-step LinearSWC_5 - 24 input / 1 output,1,0.24543440341949463,0.035031408071517944
Multi-step LinearSWC_5 - 24 input / 1 output,2,0.013320260681211948,0.006552663631737232
Multi-step LinearSWC_5 - 24 input / 1 output,3,0.0056695216335356236,0.005691922269761562
Multi-step LinearSWC_5 - 24 input / 1 output,4,0.005474988371133804,0.005742862820625305
Multi-step LinearSWC_5 - 24 input / 1 output,5,0.005556902848184109,0.005804196000099182
Multi-step LinearSWC_5 - 24 input / 1 output,6,0.005571731366217136,0.005800842773169279
Multi-step LinearSWC_5 - 24 input / 1 output,7,0.005524525418877602,0.0057800221256911755
Multi-step LinearSWC_5 - 24 input / 1 output,8,0.005552592687308788,0.005810101982206106
Multi-step LinearSWC_5 - 24 input / 1 output,9,0.005542830564081669,0.005770994815975428
Multi-step LinearSWC_5 - 24 input / 1 output,10,0.005521941930055618,0.005734323523938656
Multi-step DenseSWC_5 - 24 input / 1 output,1,0.02166927047073841,0.02199394814670086
Multi-step DenseSWC_5 - 24 input / 1 output,2,0.005526937544345856,0.00943685695528984
Multi-step DenseSWC_5 - 24 input / 1 output,3,0.0051333787851035595,0.012177038006484509
Multi-step DenseSWC_5 - 24 input / 1 output,4,0.004731197375804186,0.01996872015297413
Multi-step DenseSWC_5 - 24 input / 1 output,5,0.00469675799831748,0.00647355243563652
Multi-step DenseSWC_5 - 24 input / 1 output,6,0.004810530226677656,0.005995447747409344
Multi-step DenseSWC_5 - 24 input / 1 output,7,0.00476126279681921,0.008305002935230732
Multi-step DenseSWC_5 - 24 input / 1 output,8,0.004566728603094816,0.008031712844967842
Multi-step DenseSWC_5 - 24 input / 1 output,9,0.0044864327646791935,0.005670882295817137
Multi-step DenseSWC_5 - 24 input / 1 output,10,0.004249416757375002,0.0065436288714408875
CNNSWC_5 - 24 input / 1 output,1,0.023859862238168716,0.0072972122579813
CNNSWC_5 - 24 input / 1 output,2,0.006772080436348915,0.00497653940692544
CNNSWC_5 - 24 input / 1 output,3,0.006085109431296587,0.005440971348434687
CNNSWC_5 - 24 input / 1 output,4,0.005626496858894825,0.005944510456174612
CNNSWC_5 - 24 input / 1 output,5,0.004895920865237713,0.005516772624105215
CNNSWC_5 - 24 input / 1 output,6,0.005013025365769863,0.004994036629796028
CNNSWC_5 - 24 input / 1 output,7,0.004806539509445429,0.004760239738970995
CNNSWC_5 - 24 input / 1 output,8,0.004630616866052151,0.005889260675758123
CNNSWC_5 - 24 input / 1 output,9,0.004386030603200197,0.005424042697995901
CNNSWC_5 - 24 input / 1 output,10,0.0045608170330524445,0.004722443874925375
RNNSWC_5 - 24 input / 1 output,1,0.023232506588101387,0.00347210094332695
RNNSWC_5 - 24 input / 1 output,2,0.004488341975957155,0.0038138318341225386
RNNSWC_5 - 24 input / 1 output,3,0.003998929169028997,0.0030939015559852123
RNNSWC_5 - 24 input / 1 output,4,0.003859820542857051,0.0036117681302130222
RNNSWC_5 - 24 input / 1 output,5,0.0037925236392766237,0.0031322252470999956
RNNSWC_5 - 24 input / 1 output,6,0.0037584106903523207,0.003458106890320778
RNNSWC_5 - 24 input / 1 output,7,0.0036487590987235308,0.003273650538176298
RNNSWC_5 - 24 input / 1 output,8,0.0036097478587180376,0.0030712690204381943
RNNSWC_5 - 24 input / 1 output,9,0.0035414323210716248,0.0032930076122283936
RNNSWC_5 - 24 input / 1 output,10,0.003522830083966255,0.003204082604497671
LSTMSWC_5 - 24 input / 1 output,1,0.029303455725312233,0.004376681987196207
LSTMSWC_5 - 24 input / 1 output,2,0.004998642485588789,0.0045180413872003555
LSTMSWC_5 - 24 input / 1 output,3,0.004193652421236038,0.003647987265139818
