Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
1,SWC_20,168,24,Baseline,0.10567303746938705,0.03838426619768143,11.259769439697266
1,SWC_20,168,24,Multi-step Linear,0.13799606263637543,0.037966012954711914,16.187257766723633
1,SWC_20,168,24,Multi-step Dense,0.10304521769285202,0.026143822818994522,12.90995979309082
1,SWC_20,168,24,CNN,0.11939863860607147,0.03187630698084831,14.6396484375
1,SWC_20,168,24,RNN,0.10400878638029099,0.03024863265454769,12.49268913269043
1,SWC_20,168,24,LSTM,0.13799433410167694,0.04398263245820999,18.29792594909668
1,SWC_20,168,24,Autoregressive,0.3697263300418854,0.24081209301948547,41.54216003417969
1,SWC_20,168,24,Bi-LSTM,0.15381629765033722,0.04932572320103645,18.920202255249023
1,SWC_20,168,24,LSTM_Attention,0.22925977408885956,0.09974759817123413,25.250703811645508
1,SWC_20,168,24,BiLSTM_Attention,0.27358418703079224,0.13802607357501984,43.359622955322266
