Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
1,SWC_10,24,1,Baseline,0.013131769374012947,0.0012818872928619385,1.434709906578064
1,SWC_10,24,1,Multi-step Linear,0.13941144943237305,0.025015417486429214,15.458443641662598
1,SWC_10,24,1,Multi-step Dense,0.04166562855243683,0.0035163189750164747,4.5534467697143555
1,SWC_10,24,1,CNN,0.026796109974384308,0.0032208093907684088,3.0211822986602783
1,SWC_10,24,1,RNN,0.03530725836753845,0.004352864809334278,3.9375202655792236
1,SWC_10,24,1,LSTM,0.05468907207250595,0.011076970025897026,6.521429538726807
1,SWC_10,24,1,Autoregressive,0.14802931249141693,0.05089930444955826,14.072877883911133
1,SWC_10,24,1,Bi-LSTM,0.058347173035144806,0.014562978409230709,6.651007175445557
1,SWC_10,24,1,LSTM_Attention,0.14651437103748322,0.06946666538715363,16.962543487548828
1,SWC_10,24,1,BiLSTM_Attention,0.10752958804368973,0.03465144708752632,11.44112777709961
