Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
1,SWC_5,48,12,Baseline,0.12523730099201202,0.06545300036668777,10.97840404510498
1,SWC_5,48,12,Multi-step Linear,0.11528047919273376,0.044164761900901794,10.547506332397461
1,SWC_5,48,12,Multi-step Dense,0.10918798297643661,0.044360700994729996,9.901508331298828
1,SWC_5,48,12,CNN,0.10906729847192764,0.04207897186279297,10.586221694946289
1,SWC_5,48,12,RNN,0.12612298130989075,0.046668168157339096,12.841512680053711
1,SWC_5,48,12,LSTM,0.1520727574825287,0.05408274009823799,14.503412246704102
1,SWC_5,48,12,Autoregressive,0.2886824309825897,0.14968186616897583,26.263765335083008
1,SWC_5,48,12,Bi-LSTM,0.16605672240257263,0.07370360195636749,15.093888282775879
1,SWC_5,48,12,LSTM_Attention,0.17887350916862488,0.09773503988981247,17.74723243713379
1,SWC_5,48,12,BiLSTM_Attention,0.17485570907592773,0.08247697353363037,16.828893661499023
