Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
1,SWC_20,24,6,Baseline,0.05231846868991852,0.016793739050626755,5.238754749298096
1,SWC_20,24,6,Multi-step Linear,0.16088666021823883,0.040440306067466736,17.791866302490234
1,SWC_20,24,6,Multi-step Dense,0.06506131589412689,0.013561293482780457,6.824707508087158
1,SWC_20,24,6,CNN,0.07582611590623856,0.018745681270956993,7.688058853149414
1,SWC_20,24,6,RNN,0.07622756063938141,0.013795731589198112,9.139995574951172
1,SWC_20,24,6,LSTM,0.07308284938335419,0.021273380145430565,7.490108489990234
1,SWC_20,24,6,Autoregressive,0.17708010971546173,0.07875264436006546,16.712379455566406
1,SWC_20,24,6,Bi-LSTM,0.07491669058799744,0.028528552502393723,7.1143903732299805
1,SWC_20,24,6,LSTM_Attention,0.1323433667421341,0.0416877456009388,17.57963752746582
1,SWC_20,24,6,BiLSTM_Attention,0.11204857379198074,0.04100888967514038,11.074090003967285
