========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:16
========================================
"TOA5","CR1000_1","CR1000","98563","CR1000.Std.32.05","CPU:CR1000_1v3_onswitch.CR1","43335","Hourly_met"
"TIMESTAMP","RECORD","Rain_mm_Tot","AirTC_Avg","RH","WS_ms_S_WVT","WindDir_D1_WVT","SlrW_Avg","ETos","Rso"
"TS","RN","mm","Deg C","%","meters/second","Deg","W/m^2","mm","MJ/m²"
"","","Tot","Avg","Smp","WVc","WVc","Avg","ETXs","Rso"
"2022-06-11 06:00:00",66,0,24.13,82.7,1.593,221,9.42,0.033,0.443
"2022-06-11 07:00:00",67,0,24.62,73.12,1.916,215.2,141.7,0.119,1.162
"2022-06-11 08:00:00",68,0,26.78,55.46,2.301,220.7,351.4,0.289,1.909
"2022-06-11 09:00:00",69,0,29.12,46,2.472,219.2,563.5,0.472,2.587
"2022-06-11 10:00:00",70,0,31.4,41.14,2.092,222,748.9,0.62,3.109
"2022-06-11 11:00:00",71,0,33.09,36.97,2.427,207.1,893,0.758,3.454
"2022-06-11 12:00:00",72,0,34.71,33.27,2.032,204.1,981,0.829,3.584
"2022-06-11 13:00:00",73,0,36.03,25.44,1.898,203.4,1004,0.858,3.504
"2022-06-11 14:00:00",74,0,36.9,27.62,1.459,193.2,969,0.819,3.207
"2022-06-11 15:00:00",75,0,37.73,23.83,1.234,189,881,0.741,2.708
"2022-06-11 16:00:00",76,0,37.9,24.16,1.452,195.2,719.4,0.622,2.066
"2022-06-11 17:00:00",77,0,38.23,23.62,0.595,185.2,589.5,0.457,1.316
"2022-06-11 18:00:00",78,0,37.52,26.55,1.948,186.6,366.1,0.366,0.564
"2022-06-11 19:00:00",79,0,35.53,30.2,2.169,180.4,60.74,0.128,0.05
"2022-06-11 20:00:00",80,0,33.12,35.43,0.757,192.7,7.095,0.011,0
"2022-06-11 21:00:00",81,0,31.05,39.03,0.624,203.6,0,-0.003,0
"2022-06-11 22:00:00",82,0,29.8,41.22,0.659,203.9,0,-0.002,0
"2022-06-11 23:00:00",83,0,28.86,45.74,1.35,201.3,0,0.03,0
"2022-06-12 00:00:00",84,0,28.1,62.3,2.541,194.8,0,0.057,0
"2022-06-12 01:00:00",85,0,27.2,70.51,2.287,196.3,0,0.029,0
"2022-06-12 02:00:00",86,0,26.4,75.82,2.436,195.1,0,0.023,0
"2022-06-12 03:00:00",87,0,25.68,79.63,2.104,207.5,0,0.012,0
"2022-06-12 04:00:00",88,0,25.13,82.4,2.234,207.6,0,0.008,0
"2022-06-12 05:00:00",89,0,24.6,83.6,2.222,207.6,0,0.006,0.026
"2022-06-12 06:00:00",90,0,23.99,84.8,2.225,212.9,9.36,0.036,0.442
"2022-06-12 07:00:00",91,0,24.54,73.16,2.642,214.1,141.1,0.126,1.161
"2022-06-12 08:00:00",92,0,26.77,55.8,2.469,213.8,351.8,0.291,1.907
"2022-06-12 09:00:00",93,0,28.99,46.04,2.535,207.6,561.7,0.47,2.584
"2022-06-12 10:00:00",94,0,30.69,44.91,2.333,200.7,748.3,0.617,3.108
"2022-06-12 11:00:00",95,0,32.35,38.51,2.621,195.4,898,0.754,3.452
"2022-06-12 12:00:00",96,0,34.3,28.6,2.8,199.7,988,0.861,3.604
"2022-06-12 13:00:00",97,0,35.86,26.49,2.306,215.9,1013,0.884,3.534
"2022-06-12 14:00:00",98,0,36.83,24.8,2.473,198.6,982,0.879,3.216
"2022-06-12 15:00:00",99,0,37.61,23.59,2.788,187.7,903,0.844,2.721
"2022-06-12 16:00:00",100,0,37.94,25.42,2.221,194.9,763,0.705,2.065
"2022-06-12 17:00:00",101,0,37.71,27.27,2.534,188.1,570,0.567,1.316
