Station,Label_Feature,Input_Length,Output_Length,Model,MAE,MSE,MAPE
3,SWC_5,24,6,Baseline,0.10888603329658508,0.0921519324183464,32.46086120605469
3,SWC_5,24,6,Multi-step Linear,0.06776729226112366,0.0542704276740551,19.909494400024414
3,SWC_5,24,6,Multi-step Dense,0.07372725754976273,0.04922494664788246,31.62093162536621
3,SWC_5,24,6,CNN,0.0802295133471489,0.05015892907977104,30.221214294433594
3,SWC_5,24,6,RNN,0.07242434471845627,0.04948991909623146,29.336875915527344
3,SWC_5,24,6,LSTM,0.08954586088657379,0.052977170795202255,33.75783157348633
3,SWC_5,24,6,Autoregressive,0.14738591015338898,0.10295557975769043,49.84767150878906
3,SWC_5,24,6,Bi-LSTM,0.1006154865026474,0.05485045537352562,33.240638732910156
3,SWC_5,24,6,LSTM_Attention,0.13629038631916046,0.08948090672492981,39.17750930786133
3,SWC_5,24,6,BiLSTM_Attention,0.10868197679519653,0.062227051705121994,40.80839538574219
