Horizon,RMSE,MAE
24h,0.04511279599852464,0.04094116896738254
48h,0.048176001088346986,0.04345860488577554
72h,0.05148161861804675,0.04543851000994132
1-Week,0.055344374438398715,0.04744323561259404
