Horizon,RMSE,MAE
24h,0.07328230757552434,0.06971975818592736
48h,0.0737990952412931,0.06984371180079169
72h,0.07456156295917248,0.06981903896058156
1-Week,0.07868653493896104,0.07312610672402223
