Horizon,RMSE,MAE
24h,0.053966939350513735,0.049767558246488694
48h,0.054905779952307776,0.0502273632467743
72h,0.056694252698139554,0.05125739509209946
1-Week,0.06077996867076296,0.053187222138601484
