Horizon,RMSE,MAE
24h,0.09640543005779831,0.0928882662242565
48h,0.09690736706756442,0.09315836529896111
72h,0.09724943719464817,0.0931304074200568
1-Week,0.10095731266975205,0.09588177039465294
