Horizon,RMSE,MAE
24h,0.053979149946558475,0.04977727802107419
48h,0.05490911806669791,0.050232675069355484
72h,0.056689031929569825,0.051252383216427194
1-Week,0.06077678035661958,0.05318449734675348
