Horizon,RMSE,MAE
24h,0.045161729288739384,0.0409611684482362
48h,0.04819848192996712,0.04346993038048032
72h,0.05147495240011369,0.04543152018133188
1-Week,0.05534179389034043,0.04744158895476489
