Date,Ppt,Tair,RH,Wind speed,Wind direction,Srad,ETos,Rso
2015-11-02 01:00:00,0.0,12.77,89.3,0.498,158.5,0.0,-0.02,0.0
2015-11-02 01:00:00,0.0,12.04,88.6,0.813,156.7,0.0,-0.017,0.0
2016-11-07 01:00:00,0.0,15.88,98.1,0.748,152.7,0.0,0.001,0.0
2016-11-07 01:00:00,0.0,15.94,98.1,0.608,157.9,0.0,0.001,0.0
